card1,card2,card3,card4,card5,card6,result
8H,JH,JS,QD,9H,QC,loss
TC,QD,6H,JS,6D,8C,win
9H,KC,AH,AD,6C,7H,loss
6H,9D,9C,KH,KS,TC,loss
6H,JH,7H,AC,9H,KC,win
6S,AH,TS,6D,KS,JC,win
KS,KH,AC,9H,7D,9S,loss
TS,TH,9C,AS,7H,QD,win
6C,JC,KC,8H,7C,TC,win
KC,6C,7C,QH,KS,QS,win
9H,AD,JH,KD,6H,TS,loss
KC,TS,AC,7D,7S,6C,win
TD,KC,7S,8H,TS,7H,win
KH,QC,AS,QH,7C,QD,win
KC,TS,7S,TH,KD,6D,win
9H,8C,7S,QH,QD,AH,loss
7C,TD,9H,JD,9D,QH,loss
QC,9H,AD,JH,7D,TD,loss
9S,6D,AS,7H,JC,TD,loss
6C,AD,8H,TH,QC,JD,loss
JD,QD,QS,9C,KH,TH,win
JS,AC,8C,6D,7D,9H,loss
JH,8H,AH,TH,7D,8S,loss
8S,7C,AC,9D,QS,JD,loss
AS,QD,AD,TH,KS,QH,win
6H,8D,QH,6C,TS,AD,loss
6D,QC,JC,KC,6H,9S,loss
TD,AS,8D,KH,KD,AH,loss
7D,6H,KS,6C,QS,7C,win
QD,TH,AC,9D,TS,6C,loss
8C,TC,JH,TS,6S,QH,win
8C,JC,8S,JS,KS,9C,win
JD,KH,KD,AS,7C,6C,win
KS,AS,QD,6C,TH,AH,loss
7D,9S,9H,QD,AS,8D,loss
JD,6C,AC,TD,6H,7S,loss
6C,6D,8D,6S,JS,9C,win
JH,QS,AD,6D,JS,KD,loss
7H,7C,6D,8H,QH,KC,loss
QS,AS,QH,KD,KC,JH,loss
AC,6C,QS,6D,TD,9D,win
6C,6S,7C,KS,JS,TH,loss
7D,TC,8D,TD,7S,6S,loss
QH,JH,AH,7C,AS,AD,win
AH,TS,QD,KC,TH,QC,win
JC,TC,7D,9C,KD,TD,loss
AS,9D,KD,KS,JD,QD,loss
TS,8H,9D,KC,KD,KS,loss
9S,AD,6H,KD,QD,KC,loss
QH,TC,6D,TS,7D,8C,win
KS,JS,9C,AC,QH,6H,win
TS,KH,8C,6H,JS,JD,loss
QD,6C,AC,KC,JS,KH,loss
7C,9D,9C,6S,JD,7D,win
AC,7C,7S,JC,8H,QH,win
6H,QH,6D,KD,8D,TC,win
KC,JH,KH,6H,AH,7D,win
9S,JD,KH,JH,KD,AC,loss
KS,6D,6S,QD,KC,8S,win
AS,KC,QD,7H,8S,7D,loss
9C,JC,8C,QC,JD,TH,win
TC,QC,QS,6S,9S,8H,loss
9S,AD,AS,9C,AH,TS,win
QH,QD,7D,AS,JC,6S,win
AS,KC,8S,TS,8C,AC,loss
JH,JS,TC,JC,QH,KD,win
7C,QH,QS,JH,6H,QC,win
AS,6H,JD,8S,AC,9C,loss
JC,TH,QC,TC,JH,6H,win
7S,JD,9H,8S,6H,6C,loss
TD,KS,JS,6S,JH,JC,win
KC,AC,9S,KH,8S,9D,loss
TC,KD,AC,AH,TH,9S,win
8H,KD,QH,8D,7S,7H,loss
8C,TS,6D,9D,JC,KD,loss
KD,7D,QD,9D,JC,8H,loss
KC,KD,JC,QC,6D,6S,win
JD,TS,8H,8S,9D,9C,win
TC,6C,9D,8H,KH,7H,win
TD,AC,QC,8D,9S,6S,win
TC,AD,JC,KH,7C,9D,loss
QS,TH,QD,KH,TC,AH,loss
TS,8S,KH,8C,AC,JS,loss
KH,8S,8D,KD,6D,8C,win
7S,AC,JH,6C,8D,JD,loss
9H,KH,AD,QS,JC,8H,loss
9S,AD,9C,JS,AC,QC,loss
QH,AS,AH,6H,TH,8H,win
AS,QS,JC,9H,9S,TD,win
7C,9H,7S,JC,AC,AD,loss
TD,TS,JS,6D,AH,JD,win
8D,JH,9D,KC,9C,6C,loss
TD,QC,9C,7C,KD,KS,loss
8H,9S,6S,8D,9C,TH,loss
9C,AS,KS,JS,6H,JH,loss
QC,TD,TS,AD,QH,9D,win
QH,AH,7H,TC,KH,TH,win
KC,6S,QH,KD,8S,9H,win
JC,6H,JH,6C,7C,8H,win
9H,9D,8D,8H,KC,7D,win
KS,TS,6H,6S,TD,7C,loss
TS,9H,6S,TC,JH,AD,win
6H,7S,9S,6C,AS,AC,loss
QD,7S,TH,7D,KD,QC,win
QD,6C,6D,KD,QC,KS,win
7D,KC,6H,9D,TS,AD,loss
KC,8D,AC,JC,6C,KH,loss
9S,JC,QH,6H,8H,QC,win
QS,AH,TS,AS,7D,JS,loss
7H,TC,QD,QH,6D,JD,loss
8D,8H,7C,9D,TD,6H,win
7D,9C,JS,JH,8D,AD,loss
7S,KS,7D,QC,9H,9S,win
TD,JS,QS,TH,TS,AH,win
7D,JC,AD,QS,6C,AC,loss
QD,KS,JC,6S,JS,6D,win
TC,7S,TD,8S,8C,QD,win
7S,9H,AH,6D,JS,KH,loss
AS,TD,8C,8S,6H,9H,loss
6S,KH,TH,TD,QS,JD,win
JH,6C,8C,8S,TS,AD,loss
TS,JH,QH,7C,JC,AD,loss
TD,9S,JC,6S,QH,KS,loss
QH,QD,TD,6D,AC,KS,loss
8S,JD,7C,TH,7S,7D,win
AD,9H,TD,AH,KD,9C,win
TC,KH,KD,8H,TS,JD,win
TC,QC,AC,6C,6S,QS,win
KH,QH,QC,7D,AS,KD,win
KS,8H,KC,8D,JS,KD,win
6H,9C,9S,JC,7C,AS,win
8C,9D,9H,9C,6D,7H,win
TD,9C,7C,9H,AH,7D,win
9H,TD,8S,6H,JH,7C,win
7D,6D,8S,9H,6S,9S,win
9C,6D,JS,9S,7D,QC,loss
QD,6H,QC,JH,9C,JD,win
KH,8S,KS,9H,7S,KC,win
JS,TH,KC,9C,6C,TS,win
6D,7D,6S,9D,QS,JD,loss
9H,TC,9D,TH,KD,8S,win
8S,JH,8C,6S,TC,AC,loss
JH,8H,TD,TH,8S,7S,loss
9D,TC,JC,QH,KH,6D,win
6D,6S,TD,JH,8D,TS,loss
TD,QC,QD,8H,6H,7H,win
AH,7D,6C,JC,9C,TC,win
6H,AC,8H,QH,6S,KD,loss
TH,AC,AD,JD,TD,7D,loss
6C,9H,AD,QD,6D,KS,loss
JS,7S,TH,AC,8D,TD,loss
9D,AD,TD,9H,7D,TC,loss
AS,TC,9C,QD,6S,7S,loss
8H,JD,AS,8S,TS,AH,loss
TD,TC,JH,6C,JC,AC,win
QC,AH,JS,6D,AD,6S,win
AD,9C,QC,TD,JH,6H,loss
7D,9D,TC,AS,KC,TS,loss
8D,9H,KS,7C,9D,6D,win
TD,AS,8D,JD,KH,JC,loss
6S,TH,KC,JH,QD,8D,loss
TH,JD,9D,6H,6S,JH,win
QS,TH,7H,8S,6H,KH,win
6S,9H,6C,8C,KD,8S,loss
KC,TS,KS,TC,AS,7S,win
9D,6C,QD,KH,TH,AC,loss
TC,AH,6H,9S,AS,JS,win
QD,TS,QC,9S,7C,AD,win
KS,8C,KC,KD,8S,TS,win
KS,9C,9S,8D,6H,7C,loss
AH,QD,KH,TC,7D,9S,loss
8C,9D,AD,8D,7H,QD,win
6S,6H,AS,8D,KD,8H,loss
9S,6S,8H,TD,6D,QS,loss
9S,9H,AH,KH,JS,JH,win
TH,9H,KC,TC,QC,6C,loss
9S,6D,QD,TD,7H,AS,loss
6C,7S,9C,JC,TC,8C,win
TH,6D,JD,KD,QD,KH,loss
8S,9H,KC,6H,8C,KS,win
QC,QS,JC,KH,AS,8S,win
TC,8D,AC,7D,JH,JS,win
6H,JD,7D,9H,AH,JC,win
JC,7C,JS,KC,KH,TD,win
9S,7C,AC,QH,TH,6S,loss
8D,TC,7S,JD,AS,9S,win
JD,7C,9D,QD,JC,6H,win
7D,TD,QS,TH,KD,TC,win
7C,7D,JH,TC,8D,7S,loss
9H,9C,TC,7H,QD,KC,loss
7C,QC,AC,QS,JD,TH,win
KS,KC,QH,AC,TD,8S,win
JS,6S,AH,JH,TC,TH,win
6S,TH,KS,9D,JH,8C,win
JH,QH,6S,TC,KD,QS,loss
TS,8S,9H,JS,JH,AC,loss
KS,9S,8D,JH,TS,JS,win
7D,6D,JH,QD,TS,KH,loss
QH,KH,8C,9D,TC,AC,loss
AH,9D,KC,6C,9H,TD,win
JC,7H,AH,8S,6D,JS,win
8H,QS,6S,AC,6H,TC,loss
8D,7C,9S,QC,6C,KD,loss
TD,JS,6H,6S,9C,8C,loss
8D,9D,TS,KH,7C,6C,loss
AC,6H,9C,KC,6C,TD,win
8C,6C,JC,8H,6D,TD,loss
9C,9S,KC,KD,9H,TC,win
9D,KD,6H,QS,7C,AS,loss
8S,9D,9C,AS,AH,JH,win
8C,TS,KH,KD,AH,JD,win
AH,7C,7H,6C,TS,KC,loss
TS,7S,KC,AC,TD,QD,win
JH,AS,7H,8C,7D,QD,loss
8D,JD,8H,9C,JS,TC,loss
KD,JS,QH,KH,JD,6S,win
TC,6S,7S,8S,KD,9C,win
8C,9H,JD,AD,9S,8D,win
TD,8H,KH,KD,7H,7C,loss
QH,TD,TH,QS,KH,6C,win
QD,QH,KS,8S,9D,KC,loss
6D,TC,6H,9H,8S,KC,loss
QC,AC,8C,TC,TS,AS,win
AS,6H,JS,JH,8H,KC,loss
6D,TC,QS,9H,6H,JH,loss
QS,AD,AC,9C,JS,QD,win
9D,6S,6D,8D,6H,KS,win
8C,JH,6S,8S,JC,6D,win
9S,KD,8C,QD,7C,AH,loss
AD,9C,9S,8S,TD,TH,loss
8H,8S,TD,JH,8D,8C,win
QC,AS,AC,9D,9S,8H,win
QH,TD,7C,AS,KH,8C,loss
8D,TC,TD,AC,9C,JS,win
8H,TH,KS,8C,9S,TC,loss
8S,9S,QC,JS,JH,JC,loss
KD,7C,TD,TC,TH,7S,win
7D,AS,6C,8H,KD,KS,loss
KD,TD,8H,6H,8C,JC,loss
6D,QD,8H,AC,JC,6C,win
KD,6H,8H,9S,QC,6C,loss
QC,6S,KH,7D,TH,AH,loss
8C,JD,9C,8H,8D,8S,win
8C,6H,TH,TC,QD,QC,loss
JH,9H,7S,QH,8D,TS,win
6S,QS,TC,9S,8C,AD,win
7C,9C,9H,7D,JH,TS,loss
7S,TS,QS,AD,8S,JC,win
TD,QH,8H,8S,KS,TC,loss
QD,9C,AC,KD,8S,TD,loss
QS,8C,KD,6H,AS,KC,loss
7H,7C,KS,8C,9H,9C,win
9H,8S,TS,7H,9C,KD,win
QD,7C,7S,7D,6D,8C,win
7D,TH,9H,QS,9S,8C,win
8S,7S,JC,7H,9D,KH,win
8S,7D,6D,9D,KD,KS,loss
9C,6C,TS,KH,7C,8H,loss
KD,KS,TD,JC,TC,9D,win
KS,6D,QS,JH,JC,TC,loss
JH,9C,AS,KH,6D,KS,loss
8H,AD,9S,TS,QC,KC,loss
JD,AC,JH,7H,JC,TD,win
7S,9D,QD,8C,6D,AC,loss
6H,TD,TS,7H,JS,JD,win
9H,7D,6H,AS,JD,8S,loss
7S,JS,TH,6C,9H,TC,win
QH,JH,TC,JD,8H,7D,loss
AD,JH,9C,JC,8H,7H,win
JC,KC,KH,TD,9C,AC,loss
AH,KC,AD,KH,TS,TC,win
KH,8C,8S,9C,7D,9S,loss
8H,9C,JH,AD,KH,8S,win
AH,8S,TC,AS,TS,9C,loss
AH,JC,9H,QC,KD,KC,loss
QH,TC,9H,QD,AC,6D,loss
7H,9C,TH,KS,JS,KD,loss
QS,6C,AC,JC,8H,TD,loss
6H,7C,AS,9C,QD,JC,loss
KS,QC,AC,8H,KD,QH,win
KC,KH,6H,TD,KD,TS,win
9D,6H,TD,6D,JC,KD,loss
JS,KS,AC,6C,KD,8S,win
KD,JS,9C,AD,TD,9D,loss
9C,8D,9H,9S,QS,QH,win
9H,KS,8D,8S,QS,TH,loss
TH,9S,6H,7C,KH,6S,win
JH,KC,JS,9D,AD,AS,loss
9D,TS,QD,8C,6C,7D,win
JS,JC,9C,6C,KH,QH,loss
KH,JS,9H,QD,TD,8C,win
KS,9H,7H,TS,8H,AD,loss
6D,6S,7H,6C,TS,7C,loss
7D,KD,TS,JS,7H,AS,loss
AS,8C,JH,AD,9S,8H,win
QH,7D,TS,7C,KS,8S,loss
TS,JD,AC,6H,QH,KS,win
KS,7D,AH,9H,6C,TS,loss
AH,7H,AC,TS,6D,7S,win
9H,KD,6S,AS,AD,JS,loss
KH,7S,8C,7C,9D,AD,loss
6S,KC,8D,8S,9C,6D,loss
QS,9H,7C,AS,6C,6S,win
JH,6C,JS,9H,JC,9D,win
KD,8S,9C,TS,AC,7D,win
TS,7S,JH,9S,7C,JD,loss
AC,JS,AS,9H,JD,6D,win
AH,6C,QS,KH,6H,TH,win
6S,TC,6C,TS,KH,7D,win
AD,9D,6H,6C,8H,JH,loss
AS,AC,QD,8S,6H,8H,loss
KS,9D,KC,KD,7S,TH,win
9C,TC,8C,7D,6S,TH,win
AH,QC,7D,KD,JC,8C,loss
8H,QH,7S,JC,6H,KH,loss
9S,JD,QS,9H,AD,JC,win
8D,8C,JD,TS,9S,7C,win
7S,AS,JD,8D,QH,6C,loss
AC,6H,JC,7C,KC,QC,win
AC,7H,8S,7S,8C,9C,win
8C,6S,7S,AD,AC,JS,loss
8C,7H,9H,QC,AS,JC,loss
9S,8H,QH,JH,QS,AS,win
AH,6H,AC,KH,KS,TD,loss
QH,9S,6D,TH,JD,JC,win
