card1,card2,card3,card4,card5,card6,result
KH,6C,JH,TH,KS,TD,loss
6D,JD,KS,JH,AC,QC,loss
KD,JS,9S,QD,TD,8C,loss
6S,KD,AS,AH,6H,6D,win
AC,6S,6H,KD,8H,QC,win
6C,KC,8S,9C,KH,7H,loss
7S,9S,AH,KC,JD,JC,loss
KD,AS,8C,7D,TS,9H,loss
TD,KS,QC,7H,AC,JC,win
KS,AD,QH,JS,9C,TH,loss
9S,KS,QC,7H,JS,TC,win
AD,TS,7S,JH,6D,TH,win
KD,6D,JC,6S,TH,JD,win
TS,QD,KC,JC,AD,KS,loss
8C,7D,KS,KH,6D,QC,loss
AS,8C,9D,JC,8H,AD,loss
6S,KC,TH,AD,7S,KD,win
8H,TS,JH,QC,AD,KC,win
KH,JD,QS,9C,6S,TS,win
8H,TS,JD,KH,QH,9S,win
9S,7C,AH,7S,JH,KH,win
AC,9S,9D,QD,8S,KH,loss
JH,AS,TD,KS,JD,6D,loss
KD,6S,7D,KC,JS,AD,win
AH,7D,KS,7H,KH,JS,win
AS,8H,7C,JH,AD,6H,loss
AC,AD,9H,TH,8D,8S,win
TC,6S,9H,JC,JD,TH,loss
7S,AH,TH,QD,KH,TD,loss
TS,9C,AC,QH,6S,JC,loss
6S,KD,AD,QH,KH,8H,loss
7C,AS,QC,6H,8S,8D,loss
KH,7D,8S,TS,9H,JD,win
6D,AC,8H,6H,TH,TC,loss
JC,7S,KS,8C,9S,7C,loss
TS,8H,QD,7C,TD,QC,win
9C,7C,KC,JH,TC,AH,loss
6H,9C,7C,TD,8S,6D,win
9D,8C,9S,TH,8H,KD,loss
AS,6H,TS,6S,KC,AH,loss
TC,KD,8D,JH,9S,8C,loss
KH,AC,KC,QD,7S,AH,win
8C,AH,KC,7H,AC,7C,loss
QS,AC,KC,6H,9C,9D,loss
JS,6H,QS,QC,6D,8C,win
TC,AH,QC,QH,7S,QS,win
9C,9H,JD,8C,TH,QD,win
6D,AC,JH,KD,8D,7H,loss
6H,JS,6D,8S,8D,JC,loss
QC,7S,8C,TD,7H,8H,win
6H,AD,QC,6S,JH,AC,win
KS,6S,KC,9C,TD,AH,win
AD,8S,TD,QS,AH,8D,win
AH,AS,9D,TS,TH,7D,win
QS,9S,QD,9D,7S,TD,win
8S,6C,7C,QD,8C,9D,loss
9H,TS,TH,8H,AD,TC,win
TD,6S,JS,JC,KH,7C,loss
AH,8C,6S,TD,7H,TS,win
TS,9C,9S,QD,JS,KH,win
JH,7S,8H,7D,TS,TC,loss
QC,KH,7D,9C,7C,JC,loss
QD,8H,9D,6C,QC,8C,win
TD,8C,JS,JC,7D,TS,win
9C,8S,8C,AH,JD,TH,win
QS,AS,TD,6C,9D,QH,loss
KS,QH,JD,AC,6S,QS,loss
QS,AH,TS,7C,9C,JD,loss
QD,TS,6D,8S,7H,JC,win
KC,7S,8H,7H,9D,6D,loss
6D,6C,TH,7H,6H,JH,loss
JH,6C,8S,6H,QS,9H,win
7S,TS,9C,JS,6C,JD,loss
6C,6D,KS,8S,9H,9D,loss
AH,6C,AS,8S,9H,8H,loss
TS,7H,6D,JS,8H,QD,loss
QS,JC,9C,8H,TD,AD,win
9H,8D,AS,8C,8H,7C,win
8S,KH,8C,QC,6C,QD,loss
7C,8H,QH,AC,KS,9S,loss
6D,9S,7H,QH,TS,6S,win
AD,QH,TC,7S,KH,AH,loss
TD,QS,6D,7H,7C,KS,win
AS,QC,KH,QS,KC,TS,win
TD,8H,JH,QD,KH,TS,loss
8C,KD,AD,QC,9S,KS,win
TH,JD,9H,8S,TS,7H,win
QS,QH,TS,JC,TD,JD,loss
7D,6D,AC,6C,7S,AH,loss
QD,8C,8S,AH,6H,KC,loss
TH,JC,KS,KC,8D,AS,loss
KH,7D,AH,KD,8C,7S,win
JH,AC,KS,8D,7C,KD,win
AH,KC,9C,7D,7S,8C,win
TS,KS,7S,QS,JH,TC,win
QH,TH,7C,8S,7D,7S,loss
9H,KD,8H,8C,KH,AD,win
7H,AC,AS,7S,AD,8D,loss
JC,8H,KD,8C,7H,TH,win
JC,TD,QH,TC,KC,TH,win
QS,AH,JS,AC,JC,9H,win
7H,6S,9C,QH,8H,AS,loss
9S,6S,6H,AS,QC,7H,win
AD,6D,QH,AH,9C,7H,win
AS,7C,JC,AC,QS,AH,win
7C,JH,9D,TC,KS,8D,win
KD,8S,TH,6S,KH,7C,win
QS,QC,9C,9D,9H,6D,loss
8H,6H,9S,TH,6S,QS,loss
JH,QD,QS,8H,7S,TC,loss
8D,9D,JC,QS,TC,KS,win
AC,7C,JC,8D,6C,JD,loss
AS,JD,JS,AC,9C,8C,win
6H,7S,TH,7C,KS,TS,loss
9H,QH,TC,KC,8D,AH,loss
TC,6H,6S,7H,8C,8S,loss
TC,TD,JH,QC,KC,7D,win
QS,KD,QH,JD,7S,6S,loss
9S,KC,7C,8D,AD,6C,loss
9C,8S,TS,6D,6C,6S,loss
8S,QH,7D,9S,KC,QS,loss
9H,JD,TS,KD,6D,8C,win
6C,QS,7H,8C,JS,QD,win
TS,QS,TC,QC,6C,KS,win
AC,AH,9S,6D,TD,9D,loss
KC,AS,8D,AC,AH,AD,win
QC,AD,JC,8S,7D,AC,loss
6H,9S,JD,TC,QH,9C,win
6S,JC,JD,QS,TS,TH,win
QD,8D,AH,KH,QH,JD,win
6C,7S,TC,AC,9H,KH,loss
9S,9H,7D,6D,JH,7C,win
7S,JH,9S,9D,QH,JC,win
9S,8D,6H,QC,6C,7C,loss
KD,QH,JD,KC,6C,AD,loss
KC,JS,JH,TH,9H,7H,loss
9C,TC,6C,QH,AC,AS,loss
QD,TS,6D,QS,AC,TD,win
9C,JS,QD,AH,6C,8H,win
JD,TS,QS,JH,AH,8D,win
JD,TH,QD,TC,TD,KH,win
9H,KC,AD,7H,8C,KH,win
8H,TC,9C,6H,TD,8S,loss
AS,TS,6D,JH,TH,QD,win
QD,KH,TS,JS,KD,7H,win
QD,9S,7H,AS,8D,9H,loss
QD,9C,QH,JD,7D,QS,win
JD,6H,9D,6S,7H,KH,loss
AC,AH,TC,KH,KS,6S,loss
QS,7S,QH,AC,8C,9C,win
AC,9H,8S,KC,6H,9C,loss
9H,QH,AD,9S,TH,JS,win
8C,KC,JS,8D,QD,6C,loss
8S,7C,9C,TD,KD,6H,win
AH,KH,6C,QH,KD,KC,win
JD,AH,TD,KS,AD,9D,win
QD,7C,TD,6H,KD,AC,loss
8C,AD,9S,AS,6H,JH,loss
9H,6S,6C,QH,9D,QS,win
8C,KS,TD,JH,6C,TC,loss
6C,9H,QC,JS,KS,AS,loss
6H,9S,8D,JD,6D,TC,win
7S,AC,JH,TS,AS,JC,win
QD,8D,QS,JD,9S,JS,win
QS,6D,AD,QH,AC,6C,win
JD,6C,9D,KH,9H,JC,win
9H,9S,QD,9D,6S,QS,win
8C,QD,7C,8H,QC,6D,win
9D,7D,TC,AC,KC,KD,loss
JS,8D,AS,AH,KS,6C,loss
AS,8D,8C,TS,9S,9C,loss
AC,QS,QC,7H,9H,6C,win
KD,9D,TS,TD,JS,7C,win
JC,TC,8S,QC,TH,KD,loss
6D,AC,AD,AS,TD,JS,loss
6S,8H,8D,TD,KS,9S,loss
KC,AD,7C,AH,TH,QD,loss
AH,7D,9C,7H,6H,JS,loss
AH,TS,7D,KS,JH,TH,loss
8D,JD,9S,KD,QD,8H,win
AD,8S,TH,TS,9D,TC,loss
7C,JD,KC,QS,8S,9H,loss
TS,TD,8S,9C,6D,JH,win
KS,7C,6H,QD,8D,JS,loss
JS,7D,6H,6C,7S,7H,win
9S,TC,AH,JD,8D,7C,win
7C,QD,8S,6S,8D,TH,loss
TD,JD,QH,9H,KD,7D,win
AS,6C,AC,8S,8D,9S,win
9D,JC,TD,KH,AD,AC,win
KH,8C,JS,KS,7D,JC,loss
QC,JC,QS,9D,6C,7C,win
8H,7H,AH,8D,KH,TC,win
AH,8S,JD,AS,9S,TD,loss
AH,TC,7H,9D,9S,7S,loss
9S,JC,6D,TC,QD,8H,win
TH,TD,QD,6C,8C,QH,win
8H,7S,TH,9D,AS,8C,win
7S,6H,AH,JD,8S,6S,win
AH,8H,8S,7D,AC,TD,win
7H,9C,QS,8C,AS,JC,loss
7C,6H,AC,7H,7S,AD,win
JC,9C,9S,QH,6S,QS,loss
AH,6C,9H,TC,KC,TH,win
AD,TS,9C,8C,7H,KD,loss
QD,9C,AC,TS,6S,KS,loss
KD,AS,QH,8D,QS,6S,loss
8D,AD,6H,6D,JH,7D,loss
6S,TD,JS,9D,8D,9S,win
9C,AH,JH,AD,9D,JS,loss
TH,6H,JS,TD,QH,QC,loss
AC,JD,JS,6D,8D,8H,win
JD,7H,AS,9C,TD,QS,win
KC,8D,9D,9C,7H,6S,win
6H,7D,TC,AD,8D,AH,loss
AH,8D,JH,JS,9D,QC,win
JC,7H,7S,KH,8H,JS,win
JH,8D,KS,AS,QH,TS,win
JS,7C,KH,6D,TC,8S,loss
9S,AD,KD,JH,QS,JC,loss
8S,KC,KH,6C,7S,6H,win
6H,7D,TD,7S,JC,JS,loss
KC,QH,JC,8C,6H,JS,loss
7S,6C,QD,9H,8D,KH,loss
6S,JH,AH,6D,7C,TD,loss
KD,7C,TC,AD,8S,QD,loss
8C,TC,KC,KS,9S,QC,loss
9H,AC,JS,TC,7C,6H,loss
TD,JH,9S,KC,TC,AC,loss
AS,8D,TC,TH,KD,TD,loss
JS,QH,AH,JD,AS,9H,win
TC,8S,QS,7D,KH,9C,win
8D,7C,QC,TH,9D,JH,loss
8C,6C,QS,AC,6S,KC,loss
8S,8D,QH,7C,KS,JC,loss
AS,9H,AC,KS,QC,6D,win
AH,7S,JD,9D,QC,KD,loss
QS,AC,AD,KD,9H,TD,loss
TS,QH,9D,6C,7S,QD,loss
6D,9C,AC,AS,9D,AH,win
7C,9H,AH,9D,7S,6H,win
AC,7S,JC,9H,6D,6C,win
TH,6H,AD,TS,AC,7S,win
6D,8S,9D,7S,TH,9H,loss
JD,KD,7D,7H,QC,QS,loss
9H,QS,QC,TS,AD,AH,win
TS,JH,8H,AS,QH,8D,win
TH,AS,8C,AC,TS,QS,win
AD,TC,QD,JC,QH,TD,win
TS,9D,KH,KD,TD,AH,win
AS,AD,7C,JC,9H,AH,win
QD,9H,JH,9D,6S,8D,loss
AH,QH,AC,8S,6H,8H,win
8C,TS,6S,QH,7H,7C,win
AD,KC,6S,JC,JD,7D,loss
7D,8C,AS,6S,JH,QC,win
6H,JD,6C,QC,9C,TS,win
TC,JH,TH,KH,8D,KS,win
8S,KS,TH,QH,JC,JD,loss
KS,TD,6H,TH,8C,AS,win
8S,JD,TC,7C,QC,QH,loss
7C,TS,KH,TH,6H,6S,win
AS,9C,KC,JD,8D,QH,loss
JH,JC,TC,AC,KH,9S,loss
QH,7C,7D,KC,AD,7S,win
JH,8H,6D,AD,JD,AC,win
9S,6S,8S,KS,KD,6D,loss
JS,TH,6D,9C,TC,9H,win
9D,9S,8S,6S,JH,TD,loss
JH,AD,QS,TC,KS,7S,loss
QH,9S,TH,AC,KH,9H,win
7D,TD,KH,QS,QH,9S,win
AS,JC,9C,8D,JH,QC,win
KH,TD,AC,KD,QS,6D,win
7S,6H,8D,6D,KS,QC,win
AC,AH,QH,8C,QD,TH,win
QC,JC,9D,JH,6S,TS,loss
7H,KD,9S,KH,QS,8D,win
KS,9S,QS,TH,6C,7S,loss
JC,QD,KD,8S,KS,TH,loss
QD,6S,TH,KC,8C,JH,loss
JD,QH,QD,TC,7S,KH,win
JS,JD,9S,KH,7C,6C,win
8D,QH,9H,6H,8C,AH,win
JD,JC,KC,9S,6C,JS,win
8H,9C,7S,9S,8S,JC,win
KS,9C,KH,QC,7D,JH,win
TS,6D,JH,6H,QS,8S,loss
JC,8C,9C,QC,AD,TC,win
TD,QH,6C,AD,9S,TS,win
TH,7H,7C,7D,TC,KH,win
8D,9H,QH,AD,AC,6H,loss
JC,AH,AC,9S,JD,TH,win
TC,AD,7S,JC,6D,KD,loss
AH,TD,9H,TH,JC,AC,loss
AC,AD,AH,JC,KS,KD,win
9C,AD,TS,8S,AH,QH,win
6C,7H,9H,TC,JS,TD,loss
6S,KD,6H,8C,TH,9H,loss
8S,QS,6D,AC,QH,KC,win
TS,6D,9H,AS,8D,AH,loss
7H,7D,6C,TD,7S,9D,win
JH,JS,TD,7H,6S,KD,loss
8S,9C,TH,6H,8H,7D,win
8H,QD,JS,9H,KS,6H,win
AC,8S,QC,KH,QH,7H,loss
6D,AS,9S,QD,KC,6H,win
9S,JH,KD,QC,TD,8S,win
6H,TD,QC,9D,7C,JS,win
7D,TH,JC,JS,QS,6D,loss
8D,KC,AH,TD,7H,KH,win
8H,AD,TH,JD,8D,KS,loss
TS,TH,6C,7D,JD,JC,loss
AD,9H,JD,6D,KC,TS,loss
AC,TD,8H,KD,KH,6H,win
AH,AC,7H,9S,AD,6S,win
9H,6S,QC,TS,9S,TD,loss
9H,AS,JD,AH,TD,KD,win
8H,6S,AC,AS,JS,6C,loss
QS,TS,9C,9S,AS,JC,loss
JH,6H,TC,QH,9D,QS,win
9D,JS,JH,7H,8S,KD,win
JC,TS,9C,KC,7S,9S,loss
JC,TS,AD,8C,AC,6H,win
TS,8D,9H,JH,7D,6C,win
9D,7D,QS,TC,8D,JD,win
JC,8S,AS,KS,TS,7C,win
JS,9H,JH,TS,QC,7H,win
AC,KH,AD,QD,8H,6C,win
8S,7D,TC,AS,KH,KD,win
JD,TC,7S,7H,6C,7C,win
7D,9S,TD,8S,6D,7S,win
KH,9D,7C,7S,QH,7D,loss
9S,TH,TD,9D,JH,QD,loss
9S,7H,JS,6C,KS,9H,loss
AC,JH,TH,7H,TS,JD,win
TD,7C,TC,8H,7H,AH,win
9S,6S,AD,KC,JH,7S,loss
8D,9C,6H,8H,QS,9S,win
KH,6D,JC,6C,AC,6H,win
KD,AC,KC,JS,8D,9H,loss
9D,AH,QC,JS,TH,AC,loss
7S,8C,TC,8H,8S,TS,win
AD,6C,TS,6D,6S,9H,win
QC,6S,TH,AD,6D,AH,loss
7D,6S,9D,AH,8C,KC,loss
AC,6H,KD,TD,TS,7S,loss
TS,8S,6D,AS,KC,JS,loss
TH,9H,JH,AS,QS,8C,win
QD,8S,9C,AC,9S,QC,win
7D,TD,6S,TH,TC,8D,win
6D,8C,QH,6C,AC,7S,loss
AS,JS,KH,6S,AD,8S,loss
TS,QH,TH,6D,QD,JD,win
TC,8H,TH,KC,JS,6D,win
JD,QS,QD,7S,QC,8C,win
6S,QH,8H,AS,TH,7S,loss
7H,8S,QC,6S,9H,7C,loss
6S,KD,9H,KH,AC,TD,win
9C,JH,7H,KC,8S,9D,loss
7C,QC,AS,7H,AD,AC,win
TD,KD,9D,7D,9S,6H,win
9H,JD,8C,6D,8D,AD,win
TC,9D,AH,JC,KD,7D,loss
7C,KC,6S,TD,TH,JH,loss
9S,QD,TH,6S,9H,9D,win
JC,8D,TS,7D,AC,AH,loss
7D,8C,JS,8D,KC,JD,win
6S,TS,JS,TD,AD,8C,win
9C,JD,JS,6C,TH,KH,loss
9H,6S,TH,9C,6H,JS,win
6H,KH,6C,AH,9S,7D,win
AC,6D,6S,JS,9D,9C,win
8H,6S,7D,JD,AS,AD,loss
9S,9D,AD,KS,KH,8D,loss
JS,TD,6H,7C,AH,6D,loss
TS,JC,9H,AC,8D,7D,loss
9D,AS,7H,6S,8H,9H,win
KS,KC,TD,8H,6S,QH,win
KD,6D,KH,7C,8H,7D,win
KH,TC,KS,7H,6C,TS,win
AS,7H,JC,TH,AC,KC,loss
8D,7S,KD,TD,9D,6D,win
QH,TC,6C,9C,KH,9S,loss
9D,TS,9C,KS,AS,7S,win
8S,KD,8H,9D,7D,6S,loss
8H,8S,7C,AS,QS,AD,win
8C,8D,9C,7S,QS,AH,win
KC,QD,7H,AD,9S,TD,loss
KD,KH,JH,9C,JS,6H,win
KD,QH,TS,7C,AD,8H,loss
AC,TC,AH,KS,QH,AS,loss
6S,QD,7H,6H,AC,8D,win
8S,8D,KC,AH,TH,7H,loss
8S,7S,9S,6H,9D,AS,loss
7H,QC,KD,JD,TH,9S,loss
QS,8S,QH,8D,7H,AH,win
7C,7H,JD,QS,KD,9C,win
6D,KD,JS,AD,7S,9S,loss
6C,TC,QC,TH,KS,TS,win
QS,7H,TD,JD,KH,8S,loss
6D,AC,JC,QD,9S,JH,loss
JS,TH,AD,JH,9S,7D,win
QC,QS,7C,TD,KH,KS,loss
AS,7S,AD,7C,TS,7H,win
QH,8S,TC,9H,TS,7D,loss
JC,8H,TC,9S,AH,9D,loss
9H,AH,8H,6D,QC,AC,win
QC,8C,AD,KC,TH,QS,loss
KD,JS,7D,9H,JH,AS,win
QS,JC,QD,JH,6C,9H,win
8H,AD,7S,9H,KD,8S,win
9H,KD,7C,AS,JS,7S,loss
JS,7S,8S,JC,7D,KD,win
AD,6S,QS,7C,9H,TD,loss
JD,6C,QH,8S,TH,6H,win
JD,7H,9D,JS,7C,QC,loss
8H,AC,AD,9H,TC,6C,win
TH,TC,QS,JD,QD,AD,loss
9D,JS,AH,AS,KS,JH,win
6D,8D,KC,JC,TD,9S,loss
JS,QS,8S,9C,QH,QD,win
7H,9D,9C,TD,8D,6C,win
QD,7H,TS,6C,8D,TD,win
JS,JC,QH,6C,QC,QD,loss
8S,KH,TS,JH,8C,8H,win
AD,9D,JH,9S,QC,9H,win
8C,JC,AS,QS,9D,AD,loss
7C,6C,QH,TS,AH,9C,loss
JD,JS,JH,QC,KC,AC,win
TH,TS,8S,6S,7H,7D,loss
QH,9C,6S,KC,6D,JC,loss
7H,TS,7S,7D,8S,9C,win
KC,6D,7D,TH,JS,8H,loss
7S,QC,9H,7H,8S,JS,win
6D,QH,QC,9H,KC,AH,loss
7H,KH,9S,9D,TC,6S,loss
8D,8S,9D,QC,6D,9H,loss
KD,6C,9S,AC,8D,TC,loss
6S,9H,JC,6C,AD,9D,win
KH,QH,JC,6D,KD,8C,win
9S,9H,8D,6C,KD,9C,win
QC,8S,KH,QH,6S,7D,win
AD,9C,JS,AC,TC,7S,loss
9C,AH,AS,KS,KD,6D,loss
TD,9S,9C,AH,7S,KD,loss
JS,TD,QH,7C,6D,7H,loss
7D,TS,8S,AH,8C,9H,loss
AC,6D,8H,QH,6S,JH,loss
8H,6S,QH,TS,AC,9S,loss
TS,TH,6C,7D,JH,AH,loss
KD,7C,KC,6H,8H,6S,win
KD,KH,TC,9H,AH,9C,win
9D,7H,6S,KC,AS,TS,loss
6D,KS,QH,TD,KC,6H,loss
KC,8H,JH,6H,JS,QS,loss
7S,KD,9D,9C,QC,JC,loss
KH,AH,JH,QH,7C,QS,win
KC,JD,7S,AC,8H,TH,loss
JC,7H,9H,9D,6D,TC,win
TH,KS,KC,6C,8C,TS,loss
8H,7H,6S,9S,AD,JD,loss
AC,KD,8C,TH,QH,7S,loss
9H,KS,8C,7D,KD,KC,win
7H,AC,TC,8S,9S,QH,loss
JD,QS,KC,KS,9C,QC,win
QH,TH,KC,JH,8S,KH,win
7C,9D,6C,TH,QC,6D,loss
6C,6H,QH,7S,7H,TD,loss
AD,7S,KC,9D,KS,6S,loss
8S,JS,7C,KS,AD,QS,loss
6S,QS,QH,QC,KD,TH,win
KD,8S,8H,AH,QC,TH,loss
6C,7H,QH,JC,9C,7S,win
8D,8S,AD,7S,TH,6S,win
KS,AH,AD,6H,KC,9S,win
AD,8C,8D,JD,QH,9H,loss
8S,6S,AS,KH,9S,KC,loss
9H,9S,7D,AC,8C,KH,win
AD,KS,QC,KD,JS,JC,win
AC,KD,JH,JS,9H,6H,loss
KC,9C,6D,JH,6C,KS,loss
AD,TH,6D,AH,7C,9C,loss
8S,7D,7C,AD,9H,KD,win
6H,JS,JH,QD,QS,AC,loss
TS,9H,QH,QD,6H,9D,win
9H,9D,KS,8H,JH,JD,win
9S,6H,8D,7D,JS,TC,loss
8H,QS,9S,KH,QC,JD,win
7D,QH,9C,AS,7C,JD,win
KS,JS,TD,JD,9S,6C,win
6C,AH,6H,JH,7D,AC,loss
6D,7S,JD,AD,AH,6C,loss
8S,6C,TD,6S,JS,7H,loss
9D,KD,AH,KC,JD,6H,win
AD,JS,9C,9S,7H,TH,win
7H,6D,AD,TS,8C,9S,win
TS,JH,8C,QC,9S,7H,win
6D,TH,9C,KD,6C,7H,win
AS,AD,8H,TD,QD,7C,win
8H,7D,6S,JH,JS,QH,loss
QD,JC,8S,AH,JS,AD,win
KD,8D,QC,KH,8S,8H,win
AS,7S,JS,JC,9H,7C,loss
AD,7H,8C,JD,AH,TC,win
6H,6D,6C,7C,QH,KS,win
KC,KD,6C,9S,TH,8C,loss
KS,KD,7D,9S,9C,QS,loss
8C,KD,7D,KC,JD,7H,loss
TD,7S,AD,TC,QD,6S,win
8S,JD,KD,KH,8H,AC,loss
QC,6D,9S,JD,7H,6S,loss
QD,7D,AS,AD,9S,JH,loss
JH,7C,7D,JD,KS,6C,win
TC,8S,JS,9S,8C,JD,loss
AH,6C,9D,AS,QS,9C,win
KH,9C,JH,9D,KS,JC,win
8H,QD,AD,AS,9C,7D,win
JS,AH,7C,7H,JC,6C,win
TS,KH,8C,QH,6D,JC,loss
QC,6D,6H,KC,TC,KS,win
TH,TS,QS,8C,QC,KD,loss
JC,6S,9C,8S,KH,6C,win
QH,KH,6H,QD,TC,JH,loss
JD,AC,TC,7S,9D,8C,win
QS,TC,7S,KS,AS,KH,win
QS,6S,8C,QC,6D,6C,win
8C,JD,6S,7C,6H,9C,loss
6S,JC,7C,JS,AD,9D,win
JC,QC,AS,KH,TC,9D,win
KH,QH,QS,8S,KS,TC,win
TS,8D,AD,QH,9S,QC,loss
6H,6C,TS,QS,KC,9H,loss
JH,QC,AD,AS,QS,8D,win
JD,AH,QH,7H,TH,KD,loss
9C,JH,KS,QD,7S,6S,loss
TH,6H,QC,QH,KH,9S,win
KC,6H,AC,9D,8S,9H,loss
JS,TS,AH,6D,JD,AD,loss
AH,JD,8C,KH,QD,8S,win
6S,8S,AH,7C,6H,JS,win
TD,AC,AH,TS,KS,6D,win
TH,7D,TS,8S,AS,JD,loss
9D,7C,8D,KH,AH,JS,loss
AD,JC,TS,AH,9D,TH,win
8H,8S,QC,9C,TH,JH,loss
6C,QD,AS,KC,JS,7D,loss
KS,JD,JH,KD,QC,TH,loss
6C,8D,JS,KS,8S,KD,win
QD,9H,JC,6D,9D,TD,loss
8S,AC,KD,QC,9H,TC,loss
7H,AC,9S,JS,8H,QS,loss
JH,JD,AD,AC,7S,8H,win
7C,TC,7D,6D,JH,7H,win
KS,6H,7H,8H,6S,AS,win
KD,AS,QD,7S,AD,7C,loss
KC,AD,KD,7C,TH,AH,win
KC,JS,AD,9S,8D,9H,win
JD,AD,9D,QC,8S,7D,win
7S,9H,6S,QD,TD,9S,loss
AD,7D,AC,JH,7S,JS,win
7H,6C,QS,QC,AS,6S,win
JH,9H,AS,JC,6C,8C,win
6C,QH,QC,9C,AH,KD,loss
6S,JD,TC,8D,JS,JH,win
9D,6D,6C,JH,JC,QH,loss
8H,KC,9S,JH,9D,KS,win
JD,TD,7C,QS,8H,7S,loss
QS,6D,TS,KC,8D,QD,loss
AC,TD,7S,AH,6D,JH,win
QS,JS,8D,JC,TH,8H,win
6D,7H,QH,JH,8D,QD,loss
KH,KC,8S,9H,JS,AC,loss
TH,KD,AC,AS,7S,JC,loss
TD,AH,8D,JC,JD,9H,win
6D,QC,AC,8D,7C,QH,win
TC,7C,TH,JD,8D,QC,loss
AH,9C,QS,8D,KD,6C,win
KH,JC,QS,TH,TS,JS,win
7C,QC,KC,7H,8C,AS,loss
KH,6C,7S,KC,JC,AH,win
7S,TD,AH,8H,JC,QC,loss
7C,QC,7S,8C,8H,KD,loss
AS,AC,JC,TH,9C,KH,win
8H,JD,AS,QH,6H,TS,loss
6C,JS,AS,AC,7C,9S,loss
7C,9D,KS,7S,TH,8S,win
KC,6D,7C,TD,9C,QD,loss
JS,AC,7S,6H,KS,9D,loss
QS,8D,TS,9C,TD,QD,loss
7S,AD,7H,QC,6C,6D,loss
QH,AD,9H,7H,KC,TS,loss
9H,QC,8S,JS,TC,KC,win
6C,TS,7H,9C,7S,7C,loss
JH,6H,9D,QH,6C,7S,win
9C,AH,QH,7H,QS,QC,loss
9C,JH,QS,AH,7D,QD,loss
KS,TC,9C,7S,6C,9D,loss
9S,7S,JC,TC,7H,6D,loss
8D,7D,7S,QS,8S,JD,loss
8C,AH,9H,8H,QC,6S,loss
7S,6D,AS,8H,6S,KC,loss
9C,TD,9D,QH,QC,6D,loss
KC,9H,8D,9D,TD,KS,loss
7S,TS,6D,AC,6H,QC,loss
JC,8S,TS,7S,KS,9D,win
8C,AS,QH,AH,7H,JD,loss
JD,TS,JC,6S,QH,TD,win
7H,AS,AC,TC,KH,9S,loss
TC,TS,QS,8H,JC,9C,win
8C,7D,AH,8D,TH,QH,loss
QC,AS,8S,9D,9H,TC,loss
8H,6C,6S,7D,JD,7C,loss
6D,AS,8S,6C,AD,JH,win
6S,AH,JC,QS,9S,AD,win
AC,8H,QS,AH,KC,AD,win
AC,7S,JD,9D,QC,9C,loss
JH,KH,9S,QC,KC,6D,loss
JD,QH,7C,JH,7H,8C,loss
KC,9D,AS,9H,8D,KD,win
TS,6D,8C,7C,7D,JC,loss
7H,KC,9H,AS,9C,JH,loss
AH,TC,8H,KC,QS,6S,loss
9C,8H,8C,QC,JS,JC,loss
TH,KS,6C,7S,8D,8C,loss
QH,8S,TH,AC,KH,TS,loss
9D,9C,JD,7C,7H,6S,win
6C,6S,7S,QH,AD,JC,loss
6C,KC,9H,KS,KH,TH,win
7D,QD,9S,JC,KH,JS,loss
KH,8S,8C,QH,9S,QD,loss
9C,JS,7H,7C,6S,TS,win
JH,TH,TD,KS,6S,TS,win
AD,6H,QD,KH,9D,9S,loss
TS,9D,KH,TH,7D,AS,win
7D,JC,8H,QC,QS,TD,loss
8C,QS,JH,8D,KC,AH,loss
7S,TH,6C,7D,AD,8S,win
6C,7H,6H,AH,QC,JH,win
6H,8H,AD,JC,6D,9H,loss
TH,QC,JC,7S,6S,AD,win
QC,9D,TH,8D,JS,JD,loss
KC,7C,JC,JD,9C,AD,win
TH,9D,7S,8D,TC,6H,win
JH,TD,9S,KH,7D,8D,win
QD,JS,AD,8S,JD,KH,loss
TC,AH,6D,9C,QS,9S,loss
JH,7D,QC,7C,7S,6H,win
8C,8H,JC,QC,8D,6H,win
8C,8S,8D,KS,JS,8H,win
KD,8H,TC,9S,JC,QD,win
AC,8H,JS,6D,QS,AH,win
8H,9H,QD,QS,JH,AH,loss
6H,TD,TC,QS,6C,JS,win
JS,7H,QS,9C,JC,QH,win
TD,KS,AC,7D,6D,9C,win
AC,QS,9D,AH,QD,7D,win
9S,TC,6S,8S,AD,QS,win
QH,TH,TD,7D,8D,QD,loss
8S,JS,AC,6C,TD,9C,win
9C,9H,9D,JD,JH,7H,win
AD,9D,8D,8S,JS,QC,loss
QD,KS,8S,QC,AS,TH,win
7D,JC,KS,JS,TD,8H,win
6S,9C,QH,9D,8D,9H,loss
KH,KD,TH,6C,JD,9C,win
AS,QH,6C,7C,6H,8H,loss
9S,9C,AH,7S,KC,TH,loss
9D,TH,6C,QH,6S,KC,win
QC,6H,AD,KH,7C,KS,win
9H,7C,7H,KC,AD,6S,loss
KD,6S,JC,7C,AC,6H,loss
9S,TC,TD,9C,7D,KH,loss
AH,8D,6C,JC,QC,KC,win
KC,TH,9H,TS,6H,QC,loss
JH,JS,QC,KS,7C,TS,win
6C,7H,TD,QC,9C,KS,loss
JC,7D,9S,JD,AD,7C,win
AC,TS,6S,9D,9C,8H,loss
7C,QC,AH,7S,JH,KD,loss
8H,JH,QD,AD,AH,9S,loss
6H,JH,JS,8C,7D,KD,loss
