card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
QD,AC,JS,8D,KS,9C,c,c,r,loss
AH,QC,QS,JS,7H,9C,c,r,r,win
6H,KH,KS,6D,6C,TD,r,r,r,win
KH,9S,6D,7H,TD,AS,r,c,r,loss
6S,AC,7D,TS,QH,8D,r,r,r,loss
JS,JD,QD,AC,AD,8H,c,r,r,win
9H,KS,6S,9C,KC,8C,r,c,c,win
JC,9S,QH,KC,AS,7S,c,c,r,win
9D,AH,JD,9S,KD,TS,c,c,r,loss
9S,8D,7H,TD,6H,QH,c,r,r,win
8D,9D,7S,6C,9C,6D,r,c,r,loss
AS,6D,KC,KD,TS,6C,c,r,r,loss
TS,QH,8H,QD,7H,AH,r,r,r,win
6H,KS,6C,7H,8D,KC,c,c,c,win
7S,6H,9H,JH,QH,8H,c,c,c,win
8S,TD,6H,JD,KH,AH,c,c,r,loss
KC,JS,9D,TD,8H,KD,r,r,r,win
8S,AS,9D,8C,KD,QC,c,r,r,loss
QC,8C,7C,JS,QD,9D,c,c,c,win
6C,8S,9S,AC,TC,AS,c,r,r,loss
AC,6S,8D,JS,9H,JH,c,r,r,loss
9D,KD,QC,KS,6C,TS,c,r,r,loss
7D,8S,9C,JD,JS,AH,r,r,r,loss
QC,9C,8C,8D,KH,TD,r,r,r,loss
KH,7C,7S,KC,9S,JH,c,c,c,loss
AC,KS,QD,AS,AD,9C,c,r,r,win
AD,8D,8C,6S,TS,QC,r,c,r,loss
7S,8S,TC,QC,6S,KC,c,r,r,loss
9D,7S,JD,8H,7H,TD,c,r,r,win
8S,7S,9H,JS,9S,AC,c,r,r,win
6C,7S,QD,7H,8S,9H,c,r,r,loss
8C,8S,7S,9H,6C,KS,c,r,r,win
8H,7D,AC,KS,9C,6D,c,r,r,loss
8C,TD,QS,KS,8S,6S,c,r,r,loss
6C,JS,AS,7D,6S,JC,r,r,r,win
AS,8H,KS,9C,7S,TH,r,c,r,loss
6S,6D,TS,QC,KC,TD,c,c,r,loss
8H,6H,TD,TH,6S,QH,c,r,r,loss
QD,6H,7H,6D,TD,JS,c,r,r,loss
AH,9D,QC,KC,KH,8S,c,r,r,loss
KH,TS,9H,JH,8S,8D,c,r,r,loss
7D,9S,KD,TC,8H,6S,c,r,r,win
TC,KC,7D,9H,7H,6S,c,r,r,loss
7C,JS,QH,QC,JD,9H,c,r,r,loss
TD,JC,TH,QC,8C,7H,c,r,r,loss
AH,9H,KS,8C,6S,KH,c,r,r,loss
9D,8D,JD,QC,9C,9H,c,c,r,win
JH,QS,QD,JC,AD,TC,c,c,r,loss
7S,AH,KS,6H,9S,7C,c,c,r,loss
JH,8C,9H,TC,AC,AD,c,r,r,loss
7C,8C,KS,JC,TH,7H,c,c,c,win
7S,JC,TC,JD,6D,QC,c,r,r,loss
QC,QH,TS,6S,7D,QS,c,c,c,win
7D,7H,6C,9H,9D,TS,c,r,r,loss
QS,TH,TC,8D,6S,7C,c,r,r,loss
7D,AH,TD,AD,AS,6S,c,r,r,win
8D,QC,JD,6S,KD,AH,c,r,r,loss
7H,8D,8C,6C,9H,KD,c,r,r,win
QD,TD,KD,7D,8S,QH,c,c,c,win
JS,QH,7S,AD,8S,TC,c,c,r,loss
TD,9H,AS,7D,7H,8C,r,r,r,win
8D,6D,8C,QH,7H,6S,r,r,r,win
7S,JH,TH,AS,KS,QH,c,r,r,win
AD,KH,9H,AH,QS,JC,c,c,r,loss
QD,TH,KS,TS,QS,TC,c,r,r,win
KD,QS,JS,8S,6C,6S,c,r,r,loss
9C,TD,7D,9D,8C,AD,c,r,r,win
8C,TD,6H,TS,6D,9H,r,r,r,win
AS,TS,JH,KH,7D,8C,c,c,r,loss
AC,9S,QS,JS,QC,JD,c,r,r,win
QS,TD,AS,TS,9C,JS,c,c,r,win
TH,QC,9H,6S,JH,7C,r,r,r,loss
9S,AD,JH,9C,JS,6H,c,r,r,loss
JD,KC,AH,AC,6D,8S,c,r,r,win
KD,AS,JH,AH,6D,7C,c,r,r,win
QD,QC,8C,JH,AH,AS,c,r,r,win
8S,KH,9D,TS,6D,9H,c,r,r,win
7H,JS,6S,9D,6H,9H,c,r,r,loss
6D,TH,TD,AD,9C,KD,c,c,c,win
QH,QS,8D,8C,TH,AC,c,r,r,win
JS,KD,7S,9H,TH,6S,c,r,r,loss
8C,KD,9D,7H,6S,9H,c,r,r,loss
KS,KD,QH,AD,9H,8C,c,c,c,win
QD,9D,9H,8S,8H,JD,c,r,r,loss
JS,6C,8C,KC,AH,QS,c,r,r,loss
7S,6D,QS,9H,7H,AS,c,c,c,loss
KD,AS,JS,7C,9H,9C,c,r,r,loss
JS,KH,JD,9C,7S,9H,c,r,r,loss
AD,8C,8S,JH,7S,AS,r,c,c,win
6H,8H,JS,QH,JC,TS,c,r,r,loss
JC,JH,7D,AD,QD,AH,r,r,r,loss
TC,JD,AD,QS,QC,7S,r,r,r,win
KS,6D,6S,KD,JD,7C,c,c,c,loss
JH,AH,7C,KC,8C,JD,c,c,c,win
8S,AC,KC,AS,7S,9D,r,r,r,loss
QH,9H,TD,6H,9D,9S,r,r,r,win
6H,6C,9S,QH,KD,TH,c,r,r,loss
8S,7C,6D,KS,8C,7S,c,c,c,win
TS,JC,JH,TD,QD,7D,c,c,c,win
JD,KS,6H,KD,TS,9S,c,c,c,win
JH,7S,7H,AC,KC,QH,r,r,r,win
8C,KH,9D,9S,8D,7S,c,r,r,win
6S,7S,9C,QC,7C,AD,c,c,c,win
QH,8C,KC,8D,QS,AH,r,r,r,win
AS,7D,AD,JC,QS,9C,r,r,r,loss
9D,JS,KD,JH,8S,6D,r,r,r,loss
8S,JS,AH,JC,QC,7C,c,c,c,win
JH,JC,JS,AD,AS,QC,c,r,r,win
7C,7D,TS,JH,9S,8C,c,r,r,loss
9C,KD,KS,JH,JS,7C,r,r,r,win
QD,QH,TS,AS,7C,KS,c,c,r,win
6H,KC,9D,6S,AD,TH,c,c,r,win
KH,7D,AS,JC,JD,KC,r,r,r,win
QC,8H,8D,AH,7D,7S,c,r,r,loss
9S,8C,AH,7H,9D,QS,c,c,r,loss
JC,6C,QH,7D,AH,9H,c,c,r,loss
JC,QC,9S,9C,AH,QS,r,r,r,win
8C,9S,TS,TD,QD,KD,c,r,r,loss
7C,QD,QH,AH,9S,9H,c,c,r,win
9C,KC,8C,9S,AD,AH,c,r,r,win
9C,KC,8H,8D,JD,QD,c,r,r,loss
8H,QS,9D,KC,8D,TC,c,r,r,loss
KC,9D,TH,7C,TC,6D,c,r,r,loss
JC,9S,JH,QH,KD,QS,r,r,r,win
QC,9S,AD,JD,QD,KC,c,r,r,win
AS,QD,8S,9D,9C,KC,c,r,r,loss
6D,AD,JH,KS,TD,TS,c,r,r,loss
KH,6H,6D,AH,TC,9S,c,c,c,loss
AD,7D,8S,JS,6S,QS,r,r,r,loss
8H,7S,QS,8C,TC,JS,c,c,r,loss
JS,JC,8H,8S,8D,QD,r,r,r,win
8D,8S,9D,7H,AS,AD,r,c,r,loss
QS,KS,AC,TS,AS,AD,c,r,r,win
6D,6H,7S,TH,9C,JC,c,c,r,win
QC,AC,KD,JC,QH,7D,c,r,r,win
8C,8S,7C,QD,TC,7S,r,c,r,loss
7S,AS,7D,TD,AD,6C,c,r,r,win
9C,9D,KD,7D,AC,TH,c,c,r,loss
QS,KC,7H,7S,JC,AH,c,r,r,loss
TD,AS,TC,JH,AH,QC,c,r,r,win
AS,AC,QS,AH,9H,9D,c,c,r,win
9H,9C,JC,7S,8H,JH,c,c,r,win
AC,6D,8S,JD,TH,TS,c,c,r,win
AC,AD,QH,6H,JS,9C,c,r,r,loss
7C,JS,7D,AH,6S,9C,r,c,c,win
JC,TS,7S,9S,9C,KH,c,r,r,win
6H,AH,JH,QD,8C,7S,c,c,c,loss
JS,TH,TC,7H,KC,7S,c,c,r,win
JS,7H,QC,AS,TD,9S,c,c,r,loss
7H,6H,QH,JC,AH,AD,c,r,r,win
TC,8H,9C,9H,6C,KD,r,r,r,loss
QC,TH,8H,KH,6D,JH,c,r,r,loss
JS,AH,AC,8C,QC,TH,c,r,r,win
JS,9S,QC,QH,QD,KD,c,r,r,loss
8C,KS,AC,JS,6S,KH,c,r,r,win
8D,AH,JD,9H,7H,9D,c,r,r,loss
9D,8C,TD,JS,8H,7S,c,c,r,win
TH,8C,KH,QC,8H,TD,r,r,r,win
9H,QS,9D,JS,KC,7S,c,r,r,loss
KC,AC,9H,TS,KS,8S,c,c,c,win
6H,JS,9C,KD,AS,QS,c,r,r,win
JS,9C,JH,KS,7S,KH,c,r,r,loss
9C,TS,AD,KH,KS,6S,c,r,r,loss
JD,KC,6D,9D,JC,AC,c,r,r,win
9D,7S,7D,AD,6S,TD,c,c,r,win
KH,AC,8D,JD,QH,QD,r,r,r,loss
JD,6C,7H,9D,KC,8S,r,r,r,loss
TC,KC,9S,KD,8D,7D,r,r,r,loss
9S,8S,7H,JD,6H,9H,r,r,r,loss
KH,TD,JC,KS,9C,9S,c,r,r,loss
KS,6H,TH,8D,QC,KD,c,r,r,loss
KC,KD,JS,AD,TH,6C,c,r,r,loss
KD,TH,JC,9C,JS,KS,r,r,r,loss
7S,6H,JS,KC,6D,8H,c,r,r,loss
QH,AD,AH,6C,8D,7H,r,r,r,win
6S,JS,9H,KS,TH,9C,c,r,r,loss
9D,8S,9H,KH,7C,6C,c,c,r,loss
7D,8S,JC,QS,9D,KH,r,r,r,loss
6S,6D,QC,8H,8S,6H,c,r,r,win
QH,QS,7H,TS,JH,9C,c,c,c,win
JD,TD,7D,JS,QD,6H,c,c,c,win
6C,KD,8C,JC,QH,8D,c,r,r,loss
AD,TH,8C,6S,7C,TS,c,r,r,win
AC,7S,AD,AH,QH,KC,r,r,r,loss
TC,JS,TD,QH,9H,6H,r,c,r,loss
6D,8D,TH,7S,KS,QC,c,r,r,loss
QH,AC,TS,TD,KC,JH,c,r,r,win
9H,TH,QS,AH,TD,8C,c,c,r,loss
AS,TD,6D,7H,AC,JS,c,r,r,win
7D,8S,6S,6C,QD,8C,r,r,r,loss
8C,KS,TD,6C,AC,9H,c,r,r,loss
JS,6D,9D,AC,7C,9S,c,r,r,win
QS,7H,TH,6C,QC,KS,c,c,c,loss
7D,6C,6H,QD,TD,6S,c,c,r,win
8H,9S,9C,6S,8C,AD,c,r,r,win
9D,AH,7C,7D,JC,QC,c,r,r,loss
AH,TH,7S,AD,JD,AS,r,r,r,win
8D,QH,JC,7D,KD,TC,c,c,r,loss
7C,TC,TD,JS,TH,7D,c,r,r,win
7D,7C,JS,AD,8D,KS,c,r,r,loss
TS,7S,AD,QD,TH,AH,c,c,r,win
7H,6D,KH,JH,JD,8D,r,r,r,loss
7C,AD,JD,TS,7S,KC,r,r,r,loss
AH,6S,QS,7D,AS,6H,c,c,c,win
QC,8C,6H,7D,7S,QD,c,r,r,loss
TD,TS,QC,TH,JS,JD,c,r,r,win
QH,QD,9H,7C,QS,9D,c,r,r,win
AH,JS,9H,6D,JH,8H,c,c,r,loss
KS,7H,9H,QC,7S,AC,c,c,c,win
KD,AH,8S,9D,6D,8H,c,r,r,loss
AC,7C,8H,QD,AH,QC,c,c,r,loss
6D,8H,7S,9D,KC,JD,c,r,r,loss
AH,KD,QS,TS,6C,9H,c,c,r,loss
AH,KD,6C,KS,AC,9D,c,c,c,win
QH,8S,9H,JH,9S,9D,c,r,r,loss
QH,KH,6C,JD,9H,QC,c,r,r,win
9D,TC,8H,KH,7H,KD,c,r,r,win
QH,6H,8D,QD,TC,7S,c,r,r,loss
QH,AD,6H,6C,JH,7H,c,r,r,win
JH,9H,TD,7D,7C,JS,c,r,r,win
8D,AC,7C,9C,8S,QH,c,r,r,loss
AC,8S,7D,9C,TS,AS,c,r,r,win
TD,7H,JS,KS,QC,QH,c,r,r,win
TD,KS,KH,AS,JC,7S,c,r,r,win
JS,6H,6D,TS,9S,KS,c,c,c,loss
8D,8H,QC,KC,AS,9H,r,r,r,loss
6C,AC,8H,7D,9C,JH,c,r,r,loss
KC,8H,9S,8S,TD,QD,c,r,r,win
AS,TC,KS,AH,9S,TH,r,r,r,win
AD,9D,TH,9C,QH,8S,r,c,c,win
6S,8D,QS,TC,KS,7H,c,r,r,win
KH,QH,JH,6D,8C,8S,c,r,r,loss
6C,KH,7H,6D,JH,9S,c,c,r,loss
TH,8H,7S,7D,9C,AD,r,r,r,win
KC,AH,7S,AS,JH,7D,c,r,r,loss
KH,9C,6D,6C,TH,KC,c,r,r,loss
7H,KD,TH,TS,JC,AH,c,r,r,win
KS,8C,KH,6D,6H,9C,c,r,r,win
KC,8S,KH,JS,QC,JC,r,r,r,loss
JC,6C,6H,9H,KD,9S,c,c,r,loss
JS,9C,KH,6D,TD,JC,c,r,r,win
KH,7S,9C,TS,JS,QS,r,r,r,loss
TC,7H,QS,AH,JD,9S,c,r,r,win
JC,TC,8H,JD,9S,7C,c,c,r,win
9S,QD,7C,QC,JS,AS,c,c,r,loss
9D,9H,TC,QD,8D,JC,r,c,r,loss
AS,KS,KC,TC,TD,JD,c,r,r,win
8H,TH,AC,7H,QS,QC,c,c,r,win
JS,TD,JD,6H,TC,TH,c,c,r,win
9D,QC,TH,8C,7S,AH,c,r,r,loss
6S,6H,8C,QD,9H,8S,c,c,r,loss
TD,JS,AH,AC,7D,8C,c,r,r,loss
AS,AC,9C,TD,8D,KC,r,c,c,loss
TD,KH,8H,8D,QC,7H,r,r,r,loss
7H,7S,TS,9H,AD,TC,c,r,r,loss
7D,AH,8D,JH,7H,6H,c,r,r,loss
9D,9C,8H,7D,QS,TD,r,r,r,loss
KS,8H,6H,7H,JH,AH,c,r,r,win
9D,8S,QD,6S,TC,AC,c,r,r,loss
8C,AH,9D,6C,8S,8D,c,r,r,win
JS,9S,TD,6S,TH,7C,c,r,r,win
QC,JS,7S,9D,JD,QD,c,c,c,win
6S,TH,TD,JC,AD,KH,r,r,r,loss
8S,KH,TS,9D,7H,AS,c,r,r,loss
AS,TS,TH,6C,9C,JD,c,c,c,win
JD,8D,8S,AH,TD,JH,c,c,r,win
AC,9D,KD,7C,6C,KC,c,c,r,loss
KC,TD,QS,8C,QD,AH,r,r,r,loss
7D,KH,8H,8C,8D,TC,c,r,r,loss
JH,8H,JC,KS,9H,7D,c,r,r,loss
QD,7D,AD,9S,7S,JS,c,c,c,win
AH,KC,KH,AC,TS,7H,c,r,r,win
7S,6C,QC,TD,JD,8S,c,c,r,loss
AD,9D,9H,KD,KH,7D,c,r,r,loss
8D,9C,KD,KS,6D,7H,c,r,r,loss
8H,TH,9D,JH,QH,TC,c,r,r,loss
JH,TC,AC,7H,AS,7D,c,r,r,loss
AS,TH,AC,KS,6S,9C,c,r,r,loss
6D,KS,6H,TD,AS,KH,c,r,r,win
6H,AH,6S,6D,JH,AS,c,r,r,loss
KH,JD,7S,9D,QC,9C,c,r,r,loss
AD,9S,QH,JS,7H,QS,c,r,r,loss
AS,7S,6D,9C,QD,7H,c,c,r,loss
AH,TH,6C,TC,8H,QC,c,c,c,win
KD,KS,JD,9H,AS,6S,c,c,r,win
9H,6H,AC,TH,JS,AS,r,r,r,loss
9H,JS,8C,AH,6D,TD,c,r,r,win
8S,9D,AS,TH,6C,7H,r,c,c,win
JC,KC,QS,AS,AC,KH,c,r,r,win
6D,KS,QC,7D,6H,TH,c,c,c,win
TH,6H,9H,QC,TS,QH,c,r,r,win
9D,7H,JS,6H,TS,KH,c,r,r,loss
QH,9H,8S,QS,QD,KD,c,r,r,win
AH,KS,QS,QH,6S,9S,c,r,r,win
TS,8D,8S,TD,9D,9H,c,c,r,win
QC,QD,JC,QH,9D,KC,r,c,r,win
KC,JH,7D,8D,TH,QD,c,r,r,win
9H,QD,7D,JD,6C,7C,r,c,r,loss
8C,AS,JS,9S,9C,KH,c,r,r,loss
9H,8S,JC,QH,AC,6D,c,c,r,win
7H,JC,6H,TH,6D,TS,c,r,r,loss
KS,6H,KD,JC,AD,7H,r,r,r,win
7D,JD,6C,QC,JS,AH,c,c,r,win
7S,6C,KC,AD,TD,JS,c,r,r,loss
6H,7C,AD,TS,6S,9S,c,r,r,loss
7H,JC,6D,QH,7C,JH,c,r,r,win
7S,6S,TS,9S,9H,7C,c,r,r,win
7H,JD,9S,8S,QS,JH,c,c,c,win
9H,QC,KS,7S,JC,JH,r,c,r,loss
7C,8C,9S,TH,6H,7S,c,r,r,win
6H,AC,TC,7H,8D,JH,c,c,r,loss
TC,QS,TS,TD,JD,JH,r,r,r,loss
7S,7C,JC,JS,9C,6D,c,r,r,loss
6H,7C,AH,7H,QC,6C,r,r,r,win
8S,JD,7H,9H,JH,TH,r,c,c,win
KD,KS,6H,AH,8S,7C,c,c,c,win
7C,7D,KH,JD,7S,KD,c,c,r,win
QD,6H,KD,KH,AS,TD,c,r,r,loss
7H,QH,QD,KD,6S,9C,c,c,c,win
KH,JC,8S,8H,TH,7D,c,r,r,loss
JS,7C,JH,KH,QC,AH,c,c,r,win
TH,9S,6C,9C,AS,TD,r,r,r,loss
TC,KC,QC,AC,QS,KS,r,r,r,win
KH,6H,9H,8S,8C,6S,r,r,r,win
AH,8D,QS,TD,6C,TS,r,r,r,loss
9H,JH,9S,TH,8H,6D,c,c,r,win
TC,6D,AS,AD,9S,6C,r,r,r,win
AC,TS,QD,9H,7H,6S,c,c,c,loss
QH,KD,9S,8H,8D,6C,r,r,r,win
QC,7S,JD,KS,JS,TD,r,r,r,loss
8C,9S,QD,JH,QS,7S,c,r,r,loss
8S,7D,AD,JC,KS,AS,c,r,r,loss
6S,8C,8S,QH,6C,QC,r,r,r,loss
6C,JC,6D,7D,KC,6S,r,r,r,win
7H,9S,JD,QH,8C,9D,c,c,r,loss
JC,8C,JH,QH,9S,7H,c,r,r,loss
6S,TC,6H,AC,TS,7H,r,c,c,win
QD,TD,AC,JS,TH,7C,c,r,r,loss
KH,8D,KD,JH,TD,QC,c,c,r,loss
JH,JC,QC,8S,9C,8C,c,r,r,win
TS,9H,TH,6C,QC,6H,r,r,r,win
7C,7D,8H,KC,QC,7S,c,c,c,win
JD,QD,AC,7C,TC,QS,c,c,c,win
KS,7D,KH,QH,QD,JD,c,r,r,loss
7S,TS,JS,QC,QH,QS,r,r,r,loss
KD,8C,TH,QC,TD,6D,c,r,r,loss
8S,KD,7C,KH,8C,JD,c,c,r,win
AC,AS,6D,AH,6C,QS,c,r,r,win
JS,KS,9S,AH,QH,6D,c,c,r,loss
6C,TD,TC,9H,JD,8H,r,c,r,loss
8S,7H,9H,JC,QD,QC,c,r,r,loss
AC,KH,QH,6C,8C,6S,c,r,r,win
9C,7D,AH,7S,9D,6C,c,r,r,win
AH,JS,8D,JH,JC,7C,c,r,r,win
KC,8H,JC,6C,QC,8C,c,r,r,win
TH,TS,6C,9D,8H,JH,r,r,r,loss
6D,8D,9C,TH,AH,KD,c,c,r,loss
AS,TC,JS,QD,TS,QH,c,c,r,win
6H,AH,TC,KC,QC,6C,c,c,c,win
7D,7C,6H,7H,KH,9C,c,r,r,win
8C,9S,AS,8D,AD,7S,r,r,r,loss
QH,TD,6C,8C,TH,8S,c,c,r,loss
KC,JS,AH,9C,7C,8C,c,r,r,win
7D,AD,TC,AH,TH,KH,c,r,r,win
9S,AS,9D,JH,KH,KC,r,c,r,loss
JD,JH,6D,KH,7S,TH,c,c,c,win
QS,7H,6S,KS,QC,AD,r,r,r,loss
TH,JC,AH,AC,TC,8H,c,r,r,win
TD,QD,AH,KD,KH,JH,c,r,r,loss
8H,JC,9C,8C,KC,AS,c,c,r,loss
JD,6C,6S,8S,AH,JH,r,c,c,win
7S,8H,8D,AH,KS,AC,c,r,r,loss
TC,9S,8H,8S,TS,QC,c,r,r,win
JS,9H,KD,QS,9C,6C,c,r,r,loss
AS,6H,TH,8H,AH,6C,c,r,r,win
JH,9D,TS,8H,TC,9S,c,r,r,win
7H,7S,8S,QC,AH,JS,r,r,r,win
QD,AD,8C,QC,TH,KH,r,r,r,loss
AC,7S,QH,JH,9S,6D,c,r,r,loss
8D,7H,6S,JD,KS,AS,r,r,r,loss
JH,QS,7S,KC,8D,QC,c,r,r,loss
7S,9C,QH,KS,KH,6D,c,r,r,loss
TS,8D,KS,KD,6D,TD,c,r,r,win
AD,AC,KD,6S,7C,JC,c,r,r,win
AD,8S,QC,KC,QD,JC,c,r,r,loss
6H,6C,KS,AS,JC,JH,c,c,r,loss
QC,AC,7C,JD,AD,7S,c,c,r,win
9D,KC,9C,8C,TS,KH,c,r,r,loss
JC,KD,JS,KC,6S,8C,c,c,c,win
QC,9C,TH,8D,AD,6D,r,c,c,loss
7D,7S,KD,8H,6C,TC,c,r,r,loss
9S,JC,6S,TC,AS,QH,c,r,r,loss
7C,KC,AH,JC,AC,6S,c,r,r,loss
QH,JH,AS,AC,TH,7C,c,r,r,win
TS,6D,8C,6C,6H,AD,c,r,r,win
8C,6S,6H,8H,KH,7D,c,r,r,win
AD,JH,JC,TS,JS,AS,c,r,r,loss
KS,9H,QH,AC,KH,KD,c,r,r,win
QS,TD,JH,TC,9C,JC,c,c,r,win
9S,JH,7S,KC,6S,TD,c,r,r,loss
AS,KD,7S,7D,QH,8C,c,r,r,loss
6D,AH,8C,KS,AC,9D,c,r,r,win
TH,TD,8H,QC,7D,7S,c,c,r,win
QD,9S,AS,9C,QS,KH,c,c,c,win
AC,7C,7H,QD,AS,TC,c,r,r,win
AD,8S,QH,7C,QD,KD,c,r,r,win
6H,6C,TH,KD,7S,9H,c,r,r,loss
7D,6D,6C,JS,6H,JH,c,r,r,loss
9D,AH,KS,QS,KH,9S,r,r,r,loss
JD,TS,KS,6H,AD,QC,r,r,r,loss
AH,7C,KS,6D,KH,9S,c,r,r,loss
9D,7S,TC,JH,AD,6S,c,r,r,win
KH,TS,6C,TC,QD,KS,c,c,c,win
8C,9S,AH,8H,KD,7H,c,r,r,loss
9S,QH,7D,TH,8D,8S,c,r,r,loss
TD,6H,6S,JC,9D,AS,c,r,r,loss
QS,7S,AS,JS,9C,6H,r,r,r,loss
JS,QH,QD,QC,7H,JH,c,r,r,win
9H,7H,7S,6D,TH,6H,c,r,r,loss
8H,9C,JC,KD,6S,8D,r,r,r,loss
TD,AS,JC,KS,TH,9C,r,r,r,win
QH,7S,6D,QD,TH,7D,c,c,r,win
QC,8S,9H,6H,AS,6D,c,r,r,loss
9S,JD,7H,AS,AD,6S,c,r,r,loss
TS,AS,AD,7H,8D,KD,c,c,c,loss
7H,9H,AS,7S,TD,9S,c,c,c,loss
6C,QD,8C,9D,KD,KH,r,c,r,loss
AC,TD,7S,JC,7H,KD,c,r,r,loss
AD,9S,KH,QD,6H,TD,c,c,r,loss
KD,6C,9H,QS,KH,TD,c,r,r,loss
7H,TS,JH,AH,6S,7S,c,r,r,loss
KD,8S,TD,KC,6D,JS,c,r,r,win
AD,JD,KD,6D,JS,9D,c,c,c,win
JC,9H,7C,JH,6S,8D,c,r,r,loss
KC,6H,9H,JC,AH,QC,c,r,r,loss
8S,TD,QD,AD,6C,AH,c,r,r,loss
AD,KC,7S,9S,6D,7D,c,r,r,loss
TC,6H,JC,9S,QC,7D,c,r,r,loss
AS,6S,TS,KS,8C,KC,c,r,r,loss
TD,JC,9C,KC,TS,8H,r,r,r,win
JD,TD,8H,KD,6H,AD,c,r,r,win
AS,9C,KD,QS,JC,6D,c,r,r,loss
6C,7S,TC,8C,9H,QH,c,r,r,loss
JS,7H,AC,8D,JD,9C,c,c,r,win
QS,8S,TC,9D,7H,6S,c,r,r,win
9H,8C,TD,KH,TH,QS,c,r,r,loss
7H,AC,KS,8D,9S,JS,c,r,r,loss
6D,JC,KC,TH,7C,7D,c,r,r,loss
QC,6H,7S,7H,TD,KD,r,r,r,win
AH,JS,9H,6D,TC,9D,c,r,r,loss
8S,JC,TS,6D,7S,AD,c,r,r,win
7H,8H,6H,7D,QD,8C,c,r,r,win
9H,TC,8H,JH,7H,QD,r,r,r,win
8D,9H,TC,6S,TH,6H,c,r,r,loss
AS,JS,8S,AH,6H,8C,c,c,r,win
8D,JD,JH,QH,8S,7D,c,c,c,win
AC,7S,8S,6H,KH,7C,r,c,c,win
AS,TS,QC,9C,6S,JS,c,c,c,win
TC,8S,8H,QC,KD,9C,c,c,r,loss
JD,TC,AH,JC,9C,8S,r,r,r,loss
JC,9D,TS,TC,9C,6D,c,r,r,loss
KS,TD,9H,9D,JC,AC,c,r,r,win
AS,8H,6C,AC,7D,7C,c,c,r,win
QS,QD,QH,7H,8C,8S,c,c,r,win
AS,QH,AC,JH,AH,8C,c,r,r,win
TD,8C,8S,KH,QD,7D,c,r,r,loss
7C,QS,TC,AH,KC,QD,c,c,c,win
7D,JS,6D,QH,AD,7S,c,c,c,win
9S,9D,AD,KC,6D,JS,r,r,r,loss
7S,QH,TH,7C,QS,JD,c,c,c,loss
6D,JC,QH,QC,TH,6H,c,r,r,loss
6S,TD,6C,JD,7C,7S,c,c,r,loss
QH,9H,QD,JH,8C,JS,c,c,r,win
TH,AH,6D,TC,TD,JS,c,r,r,win
9H,AH,9C,QS,KH,AC,c,c,c,loss
AS,JH,KD,QD,KH,8H,c,r,r,win
8H,7S,KH,QH,JD,9S,c,c,r,loss
JH,7S,JS,6H,9C,KC,c,c,c,loss
7S,JH,6C,TD,AS,TS,c,c,r,win
AD,8S,TS,7S,KD,QH,r,r,r,loss
7H,AD,QH,KD,9C,TD,c,c,r,loss
JC,AC,6S,6D,7C,QH,c,r,r,loss
7D,TD,8S,9H,6H,JS,c,r,r,win
KC,QD,QC,6D,6H,KD,c,r,r,win
JH,9H,AH,8C,JC,QD,c,c,c,loss
QD,6C,7D,AH,JH,JC,r,r,r,loss
QS,TS,KH,TH,7D,7C,c,r,r,win
6D,7S,TD,6C,JC,6H,c,r,r,win
QD,KS,JD,8C,8H,8D,c,r,r,loss
QD,AS,JH,QH,TH,AC,c,r,r,loss
6H,QC,KC,TC,6C,6D,r,r,r,win
7S,KC,JD,6C,6H,8D,c,r,r,loss
9D,QS,JD,7C,KS,8C,r,r,r,loss
6C,8D,AC,7S,AD,9D,c,r,r,win
TS,JC,6D,9D,KS,8S,r,r,r,win
JC,AD,JS,QS,KS,8D,r,r,r,win
JD,6C,TD,QC,AS,8D,c,c,r,loss
KH,6C,QD,JD,6D,8D,c,c,c,win
KD,TH,QH,TS,JH,KS,c,c,r,loss
KS,AS,QC,TC,KC,AC,c,c,r,loss
QH,8H,8D,6H,9S,7D,r,r,r,loss
JC,TH,KH,TD,QH,9C,c,c,c,win
8H,8C,TH,KH,9S,JC,c,r,r,loss
7H,KS,QH,8D,KD,JS,c,r,r,loss
KD,9C,8C,TC,TS,7H,r,r,r,win
KD,JD,7S,9C,KS,8H,c,r,r,loss
AD,8H,8C,6C,JS,QD,r,r,r,loss
KC,AD,JD,6C,7H,QH,c,c,c,win
6H,KS,QC,9C,7C,8S,c,r,r,loss
TS,KS,JD,8S,6H,JS,c,r,r,win
6C,TD,AS,JD,9H,7S,c,r,r,win
AS,JD,TC,7S,JS,QD,r,c,r,win
KC,TD,JS,6H,AS,8H,r,r,r,win
7C,7S,9S,KD,8H,8C,r,c,r,win
QS,KH,TS,JD,6D,8H,c,c,r,loss
8S,JD,AD,7C,AH,AC,c,r,r,loss
TD,JS,QC,8S,9S,8D,r,r,r,loss
9S,QS,QC,AD,AS,QH,c,r,r,win
KS,TS,JD,9H,9D,TH,c,r,r,win
9C,7S,KH,AH,QC,QD,r,r,r,loss
JC,JS,AC,6S,8D,TH,c,c,r,loss
7S,AC,AD,QD,9C,AH,c,r,r,win
8C,QS,9D,TH,KS,KD,c,c,r,loss
7D,TS,8D,KS,QH,6S,r,r,r,loss
9H,8D,6S,JC,TC,8C,r,r,r,win
8S,QC,8C,QD,KS,7S,c,r,r,win
