card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
9C,TH,AD,QH,8C,7S,c,r,r,win
QC,QH,8C,JC,JS,KS,c,r,r,win
9S,KH,AC,8C,TC,JS,c,r,r,loss
9H,KH,7D,JH,TS,QD,c,c,r,win
8H,9C,7D,8S,KD,TS,r,r,r,win
6S,8S,6C,9H,AS,8H,c,c,c,win
JC,JD,QH,6D,8C,TC,c,r,r,loss
KH,6C,7S,KC,6S,6D,r,r,r,win
TD,KS,8C,TC,AH,TH,c,r,r,win
AD,8C,8S,6D,AH,KD,c,c,c,win
8S,QC,TS,JS,QH,TH,c,c,r,win
TC,KS,JH,JC,TS,9D,c,r,r,win
AD,KS,6C,9S,6H,AS,c,r,r,win
AS,TH,QH,KC,QS,8S,c,r,r,loss
JH,8D,KH,6D,7C,9S,c,c,r,win
AC,JD,JH,AH,AS,9H,c,r,r,win
8D,8H,9S,AS,TS,7C,c,r,r,loss
AC,JS,JD,9D,KS,9C,r,c,r,loss
7D,TS,JS,JC,6D,TD,c,r,r,win
KS,9D,AC,9H,7H,8H,c,c,r,loss
9D,JS,TD,6S,QS,AS,c,c,r,loss
7D,AD,QC,KD,JC,QD,c,r,r,win
JH,9D,KD,6C,AH,JD,r,r,r,win
9C,QS,6D,JH,AH,6S,c,r,r,win
QC,TC,KD,JD,9D,JC,r,c,r,loss
TC,7D,KH,6S,TS,9H,r,c,c,win
7C,TS,6H,6S,JS,KH,c,r,r,loss
QC,AS,QS,TC,6D,7D,c,r,r,loss
8S,QD,AC,JD,JS,8H,c,r,r,loss
TD,AS,JH,JC,QC,QD,c,r,r,win
9H,JH,TD,6S,KD,6D,c,r,r,win
6H,6D,6C,9D,8H,KD,c,r,r,win
QD,8S,KD,6H,KS,JD,c,r,r,loss
JD,8S,9H,AH,7D,JC,r,r,r,loss
TC,7D,8D,JC,8C,9D,c,r,r,loss
8C,8D,7D,QS,9S,6S,r,r,r,loss
AS,KH,JH,KC,AH,9S,c,c,r,win
AD,8D,AH,TC,9S,JC,c,r,r,win
JH,TD,AD,6H,TC,KS,c,r,r,win
JC,AS,9C,KC,8H,TD,c,r,r,loss
7D,6C,QS,TS,8H,KH,r,c,r,loss
AD,9S,7H,KS,TH,AC,c,r,r,loss
9D,JS,JD,QH,8H,TS,c,r,r,win
JS,TD,6D,QD,8H,QS,r,r,r,loss
9S,8H,7D,QC,8S,7C,r,r,r,win
JS,QC,TD,6C,KS,8D,c,c,c,win
7S,6H,8D,JH,6D,QH,c,c,r,loss
TC,9H,KS,7H,6H,QC,c,r,r,win
9D,TS,JC,7C,QH,KH,c,r,r,win
JD,AD,KH,KC,7C,6S,c,r,r,loss
QH,8D,9S,7S,AD,TC,c,r,r,win
8S,QS,AD,6C,8D,9C,r,r,r,loss
QH,9C,7S,QD,JD,8C,r,r,r,win
TH,AD,QS,8S,AH,JC,r,r,r,win
AC,KC,TC,KH,7C,QH,c,c,c,win
8H,JD,9C,AS,QS,9S,r,r,r,loss
KC,8H,TD,TC,6S,8D,r,r,r,win
7S,TH,QD,KH,JS,8S,r,r,r,loss
9H,KD,AC,7D,JD,8C,c,r,r,loss
7S,KD,KS,QD,JC,AC,c,r,r,win
TC,9D,7D,JD,TD,7C,r,r,r,loss
TD,8S,7H,JS,7S,AD,r,r,r,loss
QH,7S,TS,TC,6H,9C,c,r,r,loss
7C,8S,QH,6H,7S,AS,r,r,r,loss
6C,JS,7H,8H,7D,7S,c,r,r,loss
7C,TC,JC,6C,6D,9H,c,r,r,win
JC,8D,TD,KD,9C,7H,c,r,r,win
6H,9D,QS,QC,AH,7H,c,r,r,loss
6H,6S,9S,QS,JS,JD,c,r,r,loss
TS,KS,AC,8H,QH,8D,c,r,r,loss
JD,TC,9H,JC,7H,QS,c,r,r,win
KS,QD,7D,JH,6H,8C,c,c,c,loss
AC,JH,9H,QH,8C,AS,c,r,r,loss
KC,8H,KS,9D,7H,7S,r,c,r,win
KC,AS,6D,TS,6H,AC,c,r,r,win
9S,7H,7S,8D,6S,JC,c,r,r,loss
