card1,card2,card3,card4,card5,result
QH,6H,JS,JD,KC,win
QH,6H,9C,8S,9D,loss
QC,KH,AS,6H,JH,loss
8H,6C,TD,JC,KH,loss
8H,AS,9C,TC,8C,loss
8D,7C,8S,9S,KH,loss
KS,KD,KC,7H,6C,win
9H,8D,9C,9S,QC,win
7C,KS,8D,KH,TD,win
6S,JH,8C,TD,QH,loss
6S,QD,7D,6H,8D,win
7C,JC,9C,JS,9S,loss
TD,8C,9D,KD,8S,loss
KD,TC,AC,6S,8C,loss
7S,JH,9D,TS,8S,win
9S,JS,QS,7C,AD,loss
8D,9S,QS,9C,8S,win
AC,QS,TS,AD,TC,win
JD,QS,7H,KH,TD,win
7D,JD,JC,QC,6C,win
AD,9S,KC,6S,TS,loss
9H,QS,JH,QD,JD,win
TC,KH,JD,8H,AS,loss
AH,AS,9H,9C,JS,win
6H,TD,JC,JH,9S,win
6S,9H,TH,6D,9D,loss
8C,KH,KC,QS,KD,win
AH,TC,9S,9H,QC,loss
QC,7D,JH,KC,6H,loss
TH,TS,8C,6S,JD,win
AS,TH,AC,6D,KH,win
QS,9S,AD,6D,8S,loss
JH,KH,9C,9S,8S,win
JC,QD,TD,QC,TC,win
QC,TH,JH,6C,TD,win
9H,6H,TS,8S,KC,loss
QC,QD,9S,6D,TH,win
8D,JC,7D,JH,KS,win
QS,KS,AH,KC,JD,win
7S,6C,JC,7C,QH,loss
9H,KS,JH,QH,9C,loss
QH,QD,JH,6S,6H,loss
6S,8D,QS,6C,AD,loss
KD,QC,JH,KS,KH,win
TD,TH,AH,9D,7D,loss
KC,QH,KD,7H,QC,win
QD,8C,6C,8D,6D,win
KD,JC,KH,9D,9S,win
JS,KH,9S,7H,QH,win
6C,8S,AS,QC,8D,loss
6C,9H,AD,TD,8H,loss
7C,JC,7H,JD,6H,win
QS,KD,KH,QD,9D,loss
TD,QC,6H,TH,9D,loss
9D,8H,KD,6S,QC,win
TH,KD,6S,9S,KH,win
8H,8C,7C,8S,AC,win
AH,JH,KH,AS,TC,loss
7H,QC,TH,KD,KS,loss
KH,JC,AD,QC,AC,loss
7D,7C,6C,KH,TS,loss
JH,7S,TC,8S,6H,loss
9H,AH,TS,KC,8D,win
7C,8S,TC,AS,TH,loss
KD,TC,QS,KS,6D,loss
8C,6C,7D,8S,9S,loss
6H,7S,TC,7D,6D,win
9H,JC,AH,6H,AD,loss
QS,KC,KH,AC,6D,win
6D,6H,TH,8C,9D,loss
QC,7S,7C,9H,7H,win
AC,JS,9S,KD,8H,loss
AD,QS,6D,JS,8S,win
AH,9D,JS,9C,KD,loss
6D,AD,KD,9D,KH,loss
AS,9H,8S,9C,8D,win
TC,7C,AD,KC,QD,win
AS,8S,TC,QS,AC,win
TS,AH,QH,9D,9H,win
7D,7S,AH,9H,QH,loss
7C,AH,AD,9S,TD,loss
8C,JD,6D,7S,9C,loss
JC,TS,7D,TC,KH,win
TC,QS,9H,QC,6C,win
8D,9H,8S,9D,7H,loss
8D,TD,TS,6S,AH,win
AH,TH,7C,KS,KD,loss
9D,AH,7S,QD,9S,loss
KH,6D,AD,7C,AC,loss
AD,TS,7C,TH,JD,win
8C,AH,8H,TC,KD,loss
AC,6S,JC,9C,KS,loss
JH,TS,QH,9S,6C,win
TD,TH,KC,9S,8C,win
QH,8D,TD,JD,9D,win
6S,TH,KD,6D,JH,win
6D,JC,QH,TD,QS,loss
JH,8S,9H,TS,7D,win
6S,KD,AC,KS,8H,win
8S,KS,8D,7D,TS,win
QC,9D,9C,7D,JD,loss
AH,QH,9D,9C,KS,loss
6D,TD,9H,7C,6S,loss
7D,AC,TC,KH,QD,loss
AH,8S,9C,KH,JD,loss
AC,AD,6D,7S,KC,loss
QC,QS,TD,6D,TS,win
KS,9H,AH,AD,TC,loss
TD,AH,6C,AC,QH,win
9C,8C,6C,9S,TH,win
QC,QH,9D,7S,7D,win
6S,AC,QS,AH,TS,win
QS,6S,9S,9C,QH,win
AS,8S,7S,8D,JC,win
6D,9C,QH,7C,QD,loss
8C,KH,JC,KC,JH,loss
JS,QH,9S,QS,8S,win
QC,TD,QS,8C,TS,win
7D,8S,9H,TD,TC,loss
QH,8D,8S,TH,7H,win
AS,KH,7C,8S,JS,loss
JH,8S,JD,7C,QH,win
9C,AS,QH,7D,8D,loss
7D,QH,7H,JS,7S,win
9S,QC,AD,KS,KH,loss
AD,KC,QS,TC,KD,win
9D,AC,JH,6S,QC,win
9D,AH,QD,AC,AS,win
8C,KS,KC,JS,6D,win
KD,9D,7C,QC,KS,loss
JC,JH,QC,7C,8C,win
KC,QC,QS,KD,KH,win
JD,9D,7D,TC,8H,win
