card1,card2,card3,card4,card5,result
9D,6D,QC,9C,KH,win
JC,TS,AD,KC,7H,loss
QS,7D,6D,TH,QC,win
8H,7C,8S,AD,JS,loss
AD,JH,QD,6S,9H,win
TS,8C,JC,AC,QH,win
JS,9C,8D,AC,9D,win
JD,8D,9C,KD,9H,win
KS,TD,7H,6S,QD,loss
7S,8H,6H,QD,6C,win
6S,JS,8D,QS,TD,loss
KD,8S,KH,QC,KS,win
AH,8D,QC,9S,KH,win
TS,QC,TC,AS,8H,win
9H,8C,9C,7S,6D,win
QD,8H,9S,KC,6H,loss
6C,AD,7H,7S,JS,loss
AS,9D,AH,8C,TS,win
8S,KS,KH,8D,TS,win
TH,JS,TS,7C,KD,win
6H,6C,9D,8D,JS,loss
QH,KH,KC,AH,KD,win
AH,TD,6S,QC,9S,win
8D,6H,KS,AD,AH,loss
9H,KC,9S,JH,AD,loss
7C,7S,9D,8S,JH,loss
8D,JD,7H,TC,TD,loss
QD,7D,JD,AD,TS,loss
AC,TS,JD,7S,QD,loss
JC,AC,KD,TS,6H,loss
6C,9C,AC,JD,9D,win
8H,KC,8C,6D,9C,loss
KD,AC,8H,9S,TS,loss
8S,KC,JH,7D,8C,loss
KS,QS,QH,KH,QD,win
QD,7C,6D,QS,9C,loss
QD,AC,QS,9D,AD,win
7S,JH,6H,6S,8H,loss
7S,9C,TD,AC,7D,loss
JD,AC,JC,QC,9S,loss
9H,7S,JD,QS,KC,loss
JD,QC,7D,QS,9S,win
KD,7H,KC,QD,AS,loss
6D,JS,JH,6H,AC,loss
KH,7S,JH,7H,9S,loss
TS,QD,7D,AC,KS,loss
6S,KC,QC,AH,7S,loss
AS,TH,8C,9D,QC,loss
KD,AC,AH,7H,7S,loss
JH,7D,KD,6H,8S,loss
6H,8H,JC,TS,QH,loss
TD,JC,6C,AC,JS,win
TD,6H,9H,AD,KS,loss
8D,9S,6D,AH,TC,win
6C,TH,AC,8D,AD,win
QS,TS,QH,7C,8D,loss
JS,QD,KH,8C,9C,loss
7D,JC,6C,AC,9D,win
TH,6C,TS,7D,9D,loss
JD,TC,KC,TD,7S,win
AC,KC,JC,7S,9S,win
6S,9S,JD,6D,9H,loss
8D,KS,6S,9D,QH,loss
QD,8D,KD,9C,QH,win
JC,TC,QC,7S,9C,loss
KD,TS,KS,8D,KC,win
9C,7D,JC,7H,KH,win
TC,9H,8C,AC,8S,loss
8H,QC,QD,TC,QH,win
KH,8H,JS,9H,6H,win
JS,TS,KH,7H,9H,win
JC,TH,6D,6S,9D,win
KC,7S,9C,TC,8C,win
KC,AC,8D,QH,AH,loss
6C,6H,KH,TD,8S,win
9C,AD,QH,8S,TS,win
QD,7C,KC,7D,QC,win
8C,7H,TH,7D,TC,loss
8S,6H,7D,7H,KH,win
6C,8C,9C,JC,7H,win
AC,8C,9H,QS,7C,loss
KD,TS,9D,QC,JC,win
JS,6D,TH,9C,QH,win
AS,7S,9S,JC,KD,loss
7H,AH,TS,QH,7D,loss
AD,AC,QD,JS,7D,win
QS,TH,6S,9S,AC,win
7H,TH,AH,6H,9S,win
JS,8H,TC,QD,9C,win
KD,6D,7S,AC,TD,loss
7S,QD,AC,KS,8H,loss
JD,9S,AD,9H,7S,win
QD,9H,8C,6H,TC,loss
AS,9H,AD,AC,JD,loss
TD,QC,QH,8C,9S,win
6D,KS,8D,QS,7C,loss
QD,7D,TC,8H,KC,loss
KH,9C,8C,9D,AH,loss
KD,QS,QC,8D,7C,loss
QC,7C,8H,7D,6H,loss
TS,KS,9H,9C,7H,loss
8D,TS,TD,JC,9H,win
8S,6S,TS,KD,8D,loss
9C,TH,7C,JH,AH,loss
8H,TC,9C,KD,9D,loss
JC,QC,TC,8C,8D,win
AS,7C,6D,KH,7H,loss
8H,AC,6H,9C,6D,win
9D,9C,6S,JH,8S,win
9D,8C,8D,AC,TS,loss
TS,JS,AH,8S,JD,win
JS,KH,QH,QD,JC,loss
8C,AC,TC,KS,JC,win
TH,7C,7S,6D,QD,win
6D,6H,JC,9C,QS,loss
QC,AH,JH,8C,QH,win
QS,9C,7H,9S,9H,win
7H,9S,TC,6S,6C,win
KS,8C,7S,8S,JC,win
8C,9D,9C,QS,6H,loss
AH,8S,QC,KH,KC,loss
6H,8D,8C,TD,8H,win
7H,JS,TH,JC,JD,win
KC,6C,QS,AC,9D,loss
8C,8D,JC,KH,TH,win
7H,6D,QD,8H,AD,loss
8H,JC,AS,7D,QD,win
6C,AD,8D,6S,TS,loss
JH,AC,7H,7C,6D,win
6D,9S,7H,TS,QS,win
KH,6D,TH,7D,6S,win
6H,TC,TD,9D,6C,win
7C,7H,KH,KC,JC,win
7C,TH,TS,TD,KC,win
KS,6H,JD,6D,7C,win
TC,9C,8S,TH,6D,win
TH,9C,AC,JD,6H,loss
9C,JS,8D,KS,7C,loss
8H,7D,QH,8S,8D,win
JH,9H,QD,7C,7D,win
6C,QC,JC,TC,AD,win
7S,JC,AC,6C,8S,loss
6H,KC,7H,8D,JD,loss
9S,JD,7H,TH,6H,loss
JD,JC,6H,AD,KD,win
8S,8D,7C,6C,TS,loss
KD,QC,KH,9H,7D,win
8C,9D,QD,JS,QH,loss
6D,AC,8H,TS,8S,win
QD,6S,AD,6D,AS,loss
QH,9S,JH,QS,6S,win
JD,7D,9H,6D,8C,win
JH,6S,TC,KS,7D,win
9D,6H,QH,AH,8S,loss
9H,7D,8C,KD,KS,win
8H,TD,6C,JS,JC,loss
8H,9S,TC,6C,7H,win
AH,AC,8S,7S,9S,win
9C,TD,TC,8D,7C,win
7C,8D,9H,8S,KD,win
JH,QC,AH,9H,TH,win
QS,KS,QC,8D,AS,win
7D,7C,7S,9H,KS,win
KS,TC,QC,JS,7H,loss
8C,QC,6S,7S,QH,win
AS,AD,JC,JH,6D,win
7C,7S,QC,JS,7D,win
6D,6S,TD,JS,QD,win
AH,7S,TH,QS,KH,loss
9S,QH,QD,6D,TD,win
AC,KC,AH,9D,6S,loss
QD,7H,KC,8H,8D,loss
KC,QS,9H,6S,KS,win
AH,6C,TH,8C,KD,loss
QH,9S,TD,7H,JH,loss
TC,7D,JD,TD,8D,win
TS,7S,6C,AS,9H,loss
JH,9S,8C,KD,KS,loss
6D,QH,6H,7C,JD,win
TS,JS,9C,TC,QH,win
6D,QS,QD,AH,8C,loss
7D,7H,QC,6D,6C,loss
9S,8S,TS,KH,KD,loss
JH,KC,6S,AD,QH,loss
AS,8D,TC,8S,QH,loss
QD,9C,QC,7D,TH,loss
TC,8S,6H,JH,9S,win
QS,JD,8D,QH,QD,win
7D,6H,8S,6D,JD,loss
KS,AS,JS,8C,TH,loss
TD,KS,QD,7H,6D,loss
6D,KC,7D,8H,JC,win
JC,QH,JS,9H,8S,win
TC,QD,6S,8S,QH,win
QC,AD,KH,7S,9S,loss
JC,JH,7H,9H,7D,win
TH,JS,AC,7S,9C,loss
TH,TD,7C,KD,KH,win
JD,TD,KH,6S,8H,win
QC,TC,6C,6S,6H,loss
7D,AS,QS,9S,8S,loss
JH,9D,9H,6H,KC,win
8S,6C,6D,AC,JS,loss
AH,JD,6H,9D,6D,loss
8C,KH,8D,TS,QD,loss
TS,KD,KS,7C,AC,loss
6C,QH,AH,JS,JH,loss
7D,7H,TH,QD,7C,win
AC,6D,AD,TH,AH,loss
TC,9D,7D,KS,TS,win
6D,TH,QD,6C,QC,win
JS,JD,6S,KH,9S,win
7S,7D,6C,8H,TD,loss
KS,7C,6H,6D,8S,loss
TH,9S,TD,7C,KD,win
KC,6S,TC,9S,7H,loss
8H,AH,7D,6C,TC,loss
QD,9S,QS,TD,6C,win
6H,JS,7S,AD,JD,loss
8H,6S,QD,TH,JS,win
6H,JH,9C,QC,KH,win
TD,QD,9C,JS,KH,win
KC,6D,AD,KH,QD,win
7S,KD,9H,7H,8H,win
8D,JC,8H,TS,8S,loss
AD,TC,6H,QC,8S,win
6S,TD,6D,AD,QS,loss
QC,7C,7H,8H,QS,win
JS,8S,AD,8D,QH,win
7H,6C,8D,6D,8H,win
9H,6C,QD,7C,TC,win
6H,9S,QH,KC,TH,loss
6S,KH,9D,TD,KD,loss
8D,AH,6S,7C,7D,win
JH,9C,6H,AC,8C,loss
7C,6C,AD,8H,KS,loss
6D,KS,KD,TC,9S,loss
6S,TC,KS,AD,9S,loss
TS,JD,KC,6H,TH,loss
8C,QS,AH,AS,KH,win
7C,JS,8C,QC,8S,loss
9D,9C,6D,8H,QS,loss
QC,9C,9D,JD,QS,loss
JH,9D,7C,AC,8D,loss
KD,6D,KC,8S,7D,win
6D,9C,7C,JS,TH,loss
7H,9S,AC,JH,KD,loss
9H,JS,JD,KS,QC,win
TH,QH,AD,TC,AC,win
JS,AH,9D,JC,8S,loss
9C,8S,KD,9S,QS,win
8D,KC,TS,JC,TC,loss
6H,JC,TD,QH,9H,win
9D,7C,6D,7S,TS,win
QH,AS,JD,8H,AH,win
6H,9H,KH,TC,AS,loss
JC,QS,7S,6C,TS,win
KH,9S,9D,6C,7S,loss
7H,TD,6S,7D,QH,loss
8S,AD,6H,KC,QS,loss
8C,TC,6H,AH,8S,win
9S,JH,TS,QC,6H,win
6C,AS,AD,8D,QC,loss
TD,9C,JH,9H,QC,win
6C,KH,JD,KC,7S,loss
TC,9H,QC,9C,KC,win
TD,TS,6S,AD,9C,win
7H,JC,TC,TD,JS,loss
AS,JS,8H,9D,TH,loss
6D,QS,7S,JC,6C,loss
8H,AS,9D,TH,QS,loss
TD,AS,9C,8H,7D,loss
KC,QH,TS,7C,9D,win
QH,6D,6C,8H,7S,loss
TH,9D,7C,9C,KH,loss
JD,TD,KD,6S,QH,loss
8D,9C,AH,7H,7C,loss
7D,JS,8H,JD,QC,loss
6S,6H,7H,8H,JS,loss
JC,JH,TH,JD,8C,win
8S,KH,QC,8C,JS,loss
KD,7C,6H,9S,7H,loss
TH,TC,AC,KC,KS,win
6C,9C,8H,AS,AH,loss
QH,KC,8D,7D,TC,win
AH,TD,7S,8C,7H,win
TD,JC,9H,AD,6D,loss
KC,8H,QC,9H,7C,loss
6H,TD,6D,AC,7C,loss
AD,KD,JH,TS,AH,win
6C,8H,QS,JS,TD,loss
9H,KH,TS,KS,6D,win
JC,KD,KS,9H,TH,loss
8H,9S,6D,TC,AD,loss
JD,9S,KC,JS,AS,loss
QS,AD,AH,9S,7H,win
6C,KH,6H,JH,KS,loss
TS,6D,KH,7C,TC,win
KD,8H,TC,6D,9H,loss
6S,7D,KS,8C,TH,loss
7S,8C,7C,6C,8D,win
QS,6S,9C,7D,TC,loss
8S,JD,TD,6C,AD,loss
6C,8H,7D,8D,KD,loss
AS,8C,TD,JD,6H,loss
7H,KH,JD,8D,JH,win
9D,8D,9H,JS,7D,win
8D,7S,6H,8H,6S,loss
KD,TH,JD,6C,7C,win
TS,QD,AS,JH,AH,win
TC,6C,JD,KD,6D,loss
QC,7D,9S,KH,8C,loss
QH,JD,JC,8H,9S,loss
9C,KH,TD,QD,7S,loss
TD,7C,QH,TS,QD,win
8D,JS,8S,AH,AD,win
QH,QC,9D,6D,KH,win
7D,TS,9C,AS,AH,loss
TC,QH,AS,QS,8C,loss
JS,TH,9D,KD,6S,win
KH,TH,TC,9H,QH,loss
6S,AH,7C,AD,KD,loss
QC,QH,6H,TC,9H,win
QC,9C,7H,6C,7D,win
AC,KD,7D,KS,8C,win
9S,KH,KD,7H,9C,win
6D,JS,KH,QH,KC,loss
8S,9S,TC,KS,7C,loss
9C,TH,TC,AS,9S,loss
AC,6D,TD,9S,9D,win
6D,6H,9C,TS,QH,loss
QD,QC,9C,AC,8C,loss
QS,KC,6S,AH,JH,win
7C,JC,JD,TD,TC,loss
9C,9H,AS,KS,QD,win
6C,TS,QD,7C,QH,win
8H,QS,TD,6D,6S,loss
8H,7H,AS,6H,8C,win
KS,JS,TC,KD,QS,win
TH,KC,8S,QC,6C,loss
JH,8H,JS,7D,JD,win
JH,QD,QH,7D,9D,win
JD,7H,9S,9C,AH,win
KS,9D,AD,JC,JS,loss
8H,6C,9D,TD,AS,loss
8S,8C,QH,8H,8D,win
QC,QD,7D,AD,7S,loss
QC,8D,TD,QH,KS,win
9C,TH,8H,TS,6D,win
6H,8S,7H,7C,6D,loss
KD,7H,JC,9H,TC,loss
9S,9D,6D,JC,7H,loss
6C,KD,9D,9S,QD,loss
6H,7S,8H,QH,KH,loss
KC,7D,7H,JD,AC,loss
JS,QS,9S,JD,8D,loss
JD,QD,8D,TS,AH,win
KD,KC,7S,QD,9S,win
QD,6S,TD,KD,7C,win
AS,KC,QC,AH,6D,win
6H,TC,QS,KS,TD,win
KS,7S,9S,8S,6C,win
9D,7D,JH,TD,QD,loss
TH,7H,KS,6S,KC,win
AH,9S,JD,QS,JC,loss
AH,QC,8C,KC,AC,win
8S,8C,9D,TH,TS,loss
TC,6C,JS,6S,JH,win
JS,7C,6D,JC,KH,win
JS,6C,KC,9S,KS,loss
9D,9H,JS,7H,AC,loss
JH,KD,TD,8D,QH,loss
8H,JS,7D,JC,6S,win
6C,9H,QC,QH,AD,win
AD,8D,KD,9S,7D,win
6S,8D,7S,QC,TD,loss
6C,QC,QD,8C,8S,win
QD,JS,QH,QC,TC,win
TC,6S,JH,7D,TS,loss
JD,TH,AS,JC,AC,win
AH,AS,7D,TH,TS,win
6S,QD,JD,TS,6H,win
JH,AC,8H,AH,6D,win
TH,9C,KD,AH,QS,loss
7H,QH,AC,TD,TS,loss
7D,QC,JS,7C,TS,win
QS,6C,8D,7C,JD,loss
TC,8C,7C,AH,JD,win
AH,6C,6S,8D,9C,loss
AC,AH,QC,AS,8H,win
AS,TH,7C,8H,KS,loss
7H,6C,AS,AD,AC,win
9C,7D,QH,8S,6H,win
8H,KS,8S,9S,9D,win
9C,QS,KS,JC,QD,win
KC,JS,TS,QH,9C,win
6C,TD,8S,9S,TS,win
QD,KS,TD,6H,8H,loss
8H,QD,8D,KS,AS,win
8H,8D,TD,QH,7D,loss
AC,AD,6D,QC,JC,win
8D,6C,KS,AS,9S,loss
AS,9C,KS,QS,KH,loss
7S,JH,JS,9S,9H,loss
8D,9S,JS,KC,6S,loss
KS,TD,QC,6H,KC,win
8C,TH,JS,6H,TC,loss
TD,QS,9H,KC,JD,win
9C,KC,QS,7D,TH,loss
7H,AC,7C,AS,6H,loss
9C,9S,6D,JC,7D,win
7S,QS,8H,TH,8S,loss
KD,QS,TD,TH,8C,win
JH,KS,JD,6H,9C,loss
KC,TD,TH,7S,JH,loss
TH,QD,QH,TC,9S,win
QD,9D,KD,9H,9S,win
JC,9H,JS,8S,9S,win
KS,TD,7D,QC,6C,loss
7S,8C,TS,JS,AC,loss
7C,JH,6C,TH,9H,loss
QH,6D,7C,QS,7D,win
9H,QH,KC,6H,AC,loss
7S,KH,QH,QD,JC,loss
KH,9S,6S,TD,KC,loss
6D,KS,QC,JH,8H,loss
KC,7C,8D,9C,TH,win
AC,TS,7S,8C,TD,win
AD,JS,KH,KD,TD,win
AS,TC,7D,QD,TH,win
9D,8H,6H,AS,KH,win
JH,7H,9S,JS,9C,win
KC,TH,KS,6H,QC,loss
AC,9C,9D,8D,QD,loss
QS,AH,7C,9C,KH,loss
TD,AH,JC,9H,AS,win
7H,AD,8S,QH,7D,loss
6S,AS,TC,JH,AD,win
9H,TS,QS,TC,KH,win
7C,6C,8C,AD,9C,win
KH,AD,9S,7H,TS,win
9C,8C,6C,JH,QD,loss
KC,JD,8C,TC,QS,win
AS,8C,8D,JS,QD,win
8C,9H,JS,6D,TD,loss
JC,KH,JS,9S,7D,loss
9C,JD,JS,QD,6C,win
7C,KD,QH,AS,JS,loss
9D,6D,TD,7S,8C,win
7S,9H,TS,9D,JC,loss
AS,KS,JD,8D,8C,loss
QH,8C,KC,6D,QD,win
9C,8S,8C,TC,KD,loss
6D,TC,7S,8S,6H,win
8H,7S,JD,TH,AS,loss
JS,8H,KS,JC,9H,win
JS,JH,8S,QH,QC,loss
AC,KH,9C,KC,TH,win
9D,AS,KD,9C,JH,win
6H,8C,JC,QS,AC,loss
KS,QD,JH,AD,TS,win
JC,TH,8D,QC,8H,loss
6S,6D,JS,AD,KS,loss
QH,7S,JH,AH,QC,loss
7S,JS,6S,JC,KD,win
KS,KH,AS,8S,AH,win
8D,QD,TH,9C,KH,win
KC,TD,QD,KS,AS,win
KC,8C,6H,JD,QD,loss
AD,7H,KC,7D,8C,loss
KS,TD,7D,QS,9D,loss
AD,7H,KD,KC,QC,win
TD,QC,TH,6D,KS,win
7D,QS,AD,AH,QD,win
TH,6H,9C,QD,JC,win
8D,9S,JH,7C,TS,win
AS,QH,9C,KC,JS,win
7D,7S,QS,TS,AS,loss
QH,8C,JC,8D,8H,win
7S,QS,JS,AD,TC,win
TD,QH,6C,TH,9S,loss
AS,AH,QH,7C,8S,win
7S,9H,7C,JC,JH,loss
KC,8H,AD,AS,JH,win
KC,9D,6S,AS,JC,loss
9S,7H,6C,TC,8S,win
6H,6C,AC,QS,7S,loss
8S,KH,TD,TS,8D,win
KD,8H,AC,6C,KS,win
6C,7H,QC,AC,6H,loss
7H,8C,QH,9C,9H,loss
KD,TS,8D,6C,AD,win
7C,JH,TS,7H,TC,win
6S,JC,8D,6C,7C,loss
KC,6C,8H,QD,TD,loss
QC,7S,6S,QS,8S,win
QC,6S,7D,JS,KC,loss
JD,KC,9D,9H,JC,win
8H,KH,TS,KD,JD,win
TH,6D,6C,JS,6S,win
TS,QS,TC,KS,AC,win
AD,9C,KC,JD,8C,win
AH,8D,6D,AS,KH,win
6D,7C,8C,QH,7S,win
7H,AS,9S,TS,JC,loss
JD,TH,8H,KC,QC,loss
7H,KC,JH,AS,9D,loss
9C,6D,KS,6C,7H,loss
TH,KD,QH,7D,7S,win
AS,9C,KH,TS,7S,win
KS,7H,6S,QD,8D,loss
9D,JH,AH,7S,QH,loss
JD,JC,6C,JS,QC,win
TH,6H,6C,AC,8C,win
QS,6D,JS,8D,AS,loss
KH,QS,9C,6H,8D,loss
6C,TD,TH,QD,QH,loss
9H,7C,KC,TS,7S,win
6H,KD,AS,9C,8S,loss
7S,9D,QS,KS,7D,win
9H,QC,6S,6H,JS,loss
TD,7S,8D,6C,QD,loss
JC,8D,8S,8C,AH,win
7C,9H,9S,7D,QD,loss
KS,JD,9H,QH,KC,win
AC,AS,QC,8S,TD,loss
7H,KC,TS,8D,7C,win
TH,8H,QS,QD,AH,loss
TS,6H,TH,7D,9S,loss
7D,7S,JC,8D,9S,win
QH,7D,TH,TD,JH,loss
AS,QC,9H,7C,7H,loss
AH,9H,8D,6H,8H,loss
AC,6H,QS,JC,QH,loss
QS,TD,9H,TH,7S,win
7H,6C,TD,6S,KD,win
JC,7D,QC,6C,8H,loss
AD,9D,KD,TD,JD,win
QS,TH,AS,JC,AD,loss
9S,QD,KC,9C,TS,win
TC,QH,QD,9D,9S,win
TC,TH,TD,9C,8C,win
QS,8C,6D,6H,6S,win
QH,8H,TD,9S,AH,win
9H,8C,AH,QD,6C,loss
9D,7S,JH,JS,AS,loss
8C,7D,KD,KS,7S,loss
7S,AC,QH,KC,9H,loss
7D,AC,6H,QD,7H,win
AC,AS,KH,QH,QC,loss
TS,8D,TD,QS,KC,win
9C,KC,QC,8C,8S,win
AH,6D,8H,9D,6H,loss
QH,9C,KS,QS,8C,win
8C,7H,9H,9C,KS,loss
JD,KC,7S,9S,6H,win
JS,TS,AH,QD,7S,loss
QS,AS,9H,KD,6H,loss
7H,7C,6S,QS,9H,win
AH,AS,6H,KS,AD,win
KH,JD,QH,8D,JS,win
7C,JC,6H,TC,KD,loss
QH,7C,9C,7H,9H,loss
7S,6H,AD,KC,6D,win
6S,QS,9H,JC,JH,win
6H,JC,QC,JD,7C,win
TH,JC,8C,AS,9H,win
JH,8D,7D,QC,QH,win
AC,TH,QD,TS,JD,win
7H,AC,9C,8H,7D,loss
KS,7S,8C,6H,AD,loss
8S,JC,6C,KD,9H,loss
QD,KC,8C,KD,7C,win
9C,7D,7H,8C,6C,loss
QC,KS,6S,AS,6D,win
KH,AS,9H,QS,AC,win
9H,8C,TH,6H,AS,loss
KS,6C,TC,8H,8S,loss
8D,TC,KS,7H,6C,win
6D,JH,AH,AC,9H,loss
KS,QH,9H,AS,KH,win
JC,KC,KH,JD,9S,loss
KS,7C,AH,JD,TD,loss
TD,TH,8C,JC,QD,win
TC,AS,AC,7H,KS,loss
7D,QD,9D,6H,JC,loss
7D,8D,JH,QC,6D,loss
9D,AS,9H,7C,9C,win
KC,AS,TD,JC,JS,loss
AH,QH,QC,JD,JS,win
9S,7D,QH,6S,6C,loss
6H,6S,9D,AD,7D,loss
AC,TD,AH,9H,7C,loss
6S,6C,7D,QS,JC,loss
6S,KS,9C,QH,JS,loss
9H,KH,8H,9D,JC,win
9H,TC,QD,9S,AH,loss
AH,TH,JD,8D,6S,loss
8S,JD,7H,KC,AS,loss
7C,9H,6S,TD,6D,loss
TH,7S,6S,AH,6D,loss
TD,TS,9C,JD,QC,win
QC,6D,TC,QD,8D,win
AD,7H,QC,QS,7D,loss
TH,JC,AS,7C,8D,loss
9D,JS,8D,AC,KD,win
TH,7C,TS,JD,KC,win
JS,TC,7S,8D,7C,win
7C,TH,9C,QD,9D,loss
JD,AD,KC,JH,6H,loss
TC,QD,7S,9C,6C,loss
6H,KD,7C,QH,9C,loss
JD,AC,TD,9S,7C,loss
KC,JS,6C,6D,9C,loss
7S,9D,TD,JD,9S,win
8D,AC,QH,TH,AH,loss
AH,9D,6D,JH,9C,loss
9D,TH,9S,9H,JD,win
AS,9D,TC,JS,8H,loss
AD,JD,9S,AS,9H,win
9D,AH,JD,QC,7C,loss
TD,7S,AD,TS,9D,win
8D,6S,6H,AH,TD,loss
KC,TC,6H,7S,7D,loss
AC,TS,8S,KS,QC,loss
7H,8D,7C,9H,JH,win
QC,TH,KH,KD,7S,loss
TH,7S,AC,7H,TD,loss
7C,KD,6D,7H,8D,loss
QH,7D,AD,AH,7S,win
7S,TD,8C,JC,7D,win
6D,QD,6C,AH,QH,win
TS,QS,6S,TH,8H,win
7C,JD,9S,KD,QC,loss
JD,TD,TH,8C,6C,win
KH,TC,QC,AS,JH,win
AC,TH,QS,QH,7C,win
7C,8C,QS,6H,AC,loss
9D,6D,8S,QC,AC,loss
9D,QS,AD,8S,KS,loss
KD,8H,7D,9D,6D,win
7S,8S,QS,9D,6D,loss
9H,6S,QS,9C,AS,loss
8H,7S,6S,9H,KH,loss
QH,KS,8S,9C,KD,loss
7H,9S,6H,KS,TD,win
9C,AC,9H,6S,JH,loss
QS,JS,TD,6S,7H,loss
7S,TS,8C,TC,JS,win
8S,QS,8D,8C,9D,win
QD,JD,TD,6C,QC,loss
AH,9H,8D,7S,9S,loss
JD,TC,6C,KC,9C,loss
8S,TH,9H,9C,6C,win
8S,AC,9C,AH,QC,win
JH,KD,9S,JC,TH,loss
TD,JS,KC,JC,8C,loss
QD,6D,AD,7D,JH,loss
TC,9D,QH,TH,6S,win
8S,QC,AS,8H,KH,loss
KH,KD,AS,AH,TC,win
KC,JS,9C,7C,6S,loss
QH,AH,KD,JH,TC,win
6H,AD,KS,7C,AC,loss
AH,JH,KH,QC,QS,win
6C,8C,TD,6D,AS,loss
QD,JS,6D,JC,KC,win
TS,KS,AH,QD,6D,loss
8C,QH,8H,JC,QS,win
QC,TH,QH,8S,9H,win
8H,7D,KH,6S,9S,win
KD,6D,7D,JC,AH,loss
KD,QS,JC,8H,9C,loss
9S,7D,TC,QD,TS,loss
7C,7H,QD,6C,KH,win
6H,9D,9S,7C,8H,loss
6C,QD,7D,6S,6D,win
TS,QS,9H,QH,6D,win
QS,AS,7S,9S,9C,win
KS,JC,8D,8H,AH,loss
6D,KH,AC,7S,QS,loss
QH,AS,AH,9H,6S,loss
JH,KH,7S,AC,JD,win
9C,KD,9S,6C,AS,loss
JD,8H,8S,JC,TH,win
JC,6S,9D,AD,AH,loss
QH,KC,AD,7S,AH,loss
9H,QC,9D,TC,JS,win
6H,9S,JD,7D,6C,win
QS,8H,JS,JC,6C,loss
6H,AD,AH,7S,QH,loss
QD,JC,KC,TD,6D,win
6S,JC,TD,6H,8D,win
7C,7H,KC,6H,TH,loss
7H,JH,AS,KS,KC,win
8S,6D,7C,AD,7D,loss
JH,QC,7S,6S,AC,loss
QD,9C,QS,8D,KC,win
6D,AH,6S,AS,9C,loss
TD,QD,TS,7D,7S,win
QD,AC,8H,QH,9H,win
AH,JC,9C,7H,KS,loss
QH,9C,KH,TD,8C,loss
JD,QS,AH,8H,QH,loss
6C,7H,QD,AS,KD,loss
6D,QS,7D,KS,8H,loss
TD,7D,8S,7S,6C,win
6D,JH,6C,TS,8C,loss
6C,TS,JC,9D,AC,loss
6C,9H,AD,QD,TD,loss
8D,AC,8H,JS,9S,loss
8H,8C,JC,AD,8S,win
9D,KD,AC,QS,7H,loss
9D,9C,6D,8C,KD,win
KC,AC,AH,TH,QD,win
JC,QH,QD,TS,6S,win
KD,8S,6S,AS,TH,loss
TC,TD,JD,AH,8H,loss
9D,7S,8S,6D,7C,win
6C,TC,KS,7H,6D,loss
9H,QH,8D,6C,AS,loss
9H,9S,7C,TC,AH,win
TD,KH,6C,AD,QC,win
6D,QH,QS,AD,JC,win
TS,JH,6C,6D,9H,loss
KD,JH,JD,QC,7D,loss
7H,JD,7D,8D,7S,win
9C,KD,JC,8D,6H,loss
AS,9S,JD,JH,KC,loss
8S,9H,6D,TC,9S,win
KD,8C,9H,6D,TC,win
7D,8S,AH,TH,AD,win
TD,AS,KC,KH,JS,win
KS,JS,JC,QS,9D,win
AD,6H,JS,7H,TC,loss
6C,8D,9H,8H,6D,loss
JS,QS,AC,TC,6C,loss
AS,6H,KH,AH,KS,win
KS,KD,QC,AC,QS,win
AH,7H,6D,TS,JS,win
JC,QD,6C,TS,QH,loss
QS,8D,8C,JC,7D,win
JS,TH,KH,TC,8C,win
6S,AH,KH,JC,8H,loss
QD,9H,JS,TS,JD,win
AC,AS,QC,8H,8D,loss
QS,AC,6H,6S,TS,loss
AC,AH,KC,KS,TD,win
JH,TS,TH,8S,AS,win
6H,QH,6C,8S,JD,loss
AH,9H,9D,AD,7H,win
6S,QC,AH,JS,QS,win
JH,7S,AS,9D,8S,win
7D,8C,6S,AD,TS,loss
9S,8H,8S,6C,TH,loss
JC,9D,KH,QH,AH,loss
7H,QH,KH,AC,JD,loss
8S,8H,7S,6C,8C,win
6D,8H,9H,TC,AC,loss
JD,7S,KD,JS,AH,win
AH,QH,7S,JS,7H,loss
QH,AH,QC,JS,7H,win
KS,QH,JD,JH,QD,win
6C,7H,9D,TC,QC,loss
8C,6H,QD,6S,JD,win
8D,JH,9C,KH,8C,win
9S,TC,6S,7H,JH,win
8H,9C,8C,8D,7H,win
7D,QC,KC,TS,8S,loss
AS,JD,TD,KH,9D,win
JH,8C,KC,8S,TC,loss
7H,AC,KD,6C,JC,loss
9D,KH,8S,KS,TS,loss
KH,9D,6D,KS,AC,win
KH,9S,7S,KC,6S,win
6D,8C,JC,TH,6C,loss
AH,7C,9C,JD,7H,loss
JC,TC,6H,6S,6D,loss
7H,AH,QC,7D,8H,win
7D,KD,AS,JS,7H,win
TS,JS,9H,AC,JC,loss
JC,7H,AS,KD,JH,loss
QD,QC,TD,JS,7D,loss
AD,9H,JD,AS,9C,loss
7H,AC,9D,KC,6S,loss
7H,TH,8D,AS,QD,loss
6S,8H,6C,KD,TD,loss
JS,AC,KD,QD,7D,win
9C,9D,TH,QS,8H,loss
8C,6H,8S,JD,8H,win
AH,KH,8H,JS,QS,loss
7D,JH,TC,6D,AC,loss
6D,7C,QC,6H,TH,loss
KS,TS,KC,QS,7C,win
6C,6D,9C,8D,QS,loss
KH,JC,8S,QS,AD,loss
8H,AC,6C,8S,KS,win
TH,TD,7S,6H,9H,loss
