card1,card2,card3,card4,card5,bet1,bet2,result
7S,7H,6H,9D,6C,c,r,win
9S,7H,TC,7D,JC,c,r,win
8H,7D,6C,9H,9C,c,r,win
KC,9H,7H,KH,AD,c,r,win
9D,AC,QD,7D,9C,c,r,loss
AH,TS,8H,AS,AD,c,r,win
9S,8C,9C,KC,AD,c,r,loss
JH,QD,7H,TD,TS,r,r,loss
7D,JH,6D,8S,AH,c,r,loss
JS,JH,9S,QD,8S,c,c,win
JH,7C,KC,AC,TC,c,r,loss
TC,9C,6C,KH,8C,c,c,win
QC,8D,TH,TD,QD,c,r,loss
TC,8S,QC,7H,7C,r,r,loss
7S,QD,6D,8H,TH,c,r,win
TC,TS,8C,9D,AD,c,c,win
9D,AD,8S,AS,KH,c,r,loss
9D,AC,7H,7C,6C,c,r,loss
TH,7S,TS,QD,AD,c,c,win
9D,JH,TD,QD,6D,c,r,win
TH,7S,JH,KH,7C,c,c,win
QD,6S,AD,KS,6D,r,r,loss
AD,KD,8D,6C,KC,c,c,win
QH,JH,7H,JC,8H,r,r,loss
6S,AD,QH,8C,QC,r,r,win
9H,KH,AD,JC,JH,c,r,win
9D,9C,7D,8S,TC,c,r,win
QD,9S,KH,8C,QS,c,c,win
JC,KH,KD,JH,KC,c,r,win
AS,AC,6H,JD,7C,c,c,win
KD,7D,9H,JH,TH,c,r,loss
6D,AD,JD,AS,QC,c,r,loss
TS,7C,KH,QC,KS,c,r,win
AC,QD,QC,JH,KD,c,r,loss
AD,9C,8C,QD,TD,c,c,loss
KD,KH,9C,8C,AD,c,c,win
JD,7C,AS,8D,KS,c,r,loss
QD,8C,9D,7S,QH,c,r,win
AS,QC,6H,9D,QS,c,c,win
QH,AC,8D,TH,7D,r,c,loss
AS,KD,JD,JH,9S,c,r,loss
8C,QC,TD,AD,TH,r,r,loss
QH,9H,TD,JS,QS,c,c,loss
QS,6H,8S,6S,TH,c,r,loss
QH,9C,JC,AD,6C,c,r,loss
9D,6D,7C,AD,KH,c,r,win
AS,TH,7H,9C,TC,c,r,win
QC,AC,KC,JH,TD,c,r,win
