card1,card2,card3,card4,card5,bet1,bet2,result
JC,TH,7C,KC,8C,c,c,win
KH,AS,JS,7H,6S,c,r,loss
TS,AS,9S,JC,8D,c,r,loss
8C,TS,TH,6H,6C,c,r,win
JH,6H,6C,AC,9C,c,c,loss
6D,AC,JD,6H,AH,c,c,win
7C,8C,JS,QC,9D,c,r,loss
6S,KD,9S,AS,JH,r,r,loss
JH,6C,QD,8H,7H,c,r,loss
7C,KS,JD,QC,7S,c,r,loss
JS,JH,AH,TS,TD,c,r,loss
QS,9H,9S,AH,KH,c,r,win
8H,7C,QD,8D,KD,c,c,loss
TS,7S,TC,KC,6H,c,r,win
KS,TS,9D,6H,JH,c,c,win
JD,7S,8D,JC,AC,r,r,loss
QH,AC,9C,8H,QS,c,r,loss
QD,AC,AH,8S,9C,c,c,win
QD,QS,8D,AS,6C,c,r,loss
TS,KS,TH,6H,QC,r,c,loss
6S,8C,7C,TC,6D,r,r,win
KS,TH,7D,JH,KC,c,r,win
7D,QD,7H,KD,7S,c,r,win
7H,AS,AC,QH,6D,r,r,loss
KD,JC,KC,6C,JH,c,c,win
JH,9D,6H,6D,AD,c,r,win
TD,AD,9C,7C,8C,c,c,loss
8S,AS,AD,9D,6S,c,c,win
9H,AS,AH,7D,7H,c,r,win
KC,8H,AC,7C,6D,c,r,loss
6H,QS,JD,TH,9C,c,r,loss
9C,JD,TC,QC,7H,c,c,win
6C,JH,6D,TC,7S,c,r,loss
QS,6H,TS,8C,9D,c,r,win
8D,QC,8C,8H,9C,r,r,win
6C,KS,TS,QS,TC,c,r,loss
TD,6D,6S,KC,AD,r,c,win
TC,7C,TD,JS,KS,c,r,loss
QC,TC,6C,9D,7H,c,r,loss
7H,6D,9D,TS,QS,r,r,loss
KC,QH,9S,KD,JS,c,c,loss
JS,KH,8D,AS,9C,r,c,loss
KD,8H,JD,JC,TD,c,r,win
KC,7D,9S,6H,JH,r,r,loss
KH,7H,JC,9S,8C,r,c,win
KD,AD,TC,QD,AH,c,r,loss
KC,KH,QC,TH,9C,c,c,loss
KH,AS,6C,QH,TS,c,r,loss
8C,KC,QC,9H,JH,c,r,loss
8S,AH,TD,6S,KC,r,c,loss
JS,TD,KC,AH,QH,r,r,win
8C,JH,KS,7H,6D,c,c,loss
AC,KC,7H,6S,9S,r,r,loss
9S,8C,9H,6D,8H,c,r,win
KC,AS,8D,TD,JD,c,r,win
AD,JC,6C,7D,7C,c,r,loss
KC,KH,7S,7H,9S,c,r,win
8H,QD,9S,QH,9C,c,r,win
KC,6C,9S,7H,JS,r,c,loss
KS,TS,6S,AH,8H,c,c,win
QC,TS,6D,6S,QD,c,r,win
JD,9D,6H,TH,KH,c,r,loss
AH,8H,6S,JH,9D,c,c,loss
JD,QH,6S,JC,6C,c,r,win
AD,8D,TS,7S,KD,r,r,loss
7H,JC,AD,9C,8D,c,r,loss
QS,KS,6S,KC,JS,c,c,win
7H,7C,TD,8D,AC,r,r,loss
JD,TC,8D,7C,JS,c,r,win
6H,9H,7C,6C,KH,c,r,loss
8H,AC,QS,KC,6S,c,r,loss
TH,9H,QC,8C,8S,c,r,win
JD,JC,8H,6S,AH,c,r,loss
QD,TD,8C,9S,8S,c,r,loss
7D,TH,AS,KC,JH,c,c,win
7C,8D,7S,9C,QC,r,c,loss
TH,AD,9D,TD,TC,c,r,win
TH,8H,6S,9C,6C,c,r,win
7C,AH,6H,6C,JH,r,r,win
8H,QC,7D,KH,TH,c,r,loss
KD,6D,7S,7H,JS,c,r,loss
TC,QC,KS,AD,AS,r,r,loss
TH,QC,7S,JD,KD,c,c,loss
AH,AC,TC,6C,9S,c,r,win
7S,8S,TC,QH,JC,c,r,loss
JD,JC,JS,TS,7D,c,r,win
9H,6H,TC,JD,9S,r,r,loss
AD,JC,9C,JD,TD,r,c,win
JC,KH,KC,KD,TD,c,r,win
6H,AH,JC,AD,KS,c,c,win
AS,9S,8S,8D,QD,c,r,loss
QS,TH,AH,7D,7C,c,r,win
TC,6D,KD,QD,6S,c,c,loss
QD,7C,QH,TC,6S,c,r,loss
8C,TH,KD,JH,AD,c,r,loss
7D,QC,8C,QS,KC,c,r,win
9S,QD,TH,TC,8S,c,r,win
7D,KH,JD,QS,7H,c,c,loss
TD,8S,AH,6D,AD,r,r,loss
QS,AD,9C,KS,KC,c,r,win
JS,TH,JC,KH,KC,c,r,win
AC,AD,KH,QS,AS,c,c,win
KC,TC,8H,QS,JS,c,r,win
7S,JC,6H,7C,9H,r,c,loss
7S,JC,6D,QD,AC,r,c,loss
6H,JD,KS,AC,QC,c,r,loss
7H,6H,7C,9D,QH,c,c,loss
QC,TS,KD,AD,8H,c,r,loss
6D,QC,JH,7H,6C,c,c,win
KD,9H,TS,JS,KC,c,r,loss
9D,9H,8D,TH,TC,r,r,win
9H,9S,6D,TH,7H,c,c,loss
TS,KH,9S,JC,7S,c,r,loss
6C,KD,JD,6D,7H,c,r,loss
QC,9C,9H,JD,7D,c,c,win
6D,8H,6S,TH,7C,r,r,loss
6S,7S,TS,TD,7H,c,r,win
9S,6S,JC,9H,9D,r,r,win
KD,9D,QD,KS,KC,c,r,win
8S,AS,AD,JC,JH,c,r,win
TC,QC,8D,6H,TS,r,c,win
6C,7C,AH,7H,9H,c,c,loss
TH,AD,KC,KD,JH,c,r,win
AS,JH,7S,8S,TC,r,c,win
9S,AD,9C,8H,JD,c,r,loss
9C,JD,QD,6H,7S,c,r,loss
AS,KC,9S,7C,KH,c,r,loss
TD,6D,9C,TH,TC,c,r,win
6H,7H,9C,KH,6C,c,r,win
8S,AD,6S,TH,8C,c,r,win
8S,KH,AH,7C,7H,c,r,loss
TC,QH,QD,KS,JS,c,r,win
7C,6S,KS,8H,QS,c,c,loss
JS,9D,KD,7C,9C,r,r,win
QD,QC,AS,TC,KD,c,c,win
9H,AS,7C,9S,QC,c,c,win
7H,6C,TC,AS,7S,c,c,win
8D,9S,7S,6S,8H,c,r,loss
AH,8H,KD,6C,QC,c,c,loss
9C,TD,JH,8C,6C,r,r,win
JS,TD,JD,8D,KD,r,r,loss
JS,TD,TC,AH,AC,c,r,win
KC,QC,9H,8S,TC,c,r,loss
JD,JS,KC,8S,7H,c,c,win
AC,TH,TC,JH,7D,c,r,win
TC,QC,AS,AD,JD,r,r,loss
7C,6H,6C,7S,AD,c,c,win
9C,AH,KS,8S,9D,c,c,loss
TH,8H,9C,KH,7C,c,c,win
QC,7S,TC,6S,KH,c,r,win
JH,KH,TS,JS,9H,c,r,loss
TS,6D,JH,7D,6H,c,r,win
7S,JD,AH,9C,8C,c,r,win
JH,QC,QS,KC,8S,r,r,win
7S,JS,TS,JD,QS,c,c,win
7D,KC,QS,AD,QD,r,r,loss
QC,TD,7S,KS,TS,c,c,win
KC,6D,8D,AS,7D,c,c,loss
6S,6H,QC,JD,8C,c,r,loss
JD,KS,QD,KD,7S,c,c,win
QD,6D,7C,KC,AS,c,r,loss
JD,TH,7H,9C,TS,r,c,win
9D,7D,JS,QH,6H,c,c,win
TS,7C,AS,9D,TD,c,c,loss
8H,9C,JS,AS,9H,c,c,win
7H,9H,AD,QS,9S,r,r,loss
AC,6H,8H,AH,8D,r,r,loss
7S,8S,JH,KH,6D,c,r,loss
7S,KD,QD,AS,JC,c,r,loss
9S,TS,7S,TD,8H,c,c,win
QS,8C,6C,8H,8S,c,r,win
6S,JD,7S,TD,7D,r,r,loss
6C,TS,KC,TC,AH,r,r,win
TH,JC,8H,JD,7C,c,r,win
QS,7S,6S,7H,TD,c,c,loss
QH,8H,QC,JC,9D,c,r,win
KD,TD,9S,AD,KC,c,c,win
7S,JH,6D,QD,9H,c,r,loss
QH,8H,QS,9S,KC,c,c,win
7C,JS,QH,9D,AC,c,c,loss
TS,7C,QD,QS,7S,c,r,loss
6C,8S,9D,QC,8C,c,r,loss
7H,8S,TH,AS,6H,r,r,loss
8H,JS,6S,JH,QC,c,c,win
8D,JD,QS,9S,KC,c,r,loss
JD,QD,8C,7S,KC,c,c,loss
8D,KS,QD,JD,JH,r,r,loss
TH,TC,8H,6C,QS,r,c,win
7C,AS,TC,KD,JH,c,r,loss
QH,6S,7D,6H,KS,c,c,win
TH,7C,8H,QS,QH,r,r,loss
AS,6C,AH,QC,QD,c,r,win
KS,JD,AC,AH,AD,c,r,win
AD,7C,QD,AC,KD,r,r,win
9C,9D,6D,8C,AC,c,c,loss
KD,KC,8D,JD,JC,r,r,loss
JH,6C,TH,7S,JS,r,c,loss
TH,8H,8D,AH,KD,c,c,win
KC,AS,7D,TD,AC,r,c,loss
7D,7S,6S,6H,KD,r,r,loss
TS,AS,6H,7D,TD,c,c,loss
8S,8H,8D,KS,TD,r,c,win
JH,AD,KC,JD,QC,c,c,win
JS,QS,AS,AC,6S,c,r,win
7S,9S,8S,TH,JC,r,c,win
6D,8C,8D,QC,8H,c,r,win
JS,6S,KH,6D,QH,r,r,loss
QH,KD,AS,KS,JS,c,c,win
9H,7S,KH,7D,QH,c,c,win
TD,QH,9D,9C,JH,c,r,win
JH,JC,QD,KD,8D,r,r,win
AD,7S,6D,KD,6S,r,r,loss
QC,KC,9C,AH,QD,c,c,loss
TD,8S,9C,9S,AC,c,r,loss
JH,AD,6D,7C,7D,r,r,loss
QC,6H,8C,8S,6C,r,r,win
TD,QD,6H,JH,TH,c,r,loss
JH,QC,KH,AD,QH,c,r,win
6C,KS,KH,TD,JC,c,c,win
TS,6S,8H,QD,KC,r,r,win
9D,8C,KH,7S,TS,c,r,loss
AH,JD,8H,QH,JC,c,c,win
7D,KD,AC,6S,7C,r,c,loss
TH,TD,8H,QC,7C,c,r,loss
6C,9C,KD,7S,9H,c,r,loss
7S,TH,AH,KC,7C,c,r,loss
7S,QS,6H,8S,QH,c,r,loss
AH,7D,QD,KC,QS,c,r,loss
9D,QS,QC,7H,TH,c,r,win
9S,7H,JC,8D,8C,c,r,loss
9S,9H,8C,AC,KH,c,r,loss
7S,TS,KS,TD,TC,r,r,win
6C,8D,7H,KS,8C,r,r,loss
AH,6C,9H,QH,8D,c,r,loss
TS,9D,KD,AC,AS,c,r,win
JD,7S,JC,7C,6H,c,c,win
AC,JH,KS,8D,TS,c,r,loss
9D,KC,QC,7S,KS,c,r,loss
QC,8H,AD,JH,QH,c,c,loss
QH,JS,JH,TS,TH,c,r,loss
JS,7H,QD,8H,9H,c,c,win
KH,6H,7S,JS,KD,r,r,loss
8D,JS,AD,6C,KC,c,r,loss
7C,9C,JC,8C,AD,c,c,win
8S,TD,QD,TS,9H,c,c,loss
AS,8C,QS,7D,8D,c,c,win
7C,KS,AH,TD,8S,c,r,loss
JD,7S,JS,8H,7C,c,c,win
KD,KS,9C,7S,KC,c,r,win
QS,AS,TD,JD,8S,c,r,loss
9S,7C,QS,TD,TC,r,r,loss
QD,JD,JC,AD,TH,c,c,win
7D,6C,6H,TH,9S,c,r,win
QC,9D,AD,QD,9S,c,r,loss
9C,JH,8H,TH,KD,c,r,win
AS,6H,6S,8C,7D,r,c,win
6D,KS,AH,9D,TD,c,c,loss
6S,TC,KD,JS,9S,c,r,loss
AD,KD,7H,8C,6C,c,r,loss
AC,8C,KC,8D,KD,c,r,win
QC,6S,KS,8H,TD,c,c,loss
QS,7C,6S,9C,TC,c,r,loss
9D,JS,8C,9S,TH,c,r,loss
AC,QD,7C,TD,9S,c,r,win
KS,TD,TC,JD,8H,c,r,win
QS,8H,QC,QH,7H,c,r,win
KS,9D,9S,8D,6S,c,c,loss
6D,7C,8H,TD,JC,c,r,loss
7D,9H,TS,QD,JH,c,c,win
KC,TS,8D,6C,KS,r,c,win
AC,KC,AD,9H,TH,c,c,win
AD,QH,7S,TC,9S,c,r,loss
6S,JD,KH,9S,AS,c,r,win
QD,JC,6S,KD,JS,r,r,loss
9D,JS,JC,8C,JH,c,r,win
JS,KC,TH,JD,QC,c,r,loss
8C,7S,TC,7H,9S,c,r,loss
8S,8D,JC,9S,6H,r,r,loss
TH,AC,8D,6C,TD,r,c,win
JS,JD,AS,JC,QS,c,r,win
QH,7C,TD,6H,AS,c,r,loss
8H,QS,TH,QH,7S,c,c,loss
6S,QS,TS,KH,7D,c,c,win
9C,QC,JH,8C,8D,c,r,win
6S,6C,AS,7D,JD,c,r,loss
7C,KD,9S,TD,KC,c,r,loss
KD,9S,QS,QD,AC,c,r,loss
TH,QD,6D,TS,8D,c,r,win
8H,8C,TH,AS,6C,c,r,win
TS,6C,AH,7S,6S,c,c,win
7H,AD,JS,9S,7S,c,r,loss
6S,8D,TC,8S,QH,c,c,win
6S,QS,7H,TS,TC,r,r,loss
9D,7C,6H,7S,JS,c,c,win
8D,TS,KH,JD,QS,c,c,win
7S,7H,6H,8S,AC,r,r,loss
KH,9C,KC,7C,QD,c,r,win
TD,JC,AD,QC,AH,c,r,win
JS,6C,8S,7H,TD,c,r,loss
7D,6S,TH,QH,TS,c,r,loss
8D,TD,9C,QC,JC,c,c,win
KH,9C,QS,8C,AC,c,r,loss
KS,7C,6C,KD,9H,c,r,loss
7S,TH,QS,TD,7C,c,c,win
QC,JC,7D,8S,QH,c,r,win
JS,AH,KS,9C,TC,c,c,loss
9H,JC,JH,AH,QC,c,r,loss
AS,KH,7S,TD,6S,c,c,win
TC,AC,JD,KD,7S,c,c,win
8C,6S,9S,7C,QS,r,r,win
6D,9D,8H,TH,6H,c,r,loss
8C,8D,JD,JS,QS,c,r,loss
JS,7H,AD,QC,KD,c,c,loss
TD,9C,7D,9D,QS,r,c,loss
8C,TH,QC,JH,AH,c,r,loss
6H,7C,KC,TD,JH,c,r,loss
TC,QD,TS,AC,7S,c,c,loss
AH,TD,AC,7S,KD,c,c,loss
7S,8H,7H,JH,AD,c,r,loss
QS,AS,QH,9S,AH,c,r,win
AS,JD,KD,KH,QC,c,r,loss
KD,9C,AS,QC,8H,c,r,loss
AD,9H,AH,8S,8H,r,r,win
TH,7S,QD,8C,KH,r,c,win
KS,AC,TD,8S,QH,c,c,loss
JD,AS,9S,JC,AC,c,r,win
8D,9C,QH,JS,QC,c,r,win
7C,6H,KD,QC,8D,r,r,loss
6D,8H,7C,7S,KD,r,r,loss
8C,KC,QH,9C,AH,c,c,loss
QS,JH,KC,QH,8H,c,c,win
KS,TD,9C,KC,KH,c,r,win
AH,9H,9D,KC,QS,c,c,win
6C,6S,AC,KH,6D,r,r,loss
KS,TH,QC,6C,AD,c,c,win
AD,KC,TD,7C,KS,c,r,loss
JS,7S,KH,6H,QD,c,r,win
TC,TH,QS,TD,KC,c,r,win
9S,KD,9D,TC,QH,c,c,win
KD,6H,TC,9H,AC,c,r,win
AS,JS,TC,QH,8H,c,r,loss
8C,6S,KS,QS,AD,r,r,loss
TD,6D,TS,QH,6S,c,c,loss
6D,8H,JC,KD,7C,c,c,loss
TC,6H,AD,7C,7S,c,r,loss
JS,8D,JD,9S,QH,r,r,win
8C,TH,8H,9C,TS,c,r,loss
QD,TD,7S,9C,KC,r,c,win
8D,QS,9H,JD,JC,c,r,win
7H,9D,AS,KD,9C,c,c,loss
QC,TS,QH,TC,9C,c,c,win
KH,9D,8C,KD,9S,r,r,win
7C,9C,6H,TS,8D,c,r,win
JC,KD,KC,KH,JH,c,r,win
JD,JH,QC,6H,QH,r,r,win
QD,JC,AH,7S,6H,c,c,loss
9D,TC,JC,QS,KD,c,c,win
TC,AH,TS,8S,7S,c,r,win
AH,AD,8D,QC,9D,c,c,win
TD,9S,7D,8C,6H,c,c,win
QD,JS,TD,JH,9H,c,c,win
JH,8H,8S,JS,QS,r,r,win
7H,KC,9D,6D,AS,c,c,loss
JC,QH,TH,JS,TD,c,r,win
QD,6D,8H,KD,8C,c,r,loss
8H,AS,8D,AC,AD,c,r,win
8H,8S,QC,KS,6D,r,r,loss
8C,6S,TH,6C,QH,c,r,win
TH,8D,QD,JH,7C,r,r,win
6C,JS,6S,JC,7C,c,c,win
8C,8H,QH,7H,8S,c,r,win
7C,9D,8H,JD,TH,c,r,win
KC,8H,AC,8S,KS,c,r,loss
JD,TD,JS,TS,AH,c,c,win
7H,9H,7S,AD,AC,c,r,win
KC,AD,JS,6D,9C,c,r,loss
AH,8H,JS,TD,9C,c,r,loss
JC,9C,6D,9S,TH,c,c,win
6S,JH,6H,AH,QC,c,c,win
QC,TH,7S,KH,JH,r,c,loss
AD,8S,6D,TH,7H,r,r,loss
6C,TH,QH,9S,8D,c,r,win
6D,TC,AS,9S,QD,c,r,win
TS,KH,JS,7D,6C,c,c,loss
6C,6H,8D,QC,TD,c,c,loss
8S,6S,KS,TS,KD,c,r,win
AC,JD,AD,QD,6S,c,c,win
7S,8D,9S,JS,QD,r,r,loss
8S,KD,9D,JC,QD,c,r,loss
JC,QC,7C,9H,KD,c,r,loss
9C,7D,AH,6D,TS,c,r,loss
AD,JS,7H,TD,6D,c,c,win
8H,JS,TS,TH,KC,r,r,loss
7H,AH,7S,QH,9S,c,r,loss
QS,6C,TD,JH,8C,c,c,win
8S,TD,KH,TS,JC,c,c,win
KS,QH,TC,9C,KH,c,r,win
TH,6D,7D,KD,9H,c,r,win
7S,7D,QS,AC,6H,c,r,loss
TC,7H,JC,8S,AD,c,r,loss
JD,6S,QD,7H,AS,r,r,loss
7S,KC,JS,JC,7H,c,r,win
6S,QH,JS,6C,JH,r,r,loss
TD,AC,JC,8H,KC,c,c,win
KD,QH,KS,8D,QD,r,r,win
AC,TS,QC,KH,KD,r,r,loss
JD,KC,TC,9D,8D,r,c,win
8C,JD,JC,QD,8H,c,r,loss
7C,9S,TC,8D,7S,c,r,win
JC,AC,QS,QH,7C,c,r,win
8D,6C,KD,9C,JD,c,c,win
7H,9C,TH,7S,JS,c,r,win
JD,6H,8H,8S,7D,c,r,loss
9D,7H,7D,KC,JC,c,c,win
KS,AH,7C,9H,8H,c,c,win
QD,8S,TH,JC,8D,r,r,win
JC,9S,7S,JS,TC,c,r,win
AC,KS,QD,6C,7S,c,c,loss
JH,KS,AD,8D,KC,c,r,loss
9S,JS,QC,TS,KH,c,c,win
8C,7C,JD,KD,8S,r,r,loss
AC,8S,TS,7H,8C,r,c,win
7D,9C,JH,6D,KC,c,r,loss
6C,QH,AH,6D,TC,c,r,loss
KH,AC,6C,KD,8C,c,c,win
TS,TC,7S,9H,JS,c,r,loss
QD,QH,AC,8C,8S,c,r,win
6C,KS,TC,9C,AH,c,c,loss
6D,KD,TS,9C,TD,c,r,win
QD,AH,AD,9D,TS,c,c,win
7S,AH,6C,JD,JH,c,r,win
9D,KH,6H,JH,QD,c,c,loss
KD,TD,KS,TS,8H,c,c,win
9C,TC,8C,7S,QD,c,r,loss
7H,6D,7D,9C,AH,c,c,win
JC,8H,6D,QH,TC,c,r,win
JS,6H,8D,8H,QC,c,r,win
AC,JS,AD,JC,JD,c,r,win
7C,JC,KS,9S,JD,r,c,win
9H,AH,AS,6C,QS,c,c,win
QH,9D,QD,KH,6C,c,c,win
KH,8D,9C,KC,AD,r,r,loss
6H,TS,AH,9H,AD,r,r,loss
KD,6H,KC,AS,9H,c,c,win
AC,9S,AD,9H,8S,c,c,win
9D,QD,9H,9C,QH,r,r,win
7C,QD,8H,7H,AD,c,r,loss
QS,JS,8S,8C,JH,c,r,win
AS,KD,6D,JH,TH,c,c,loss
AS,6H,JS,6C,8H,r,r,loss
7H,7S,TS,AH,7C,c,c,win
9H,9C,7D,7S,TC,c,r,loss
9S,TS,KH,KC,TD,c,r,win
6D,QH,AS,8H,7H,c,r,loss
TC,JC,7H,AS,6C,r,r,loss
7H,AH,KD,JC,QH,r,r,loss
TC,KH,8H,AD,6H,c,r,loss
TS,JS,QS,9S,QH,c,r,win
8C,9D,7S,JC,AD,c,r,win
KC,AC,9H,8D,8C,c,r,win
TS,6C,7C,9C,7S,c,r,loss
AS,6S,AH,JS,6C,c,r,loss
7D,KS,TS,8D,7S,r,r,loss
6C,JC,TC,8H,6H,c,r,loss
9C,KS,JD,QD,7D,r,r,loss
AC,6H,8D,QD,TC,c,r,loss
KS,AS,6D,JD,AC,r,c,win
6S,8D,7H,6D,TC,r,c,win
TH,QH,6D,9H,8C,c,r,loss
9C,TS,9S,QS,TD,c,c,win
TD,6C,7D,KC,JC,c,c,loss
9H,KH,AC,AD,QS,c,r,loss
9D,9H,TH,QD,9C,c,r,win
7C,TH,JD,KC,TC,r,r,loss
AS,JC,7S,AD,JS,c,r,win
8C,TD,7S,TC,AH,c,r,win
7C,AH,QC,KH,JH,c,r,loss
JH,8S,8D,KH,AH,c,c,win
8D,TS,8C,KC,KH,c,r,loss
JS,6D,JD,7H,6C,c,c,win
8S,KD,QD,6D,7H,c,c,win
8C,TC,6D,QD,8H,c,c,win
6S,QC,QD,6D,9H,c,r,loss
8H,QC,8C,TS,KD,r,c,win
KC,JH,8S,9D,8H,c,r,loss
6S,7S,6H,7H,8H,c,r,loss
9S,8D,TH,QH,7D,r,r,loss
QD,AS,QH,KS,8C,c,c,win
9D,KD,TD,JC,9S,r,r,win
KC,6H,8C,KH,TD,c,r,loss
QD,8H,9H,TS,TD,c,r,loss
KS,JS,AS,QS,7S,r,r,win
QC,TD,TS,TC,KS,r,r,win
AC,AD,6S,6H,7S,r,r,loss
QH,9D,8C,7S,TC,c,r,loss
AC,QC,8H,9H,9S,c,r,loss
TS,7C,QD,JC,6C,r,c,win
JC,AS,9D,AC,TS,c,c,loss
JC,KH,9H,9C,8H,r,r,win
QS,7C,9H,9S,QH,c,r,win
KC,QD,8H,TC,JC,c,r,win
7S,JD,KS,8H,TS,c,r,loss
9D,JS,8H,8C,6S,r,r,win
QD,8D,6H,KS,AH,c,r,loss
8S,KC,JC,6S,AS,c,r,loss
KD,QC,AD,9C,TD,c,c,win
6S,TD,7S,AH,KC,c,r,loss
7H,KC,KH,QS,AD,c,r,loss
AH,AS,6S,7H,AD,c,r,win
8C,KS,JC,8D,KC,c,c,win
TD,9D,QH,7D,AS,c,c,win
KH,6H,KC,7D,8C,c,c,win
9D,AC,JD,6H,QS,c,r,loss
KH,7H,6S,AS,8S,c,r,win
7D,8H,9C,6D,TC,c,c,loss
8S,JC,7D,QC,8C,c,r,win
JH,QD,KH,8H,7S,c,r,loss
KH,KD,6S,8D,QS,c,c,loss
6C,AS,AC,7D,QS,r,r,loss
6D,8S,JD,KS,QH,r,r,loss
8S,9D,9H,AD,QH,c,c,win
KC,TC,QS,QC,8S,r,r,loss
8H,JH,KD,JC,TD,c,r,loss
8C,7C,6S,TS,JD,c,r,loss
6C,AH,8C,AS,9H,c,c,loss
7D,KD,8C,9S,KC,c,c,win
JC,7C,8C,KH,6S,c,r,loss
9H,QD,TS,8C,6S,c,r,loss
8S,KC,7S,AS,8D,c,c,loss
KS,TD,QD,QC,TS,r,r,loss
KH,9D,KD,QS,JC,c,c,win
7H,8H,KH,AS,QC,c,c,loss
QD,AS,JH,KH,9S,c,r,loss
7H,9D,AH,QH,TH,r,r,loss
AS,8D,AC,7D,TH,c,c,win
8C,9H,QC,9C,6D,r,c,win
KC,6C,TC,TD,7C,c,r,loss
KD,6D,9S,JD,QD,c,c,loss
6D,AS,KS,8D,9C,c,c,win
TS,KC,8S,KS,JS,r,r,win
KS,9H,7S,AH,TS,c,r,win
7D,8D,QD,6S,8H,c,c,win
9D,8H,JD,AD,9S,c,c,loss
JS,AD,TD,9S,QH,r,r,win
7D,8C,9C,9D,TC,c,r,loss
AS,7H,9H,8S,QS,c,c,win
9H,7D,KC,QC,TH,c,r,loss
KS,8H,JH,9S,TH,c,r,loss
KH,TS,KS,TH,AH,r,r,win
QC,JC,7C,JD,KH,c,c,win
AS,7H,9D,9S,7S,c,r,loss
9H,QH,KS,QD,JH,c,r,win
7S,6H,9D,QC,JS,r,r,loss
AC,QS,9S,6C,9H,r,r,loss
7D,JH,9S,JD,8C,r,c,win
TC,8S,8H,9D,8C,r,r,win
KH,QH,TS,QC,9H,c,r,loss
7S,QS,8C,KH,9H,c,r,win
8H,QH,QD,6H,AC,r,r,win
TH,7H,6D,9H,JS,r,r,loss
9D,6D,7D,8D,9H,r,r,loss
JH,JS,9C,AS,KD,c,c,win
KH,8C,6D,7S,KC,r,c,win
7C,JH,JC,8D,TC,c,r,loss
KH,KD,9C,8H,QD,c,r,loss
KC,AH,AS,8S,7S,c,c,loss
6C,TD,6H,JH,6D,r,r,win
9C,9S,KD,KH,6S,c,r,loss
8D,QS,7D,TH,7S,r,r,win
AH,KS,7H,JS,TC,c,r,win
TC,KD,8C,9S,QS,c,r,loss
6C,AD,7H,AS,JD,r,r,win
QH,8D,9C,9D,KH,c,r,loss
8H,6C,8D,9D,JH,c,r,loss
6D,AH,9C,9S,7C,c,r,win
KS,QS,6C,9H,6S,c,r,loss
JC,6C,JD,8D,6S,c,c,win
7C,KC,6H,JH,AD,c,c,loss
JS,7S,AC,JC,TD,c,r,loss
TS,KD,8D,8H,TC,r,r,win
8H,8C,8S,7D,TD,c,c,win
8D,8H,6S,7D,JC,c,c,win
8H,8S,TC,7H,TS,c,r,win
9D,AS,KD,7D,6H,c,r,loss
QH,KS,8C,JH,AH,c,r,loss
6C,AH,AC,6S,7S,c,c,win
7C,6S,JH,9S,JD,c,r,loss
JS,8D,6C,8S,7C,r,c,win
TC,9C,TH,JH,KS,c,c,win
JD,8H,8D,7D,TS,c,r,win
9S,JC,QH,9C,KC,c,c,win
9D,8S,9H,KC,AD,c,c,win
9C,8H,AS,KC,KS,c,r,loss
9H,JD,9S,7C,7D,r,r,win
7C,AS,9S,8D,AD,c,c,win
JH,8D,9C,AC,QS,c,c,win
TC,JC,AC,9C,7C,r,r,win
9H,KD,KC,KS,QH,c,r,win
TS,TC,7S,7C,8D,c,r,win
9D,8S,8C,7S,TS,r,r,win
9D,AC,QH,9H,AS,c,r,win
8S,9S,TD,TH,6D,c,r,loss
7D,7H,7C,KD,TC,c,c,loss
TH,8C,AS,KH,9H,c,c,loss
AC,TH,7S,QC,QS,c,r,loss
AS,8S,JS,9H,6S,r,r,loss
8S,9S,KS,JD,QD,c,r,win
7C,QS,KS,8D,6S,c,r,loss
9H,QH,KC,JH,6D,c,r,loss
KD,JD,9D,TS,JC,r,r,win
8D,TD,6D,7D,JH,c,c,win
QD,6D,AH,AS,7S,c,r,win
7H,8C,TH,JD,7S,r,c,win
7H,AH,JS,7S,8H,c,c,win
TS,TD,TH,KD,7S,r,c,win
6D,7S,JH,6H,9H,c,c,loss
QD,JS,KH,9C,9H,r,r,win
AC,7S,JH,TS,JC,c,r,loss
KH,QD,AH,9C,TC,c,r,win
QD,9C,QH,8S,9D,c,c,win
TS,QH,TH,9S,QD,c,r,win
JC,KS,6D,QC,TH,c,r,loss
7S,9S,9H,TD,7H,c,c,win
6S,8D,8S,JD,TS,c,c,loss
AS,QH,TH,6C,6S,r,r,loss
KC,TS,8D,6C,JC,c,r,loss
AS,7D,7C,8S,JH,c,r,loss
6C,TD,JS,8D,JH,c,r,loss
AD,9H,9D,7S,6S,c,r,loss
AS,AH,6S,KD,7H,c,c,loss
7D,7H,AS,9H,QS,c,c,loss
AH,7C,QH,6D,7D,r,r,win
AD,AS,JH,9D,TH,r,c,loss
QD,AH,6C,6H,AS,c,r,win
6H,AH,TH,KD,QH,c,c,win
JD,AD,9C,6C,KS,c,r,loss
9D,QC,7S,JC,6S,c,r,win
7S,AC,JH,9D,TH,c,r,win
AD,AC,TS,QC,QH,c,r,loss
QD,KC,8D,JH,JC,c,r,win
8S,KH,7C,AC,9D,c,r,loss
8D,9S,AD,KD,JH,c,r,loss
9C,KD,JC,6D,9S,c,c,win
6D,8C,9D,AH,TH,c,r,win
KS,QC,KD,6S,JH,c,r,win
7S,TS,KH,AS,AH,r,r,loss
QH,6C,7H,JS,7C,c,r,loss
6S,JH,KC,TD,QH,c,r,loss
AC,6S,6H,TH,9S,r,c,loss
