card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
6H,TH,KC,TC,9S,8H,c,c,c,loss
7H,AD,JS,QS,9D,QC,c,c,c,loss
7S,8S,QC,7C,KH,6H,c,c,c,loss
AH,AS,9H,KH,8S,QD,c,c,c,loss
8H,6H,TS,TC,QC,6S,c,c,c,win
QS,7S,KS,TH,TD,9C,c,r,c,loss
9C,KH,9H,QH,9D,8C,c,r,c,loss
7C,TC,9C,JS,KH,8C,c,c,c,win
7C,JC,6D,JS,KC,AH,c,c,c,win
QS,TS,8S,7S,AH,7D,c,c,r,loss
7C,9D,9C,8C,TC,AH,c,c,c,loss
TD,JH,QC,7S,8D,7H,c,r,r,loss
8H,AH,TH,KC,KD,6D,c,c,c,loss
KC,AS,KD,TH,8S,TS,c,c,c,win
KD,6C,TH,JS,7S,8S,c,c,c,loss
7C,JH,TD,6H,7S,9D,c,r,c,loss
JS,8C,AD,QH,KS,TC,c,c,c,win
QS,QH,9H,TS,KH,8H,c,c,c,win
AC,6S,KD,QH,7D,AS,c,c,c,win
AD,QS,KC,KH,8S,TC,c,c,c,loss
7C,KS,KC,QC,AC,9H,c,c,c,win
JD,6D,AS,6S,7H,6H,c,c,c,win
KH,QS,6S,9S,QH,TD,c,c,c,win
JH,TD,TC,QS,6S,7D,c,c,c,win
QS,7C,6D,KS,JH,TH,c,c,c,loss
KS,QC,KD,6C,6S,9S,c,c,c,win
QH,6S,QD,7D,KH,TC,c,c,c,win
8H,KC,QH,JS,9S,9D,c,c,c,win
6D,KS,8D,9D,TD,8H,c,c,c,loss
9C,8H,JC,AD,9D,KH,c,c,c,loss
8D,8C,TS,JC,TC,JS,c,r,r,loss
7D,JC,6D,AD,QD,JD,c,c,c,win
6H,TD,TC,AH,9H,QS,c,c,c,loss
TH,AH,9S,QH,QS,QD,c,c,r,loss
6C,TC,9S,AH,KS,AS,c,c,r,loss
TS,9D,QH,7C,8S,8H,c,c,c,win
JS,8S,KS,QS,6C,7H,c,c,c,loss
7C,7S,6D,8D,TH,JH,c,c,c,loss
9S,TS,QS,JH,7D,8H,c,c,c,loss
8H,7H,9H,8S,AD,QC,c,c,c,loss
QH,9S,9C,6H,AC,9D,c,c,c,win
QS,JC,TD,JD,QD,8S,c,c,c,win
8C,AH,8S,TD,6D,QC,c,c,c,win
JD,TH,JH,6H,9H,QC,c,c,c,win
9H,9D,AS,9S,KC,QH,c,c,c,win
KH,8C,AS,7H,9C,AH,c,c,c,win
AH,QS,AS,9H,KD,7S,c,c,c,win
AS,TS,QD,6D,JS,9S,c,c,c,win
9H,JH,AS,7C,9D,TC,c,c,c,loss
AD,AC,TS,8D,9S,AS,c,c,c,win
TS,8D,QS,9D,JH,AC,c,c,c,win
QH,AD,JD,7D,KC,QC,c,c,c,win
TD,TH,JH,AC,JS,JD,c,c,c,win
9S,8H,JH,7C,6S,QD,c,c,c,win
QS,7H,7C,8D,9S,7D,c,c,r,loss
6S,8D,6C,KD,JC,7S,c,c,c,loss
6S,JH,7C,KH,6C,6H,c,c,c,win
TS,QC,JD,6C,QH,KD,c,c,c,win
QS,JS,8S,9S,6H,8H,c,c,c,loss
TS,AC,9H,7H,7S,TD,c,r,r,loss
