card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
7S,AC,KC,KS,8C,QH,c,r,c,loss
9H,AD,AS,AC,9C,7S,c,c,c,win
TS,9C,AH,7C,7S,8C,c,c,c,win
9H,QS,JD,8D,KC,QD,c,c,c,win
QC,TC,7S,9H,6S,QH,c,c,c,win
6C,TD,7H,8S,9H,9C,c,c,c,loss
9D,8H,TH,9C,AH,JC,c,c,c,loss
8D,AC,KH,TC,TH,QD,c,r,r,loss
9S,TH,7C,QS,6S,JD,c,c,c,win
8H,6C,QS,JC,7H,9D,c,c,c,loss
JC,QD,TH,8C,JH,KS,c,c,c,loss
6S,TH,9C,QC,QD,7C,c,c,c,win
8H,7S,9C,9S,7C,JD,c,c,c,loss
7D,8H,AS,TC,7C,JS,c,c,c,loss
9C,TS,QC,QS,TH,AD,c,c,c,win
8D,6C,TD,AS,KH,9S,c,c,c,loss
KH,KD,AS,TH,JH,8H,c,c,c,win
KH,KC,AS,AD,JC,8H,c,c,c,win
JC,KS,QC,6D,8D,KC,c,c,c,loss
TS,7S,AC,7D,8S,KS,c,c,c,loss
JH,TC,8C,8D,9C,KS,c,c,c,loss
QC,TD,7D,TH,7H,AH,c,c,c,win
KC,JD,TD,8S,QH,QS,c,c,c,loss
7H,TC,7S,9H,JH,AC,c,c,c,loss
AC,TH,8C,QC,9H,QD,c,c,c,win
7S,JD,6S,9D,8C,QD,c,c,c,loss
9H,TD,8C,KH,6H,AD,c,c,c,win
8C,QH,AC,9H,QD,7H,c,c,c,loss
8C,6S,TD,7H,KS,6H,c,c,c,loss
9C,KH,JS,8S,JH,9S,c,c,c,loss
KH,6S,AS,AD,6D,JS,c,r,c,loss
KD,TH,6D,8D,7S,6H,c,c,c,loss
6H,KD,JD,9D,TS,TC,c,c,c,loss
6D,8D,QC,7H,6C,JD,c,c,c,loss
AD,AC,JD,9D,AS,9C,c,c,c,win
6H,AH,KD,TD,JH,9C,c,c,c,loss
JS,8D,7H,TD,8H,AC,c,c,c,win
JC,9H,JD,TD,KD,AD,c,r,r,loss
QD,KC,QS,KS,AC,AH,c,c,c,loss
TC,AS,JS,8S,KD,8D,c,c,c,loss
KH,9S,KS,JC,TC,AS,c,c,c,win
6C,6S,8D,6D,7H,9H,c,c,c,win
KH,TD,KS,9H,QS,9D,c,r,r,loss
8C,QH,QS,KH,6H,AC,c,c,c,win
7S,9H,TS,QS,KS,KC,c,c,c,win
8H,7C,KD,QH,8C,TH,c,c,c,loss
7C,JD,9D,6C,AH,9H,c,c,c,loss
8H,7H,QD,9S,7C,JS,c,c,c,loss
QH,7D,AC,TH,TD,QD,c,r,c,loss
AC,KH,7H,TS,9S,QD,c,c,c,loss
TS,KC,9S,TC,QC,6S,c,c,c,win
7H,8D,8S,KS,AS,6D,c,c,c,win
9S,KH,7D,QD,TC,JH,c,c,c,loss
AH,7S,JH,QS,KS,7H,c,c,c,loss
TC,QS,TS,8D,AC,KC,c,c,c,win
7D,TS,JS,7C,KD,AH,c,c,c,win
JH,6C,KC,JD,QC,TD,c,c,c,loss
9D,AD,KD,QD,AH,TD,c,c,c,loss
9H,TD,KH,6C,9D,TH,c,c,c,win
8H,7H,9H,JH,9D,AS,c,c,c,win
TS,6C,QD,9S,AH,QS,c,c,c,loss
KS,JC,JS,8C,6H,QS,c,c,c,win
6H,JH,8S,AC,7D,QC,c,c,c,loss
8H,JD,AS,6S,9D,TD,c,c,c,win
QC,8S,JD,6C,AH,8C,c,c,c,loss
9S,9H,QH,9D,TH,8S,c,c,c,win
TH,7C,JS,JC,TD,8H,c,c,c,win
AH,7D,7H,8H,8D,9S,c,r,c,loss
KC,7D,9S,6H,8C,JH,c,c,c,loss
8H,7C,6H,QC,JH,QD,c,c,c,win
AC,7H,7S,QH,9H,9D,c,c,c,win
9H,8S,AS,9C,TS,TD,c,c,c,loss
7D,7H,TD,8C,9H,TS,c,c,c,win
6C,QD,AD,8H,8C,KS,c,r,c,loss
JS,QD,KC,AD,9S,7C,c,c,c,loss
JD,AD,JH,TC,8C,AS,c,c,c,loss
7H,JC,6H,TD,KS,7D,c,c,c,loss
8H,JC,KH,9S,8D,QD,c,c,c,win
JC,TH,9S,9C,8D,AH,c,r,c,loss
9C,7C,QD,AD,7S,9H,c,c,c,win
6H,7C,7H,KD,9C,8H,c,c,c,loss
7S,9H,AC,TH,TC,JD,c,c,c,loss
QS,TH,KH,TC,JC,7S,c,c,c,win
TD,KC,7D,6D,QC,QH,c,c,c,loss
TS,KC,9C,TC,QD,KH,c,c,c,win
QS,9S,6S,9H,KD,JS,c,c,c,win
8D,AH,TC,QH,JC,KS,c,c,c,win
7D,JH,KS,8D,TC,AS,c,c,c,loss
JH,7C,9S,TS,KD,6C,c,c,c,loss
JH,AH,9S,TS,QH,QS,c,c,c,win
AD,8C,9D,KS,QS,6S,c,c,c,loss
9S,KC,KH,8S,6D,6S,c,c,c,win
JS,AC,QH,7S,TS,KH,c,c,c,win
QC,JH,6H,9D,7S,AD,c,c,c,loss
AC,JS,TH,KC,7D,9C,c,c,c,loss
7D,6S,9H,9C,AH,8H,c,c,c,loss
AC,6C,7C,9H,JH,6S,c,c,c,loss
9D,KH,AH,8D,7C,KS,c,c,c,win
7S,QS,TD,KD,KC,AC,c,c,c,win
JC,8H,QD,6S,AH,8D,c,c,c,loss
KC,6S,8H,JH,TS,QS,c,c,c,win
JD,9H,9S,KC,7C,KD,c,c,c,win
AD,AS,QS,QH,KS,6C,c,c,c,win
8H,KH,7S,TC,6S,AC,c,r,c,loss
TH,9S,9D,6S,9H,9C,c,c,c,win
8S,KD,AS,QD,QH,6D,c,c,c,loss
8C,7S,6D,7D,KD,KS,c,c,c,win
AS,JH,TH,JD,JC,7C,c,c,c,win
TS,6D,KD,7S,QS,9D,c,c,c,win
AH,7C,9H,7S,KH,8S,c,c,c,loss
TH,7S,JS,7C,9H,KH,c,c,c,loss
6H,6D,AH,KD,8C,JD,c,c,c,loss
8S,JS,JC,QD,7C,8H,c,c,c,loss
QS,JC,JH,8H,TC,TD,c,c,c,win
KS,KH,7S,TD,QD,9C,c,c,c,win
7D,KS,JD,9H,8D,QC,c,c,c,loss
9C,TC,AS,KC,9S,KS,c,c,c,win
AS,8S,AD,6C,KC,QS,c,c,c,loss
AS,QC,KS,8H,JH,9D,c,c,c,win
6H,JH,7C,KC,QC,6C,c,c,r,loss
AD,8S,QS,TC,QC,JD,c,c,c,loss
TC,KH,8S,7S,TS,9D,c,c,c,win
JS,JD,8C,TH,8H,JC,c,r,c,win
9H,KD,AD,8H,9D,QS,c,c,c,loss
TS,JH,JD,8C,7S,AS,c,c,c,loss
7D,TS,7C,8H,QD,7S,c,c,c,win
AD,9D,QS,KH,TC,6C,c,c,c,loss
AD,6D,QH,8H,TH,JC,c,c,c,loss
KS,KC,9C,JS,6H,TD,c,c,c,loss
KH,6D,7H,KS,QC,QH,c,c,c,win
6H,JH,7C,6D,9H,JS,c,c,c,win
QH,7C,KC,7D,JH,8S,c,c,c,win
KC,6C,6D,JH,AS,TS,c,c,c,loss
7D,JH,6S,9C,TS,KD,c,c,c,win
KC,KS,7H,JD,AH,JH,c,c,c,win
KH,AD,QS,7S,KD,QD,c,c,c,win
KC,8S,9S,7D,QH,8H,c,c,c,win
9S,AS,JC,JS,QC,9D,c,c,c,loss
8C,JS,JH,AH,TS,8D,c,c,c,win
KH,AH,KC,6D,KD,KS,c,c,c,win
9S,AS,7C,JD,TS,TD,c,c,c,win
6D,QD,8H,7C,7D,TH,c,c,c,loss
7C,AD,JC,AH,AS,6H,c,c,c,win
9C,QC,JH,AC,7S,6H,c,c,c,loss
TS,9S,7C,AC,QS,JD,c,c,c,win
7H,QS,9H,QH,TH,QC,c,c,c,win
QH,AD,KD,AC,8C,6H,c,c,c,win
TH,9C,TC,JC,9D,7D,c,c,c,win
KS,6H,7H,9S,7C,6C,c,c,c,win
QS,9C,8H,6C,9H,9D,c,c,c,win
8D,KD,AH,7D,KC,6C,c,c,c,win
AD,7H,QS,KS,QH,AS,c,c,c,win
AS,8H,AD,QD,8S,AH,c,c,c,win
8D,AC,6D,9S,QC,9D,c,c,c,loss
KS,8H,TH,TS,KH,9S,c,c,c,loss
KD,7H,6D,QC,9S,7S,c,c,c,loss
AS,8S,AC,TH,7H,JD,c,c,c,loss
9H,TC,9C,AS,7H,JS,c,c,c,win
JD,KC,9S,AS,QC,8D,c,c,c,loss
TH,AS,7D,QC,TC,7C,c,c,c,loss
QD,QH,JH,6D,9D,6S,c,c,c,win
7H,9S,8H,9C,KH,6H,c,c,c,win
6H,TD,6D,6S,9C,7S,c,c,c,win
JC,6S,AS,QS,8S,TH,c,c,c,loss
7C,JD,6C,JH,8H,QS,c,c,c,win
8C,8H,JD,TD,AC,TS,c,c,c,loss
AH,TC,TD,AC,KH,6S,c,c,c,loss
KH,7S,8S,9S,9D,KC,c,c,c,win
9D,TC,7C,6D,8S,AC,c,c,c,win
JD,JC,8S,KC,8C,QC,c,c,c,loss
9H,QD,8H,7C,9D,QH,c,c,c,win
AD,AS,8D,9H,JC,QH,c,c,c,loss
AD,TD,QS,6H,8S,QD,c,c,c,loss
TD,QS,AS,6C,6S,9D,c,r,c,loss
9D,6D,KS,QD,JS,8S,c,c,c,win
9H,KC,7C,TD,8D,KD,c,c,c,win
AS,6H,JS,8H,AC,8D,c,c,c,loss
8C,7D,JD,AD,TC,AC,c,c,c,loss
7D,6D,7S,TC,9S,JC,c,c,c,loss
KS,7D,6C,JH,7S,KH,c,c,c,win
8S,KS,KD,QD,6H,AH,c,c,c,win
9S,QC,AC,8S,AH,TD,c,c,c,loss
8S,QC,KC,8C,JH,TH,c,c,c,loss
AS,9C,KS,TC,9S,JC,c,c,c,loss
JS,AC,KD,TD,8S,QC,c,c,c,win
9D,KH,6C,AC,AS,TH,c,c,c,loss
AS,AD,TD,6D,6S,8H,c,r,c,loss
AC,9H,9S,7C,7D,9C,c,c,c,win
KH,6H,AC,QC,JD,KD,c,c,c,loss
8D,KD,QS,8C,AD,6C,c,c,c,loss
AS,AH,6C,6S,KC,KS,c,c,r,loss
QC,QS,6H,JD,7D,KS,c,c,c,win
QS,AH,AS,KS,7S,9H,c,c,c,win
7C,KD,9H,8H,9C,6S,c,r,c,loss
9C,TS,7H,AH,QC,7S,c,c,c,loss
JH,8D,QC,8H,AH,8C,c,c,c,win
7H,AC,QS,JS,KD,8H,c,c,c,loss
8S,6H,TH,JC,KS,KD,c,r,r,loss
9H,JC,JS,8H,6S,8D,c,c,c,loss
7D,QD,7S,8D,8C,KH,c,c,c,win
9C,AH,TD,6H,TC,AS,c,r,r,loss
KC,JD,KD,QD,AD,6D,c,c,c,win
9D,TS,9H,8S,AC,QH,c,c,c,win
7D,TS,7C,9C,KD,KC,c,c,c,loss
8H,7D,9D,8D,6C,QC,c,c,c,loss
JD,8S,8D,QS,9H,QD,c,c,c,win
9H,KD,6S,QD,6D,8S,c,c,c,loss
AS,7S,6H,8H,AD,AC,c,c,c,win
KS,8C,TC,7S,AS,9H,c,c,c,loss
8C,AH,9C,TS,JS,KC,c,c,c,loss
8D,AH,TD,6S,KH,7H,c,c,c,loss
6C,TH,9C,8D,JD,TD,c,c,c,loss
QC,QH,8H,KC,AD,KD,c,c,c,win
7D,7C,6S,9D,7H,8S,c,c,c,win
6S,KS,6H,9H,8C,KD,c,c,c,loss
KS,8H,QH,8S,AH,9C,c,c,c,loss
KD,KS,JS,9D,KH,AS,c,c,c,win
TS,JS,AD,AH,TC,KC,c,c,c,win
7S,KH,QS,JS,KS,KC,c,c,c,win
7D,JD,7C,KC,TS,QC,c,c,c,win
7H,9H,JS,7S,9C,QS,c,c,c,win
KD,9S,8D,KS,JC,9D,c,c,c,win
JS,KD,6S,TS,AH,AC,c,c,c,loss
TC,QD,8H,JS,QC,9S,c,c,c,win
6H,7S,QC,TC,7C,8S,c,c,c,loss
JC,QC,JH,AC,AD,8H,c,r,r,loss
QH,8S,9C,JH,6D,JC,c,c,c,loss
QC,QS,QH,9S,7S,AS,c,c,c,win
JH,6H,QS,KC,AS,KH,c,c,c,win
KD,7H,8S,9D,TC,9C,c,c,c,win
AH,9D,7D,QC,KC,6D,c,c,c,loss
8H,TS,6D,9S,9C,JC,c,r,c,loss
6C,7D,JH,QC,KC,TD,c,c,c,loss
JS,KS,TS,TC,KH,8C,c,c,c,win
6D,7S,QC,8C,KD,QD,c,c,c,loss
QD,9C,9S,TS,AD,8S,c,c,c,loss
TD,7C,8C,6S,6C,TS,c,c,c,win
TS,9S,JC,JH,QD,6S,c,r,r,loss
QD,9C,7D,8S,QH,KC,c,c,c,loss
7D,6S,JC,6D,9S,TD,c,c,c,loss
6S,8H,TS,JS,7D,KH,c,c,c,loss
AC,6C,8D,8S,JH,7C,c,c,c,loss
QD,6D,KH,TC,KS,9D,c,r,r,loss
AS,8C,7S,QD,QS,6C,c,c,c,loss
KH,KD,6D,AC,6C,7D,c,c,c,loss
TS,KS,8D,7C,6S,6D,c,c,c,loss
JD,KH,8D,TH,TD,JC,c,c,c,win
KC,6D,AS,JS,9H,9S,c,c,c,loss
JS,6S,TD,6H,7H,6C,c,c,c,win
QH,KH,6C,JD,8H,9C,c,c,c,loss
7D,KC,JD,7S,6C,6H,c,c,c,win
AH,TS,KH,9S,7D,8S,c,c,c,loss
AH,JD,9H,8S,TS,AC,c,r,c,loss
AH,8H,KD,6S,8S,QD,c,c,c,loss
7H,AC,JS,9D,8C,TH,c,c,c,win
8H,KC,7H,8D,QH,9C,c,c,c,win
9D,QD,JD,9S,7C,6H,c,c,c,loss
9D,QH,QS,AD,KH,8S,c,c,c,loss
KD,QD,8D,9S,JH,KH,c,c,c,win
9D,TC,KS,9H,8D,6H,c,c,c,loss
QH,6D,AC,9D,QC,JD,c,c,c,loss
6S,7C,7S,TS,8D,6H,c,c,c,win
7C,AS,8C,QS,AH,AD,c,c,c,win
JS,8S,JC,6S,8D,KD,c,c,c,win
TS,9C,6D,KD,8D,9D,c,c,c,loss
JD,KS,AD,JC,9C,7C,c,c,c,loss
TS,AH,AD,KD,TD,KS,c,c,c,win
6D,JH,AS,9D,KD,7H,c,c,c,loss
QD,TS,8C,JH,7D,TD,c,c,c,win
JH,KH,7S,7C,AS,KC,c,c,c,win
QH,7C,QC,JS,AH,8D,c,c,c,win
AS,JD,9H,JS,6C,AD,c,c,c,win
JD,QH,9D,AS,9H,8D,c,c,c,loss
QH,TS,6S,8S,TC,AS,c,c,c,win
6S,AD,8H,9C,9D,TH,c,c,c,loss
KC,6S,KS,TC,9C,QD,c,c,c,loss
7H,KD,AD,9D,8H,QH,c,c,c,loss
8C,KC,8D,AH,AC,6D,c,c,c,win
TS,7H,QC,KC,8S,TD,c,c,c,loss
KH,9S,6H,TH,JC,TC,c,c,c,loss
6C,7S,QS,9S,7C,6D,c,c,c,loss
QH,8H,9H,6C,JH,AC,c,c,c,win
TC,JC,JH,JD,KH,TH,c,c,c,win
7C,QS,9C,KH,QD,TC,c,c,c,loss
9D,9C,6H,AC,7S,TD,c,c,c,win
7C,6H,7D,8C,6D,AC,c,c,c,win
QC,QH,9S,9D,7H,7S,c,c,c,win
7S,QC,TC,7D,9C,8S,c,c,c,win
QS,7D,6D,7H,8H,JH,c,c,c,loss
8S,QS,KD,6S,9S,9C,c,c,c,loss
9C,AH,TC,JS,JC,AC,c,c,c,win
JH,TD,7C,TC,AH,KC,c,c,c,win
JH,TC,9D,7C,AC,KD,c,c,c,loss
6D,8H,JH,TS,AD,6H,c,c,c,loss
6H,QS,AH,9S,8S,9D,c,c,c,loss
TS,AC,9C,6C,QD,6H,c,c,c,loss
AD,KH,AH,9D,8S,6C,c,r,c,loss
TS,KH,KS,AS,6H,7C,c,c,c,win
9H,7H,QD,KS,8C,KC,c,c,c,loss
7H,AD,8H,AH,AC,JS,c,c,c,win
JD,QC,JS,8C,6H,9S,c,c,c,win
AD,8H,JC,6S,QC,7D,c,c,c,win
AD,9S,6H,QH,9C,7H,c,c,c,win
9D,QH,TC,JS,7C,JD,c,c,c,win
9C,QD,8H,AD,6H,6S,c,c,c,loss
6H,QD,6S,7S,8H,KD,c,c,c,loss
8H,AC,8S,8C,QC,TH,c,c,c,win
JS,TD,TH,6H,JH,8D,c,c,c,loss
KS,JH,7C,8C,TC,6C,c,c,c,loss
QH,9H,KC,7S,KD,JS,c,c,c,loss
7C,KC,9H,7H,KD,TH,c,c,c,loss
AH,6C,KD,AS,TH,7D,c,c,c,loss
QC,6C,JD,6H,6D,AC,c,c,c,win
JS,6D,7S,QS,7D,AD,c,c,c,win
AC,9D,8C,8D,TD,KH,c,r,r,loss
JH,9S,JS,TD,7C,6H,c,c,c,loss
JC,7C,QD,9C,AS,AC,c,c,c,loss
KS,6S,7D,QH,7C,7H,c,c,r,loss
QS,AH,QD,6H,KD,KC,c,c,c,win
9H,8C,JC,AC,QH,8S,c,c,c,loss
6H,JC,AC,8D,QD,QS,c,c,c,win
6D,7S,JS,AC,8S,8C,c,c,c,win
AC,6D,6C,8C,KD,7C,c,c,c,loss
TH,TD,AS,8H,8C,KH,c,c,c,win
8D,AC,7S,TH,QD,KD,c,c,c,loss
TD,KS,9D,6S,6D,AC,c,c,c,loss
KC,6C,JH,JC,TH,9D,c,c,c,win
7D,TH,AS,KH,AC,KD,c,c,c,loss
9H,9C,8H,KC,6C,7S,c,c,c,loss
KC,KS,8S,6S,9H,TC,c,c,c,loss
9C,KC,JD,KH,6S,8C,c,c,c,win
8S,7C,8C,9S,8D,AS,c,c,c,win
KS,AS,TC,6S,6C,8S,c,c,c,loss
9S,QD,TC,6C,8H,6H,c,c,c,loss
8S,AC,KD,6C,AS,7D,c,c,c,loss
JS,6S,TH,QC,8C,JH,c,c,c,loss
QS,AD,AC,6D,6S,6H,c,c,c,win
TS,QH,7H,9C,QC,QS,c,c,c,win
KH,8C,TH,JH,AC,QH,c,c,c,win
KH,QD,9H,7S,8H,QH,c,c,c,loss
KS,JH,AC,6S,AS,9D,c,c,c,loss
7H,9H,QS,6S,JS,9D,c,c,c,win
6C,QH,KD,7H,9H,TS,c,c,c,win
AH,TS,TH,AC,9S,QH,c,c,c,win
JD,KD,9D,JH,8C,KS,c,c,c,loss
AD,8S,9C,7H,KD,QH,c,c,c,loss
QC,8D,JC,7C,7D,8S,c,c,c,loss
TC,QC,6D,AS,7D,6H,c,c,c,loss
KH,TD,7S,TS,9D,9C,c,c,c,win
8S,KH,6S,8D,7D,9D,c,c,c,loss
QC,AC,QD,TC,KS,6S,c,c,c,win
AD,6H,JS,7D,9D,7S,c,c,c,loss
QH,9H,JS,6D,AS,8D,c,c,c,loss
KS,QD,JC,9S,AD,QS,c,r,c,loss
9D,QC,8D,QD,TC,AH,c,c,c,loss
JH,7H,6S,7C,6C,TH,c,r,c,loss
6D,KC,6H,TS,JC,KD,c,c,c,win
AD,9S,7D,KS,9C,8S,c,c,c,win
JC,6H,QH,AD,TH,6C,c,c,c,loss
9D,7C,KD,7H,AH,TH,c,r,c,loss
JH,8S,JD,QC,KC,9C,c,c,c,loss
KS,9S,QC,QS,7H,AS,c,c,c,win
TC,8D,QS,8C,7C,KD,c,c,c,loss
AC,QH,KD,9C,7S,QS,c,c,c,win
7S,JD,7H,9H,KS,AS,c,c,c,loss
QH,6S,TH,JD,TD,8S,c,c,c,win
JC,7C,9H,JH,QC,AS,c,c,c,loss
JD,6D,7C,QC,AD,JH,c,c,c,win
AH,QC,TD,QD,9C,7C,c,c,c,win
6C,QC,TC,9D,QH,9H,c,c,c,win
9D,9C,QS,9H,8C,8S,c,c,c,win
AC,KS,AH,TC,7D,9H,c,c,c,win
6S,JS,KD,AH,AC,TH,c,c,c,loss
QS,TD,QD,6C,6D,JD,c,c,r,loss
TS,QC,8C,7C,JC,QD,c,c,c,win
JS,AS,AC,9S,8C,9H,c,c,c,loss
JS,7H,8S,AH,TS,QD,c,c,c,loss
QD,6S,7C,7D,9H,AH,c,c,c,loss
JH,8S,AS,7C,KH,8D,c,c,c,loss
KC,KS,9D,7C,AH,8H,c,r,c,loss
6D,QS,QD,JS,6H,TH,c,c,c,loss
7C,9S,QC,9C,QH,TS,c,c,c,loss
9D,8S,AD,6D,9S,6S,c,c,c,loss
8D,6S,QC,7D,QD,9H,c,c,c,loss
AC,9D,TD,QC,KS,6S,c,c,c,loss
QC,AD,7S,8C,QD,TD,c,c,c,win
QD,TS,6D,7D,JS,AS,c,c,c,win
KD,9S,QH,QD,JD,7D,c,c,c,win
KD,7C,6C,TH,KH,AH,c,c,c,win
JS,9D,QS,JH,KH,6H,c,c,c,win
QD,JC,6C,QS,7H,AD,c,c,c,win
7S,KH,9D,AC,8H,6H,c,c,c,loss
JC,AS,8C,TS,AD,KH,c,c,c,loss
AC,JH,8S,7H,6H,JC,c,c,c,loss
TH,6H,AH,KS,QC,7S,c,c,c,loss
8H,6H,9C,TD,6D,8D,c,c,c,loss
AD,6C,AC,QC,AS,TD,c,c,c,win
JC,9C,AD,JH,QC,QD,c,c,c,win
JC,9D,TH,JH,9S,8D,c,c,c,loss
TD,QS,JC,7H,6S,AH,c,c,c,loss
6D,8D,KH,6S,8S,TC,c,c,c,loss
QS,9H,TS,8H,JC,9C,c,c,c,win
7S,8H,7D,TD,JH,AD,c,c,c,win
8H,TD,9D,TS,9C,7H,c,r,c,loss
KH,6H,KS,8S,TH,JD,c,c,c,loss
TS,8D,6H,KD,9H,AS,c,c,c,win
7C,7H,JS,9H,8S,6S,c,c,c,win
KD,7H,8H,7D,9H,TC,c,c,c,loss
JS,6D,8C,8H,QC,9C,c,c,c,win
KS,8S,TH,8C,6S,AH,c,c,c,win
QC,AC,JH,JS,7S,QH,c,c,c,win
6D,8S,7H,8C,9S,QH,c,c,c,win
7S,JH,JS,AH,JD,9C,c,c,c,win
AS,AH,7H,7D,7C,8C,c,r,c,win
8H,9H,TD,QD,QS,6D,c,r,c,loss
TS,6H,KD,QD,TC,KH,c,c,c,loss
KS,6D,6S,AH,QD,7D,c,c,c,loss
9D,QS,KD,AS,AC,TS,c,c,c,win
9C,AH,9H,7S,QD,6S,c,c,c,loss
QH,6D,TC,8S,QC,TH,c,c,c,win
KS,TC,7D,AH,QH,QC,c,c,c,win
9H,QS,6C,KC,TC,JS,c,c,c,loss
TH,QH,QC,AC,7C,QS,c,c,c,win
AS,9C,6D,8H,JD,QD,c,c,c,loss
QD,KS,7S,6C,7C,9C,c,c,c,loss
7H,8S,JD,8D,AH,KH,c,c,c,win
9S,KH,JS,AC,AD,6D,c,r,c,loss
8D,AH,JD,AS,TD,KH,c,c,c,loss
AC,QS,JS,JC,7D,7H,c,c,c,win
8D,8C,QD,9C,6H,JH,c,c,c,loss
QS,8D,AC,9C,JC,QD,c,c,c,win
9H,9D,JS,AC,AS,8C,c,c,c,win
QS,6C,TD,AD,7C,9D,c,c,c,loss
9S,JC,7H,TS,JD,JS,c,c,c,win
KD,9D,6D,7C,KC,8C,c,c,c,win
QH,6D,AD,AC,KD,9S,c,c,c,win
QC,TC,JS,6C,KD,QD,c,c,c,loss
6D,8C,JS,AD,9C,8D,c,c,c,win
JS,AC,9H,QD,8H,KC,c,c,c,loss
AS,KC,JD,QC,7D,KS,c,c,c,win
QS,8S,6H,7H,9H,9D,c,c,c,win
8H,QS,8C,TD,JD,8D,c,r,r,loss
TD,AH,9H,TH,JH,6C,c,c,c,win
KS,7S,8H,KC,7D,KD,c,c,c,win
QS,QD,QH,TC,6S,8H,c,c,c,win
QC,TC,6C,7H,TS,7C,c,c,c,win
JD,QD,JS,QS,8S,6S,c,c,r,loss
JC,KH,TC,TS,JH,AS,c,c,c,loss
TH,QD,9C,AC,TD,9H,c,c,c,win
9C,KH,AC,JD,7C,6S,c,c,c,loss
7H,AC,6C,7S,JD,8H,c,c,c,win
8D,QC,7C,6C,QD,6H,c,c,c,loss
7H,9C,JC,JD,9S,QS,c,r,c,loss
8D,7C,6D,TD,6S,8H,c,c,c,win
AH,7H,7D,KC,QS,JS,c,c,c,loss
7H,QH,JH,TS,7C,6S,c,c,c,win
8S,9S,7H,7S,7C,TC,c,r,r,loss
7D,QS,AD,TH,KH,KD,c,c,c,win
AS,6S,AD,JS,8S,AC,c,c,c,win
6C,8S,JD,TS,KC,9D,c,c,c,win
QD,9D,9S,QC,6S,TH,c,c,c,loss
AD,7H,TC,8D,KH,8C,c,c,c,loss
QH,QD,9D,6S,JH,8C,c,c,c,win
QD,7S,AH,JH,AC,QH,c,r,r,loss
8C,QS,KC,QD,AH,AC,c,c,c,win
8S,KS,6D,9D,QC,QS,c,c,c,win
6D,QH,QC,KD,KH,9H,c,c,c,win
7H,QD,KC,TS,7C,TC,c,c,c,loss
KD,9C,QS,AH,6D,7D,c,c,c,loss
6C,JH,9S,TH,TD,JS,c,c,c,win
TS,8D,QH,TD,6S,7C,c,c,c,win
9C,7S,7C,QD,KH,AD,c,c,c,loss
QH,8H,TS,8D,KH,7S,c,c,c,loss
8S,TC,9D,KC,KD,QD,c,c,c,loss
TD,9C,QS,AH,AC,TH,c,c,c,win
6S,TH,KD,6C,9H,6H,c,c,c,win
KC,TC,AC,JH,8C,JC,c,c,c,win
8S,QC,TH,7C,JH,TC,c,c,c,loss
TS,6C,8S,JC,JH,8D,c,r,r,loss
9D,JD,9H,AD,KC,6S,c,c,c,win
9D,7D,6D,7C,9C,7S,c,c,c,win
6D,AH,AS,8D,8C,JS,c,c,c,win
JC,QD,9D,KC,9S,TD,c,c,c,win
KD,JC,TS,AS,TD,8H,c,c,c,win
TS,7C,AH,KH,AS,9C,c,c,c,loss
7H,JC,9C,8S,AH,QD,c,c,c,loss
6H,QH,TC,JS,7S,8D,c,c,c,loss
QC,7D,JH,8D,6C,7S,c,c,c,loss
TS,JH,AD,JS,AC,KS,c,r,r,loss
7D,JH,KD,JS,QC,8C,c,c,c,win
7H,TH,8S,QD,KS,KC,c,c,c,loss
9H,TS,9D,KH,8C,AD,c,c,c,loss
6H,KH,6C,TD,JC,6D,c,c,c,win
KC,QC,JS,TC,6D,QH,c,c,c,win
QS,8D,AD,TC,8S,TD,c,c,c,win
QD,7D,7S,KS,JD,KD,c,c,c,win
8H,7H,TC,JD,KS,KH,c,c,c,loss
7C,7S,AS,QH,9D,KC,c,c,c,win
8S,JD,7H,6H,8C,7S,c,c,c,win
8S,KH,AH,7C,7S,9C,c,c,c,loss
8C,KH,QD,QH,6C,8D,c,c,c,win
KC,JS,8S,AS,9S,TD,c,c,c,win
TS,KH,TD,AC,6H,QD,c,c,c,win
TH,7H,9C,JH,KD,6D,c,c,c,loss
8H,AS,7H,7D,TD,TC,c,c,r,loss
AD,8H,9S,7H,QS,QD,c,c,c,loss
JC,TD,6H,AS,6D,AC,c,c,c,loss
KS,AH,AC,7D,6C,TD,c,r,c,loss
QS,9H,8D,KS,7C,TH,c,c,c,loss
AS,TD,6D,JD,TC,6H,c,c,c,win
TH,QS,6D,8S,JD,9S,c,c,c,win
8C,6S,KC,TC,AH,9C,c,c,c,loss
JH,8C,QS,9H,KS,9C,c,r,r,loss
KS,AD,TS,7C,TD,8C,c,c,c,loss
AH,6H,6D,AC,KH,QC,c,c,c,win
9D,8C,6D,8H,TD,KD,c,c,c,loss
TS,8S,7S,JD,JS,9H,c,c,c,win
JH,AD,KS,7S,6S,6H,c,c,r,loss
TS,7S,AS,QC,9C,KH,c,c,c,loss
TC,7D,JD,QS,QH,KS,c,c,c,loss
9C,AC,6S,AD,9D,QD,c,c,c,loss
6H,8H,8D,KH,9D,QH,c,c,c,win
6H,6D,AS,QD,8D,7H,c,c,c,loss
AC,7S,8H,8S,7C,AS,c,c,c,win
JH,9D,9S,9C,QH,TD,c,c,c,loss
AS,AD,9S,JS,7H,AH,c,c,c,win
