card1,card2,card3,card4,card5,bet1,bet2,result
8H,7S,8S,TC,JS,c,c,loss
KS,JH,9D,QH,TC,c,c,loss
9D,JH,9C,8S,9H,c,c,win
AD,JD,8C,7C,KD,c,c,loss
AC,QD,7H,8H,QH,c,c,win
JC,8S,JS,7D,JD,c,c,win
7C,JS,9H,8C,QS,c,c,loss
TS,QC,8S,AH,AC,c,r,loss
QH,9S,AH,KC,QD,c,c,win
7H,7D,8C,TS,9H,c,c,win
7D,JD,TS,9H,6C,c,c,loss
8D,JH,6C,JD,6D,c,c,win
6S,KS,7D,JS,AD,c,c,win
9H,8S,AC,7H,JH,c,c,win
8D,QH,JS,JH,KH,c,c,loss
8D,7S,AD,6D,QH,c,c,loss
JH,TH,QS,9S,AH,c,c,win
8C,QC,JH,AS,QS,c,c,loss
QC,9S,7C,KH,8S,c,c,loss
KD,KS,AC,KC,8D,c,c,win
9D,7C,QC,AC,6H,c,c,loss
6C,6S,KH,AH,7D,c,c,loss
9H,TS,QS,AC,JS,c,c,loss
QC,9S,QS,QD,8D,c,c,win
AS,9H,9D,QH,7D,c,c,win
8S,7H,7C,8C,KS,c,c,win
TH,7C,7S,AC,8S,c,c,win
AS,6S,7H,9S,QS,c,c,loss
7H,QH,AD,QC,AH,c,c,win
QC,JD,8S,JC,8H,c,r,win
6D,6C,9D,AH,9S,c,c,win
TD,7S,AS,6H,QS,c,r,loss
9D,AS,7S,KC,6C,c,c,loss
TS,9H,8D,9S,7D,c,c,loss
6C,QS,KH,9D,6S,c,c,win
KD,8H,JD,TH,QS,c,c,loss
QH,AD,6C,QS,9D,c,c,win
6C,AS,KD,KH,6D,c,c,win
AH,9D,7H,6S,AD,c,r,loss
6C,QS,8C,QD,8H,c,c,win
JS,8C,QS,KD,8D,c,c,loss
JH,JC,6C,7S,7C,c,c,win
JH,9H,8H,7C,9D,c,c,win
JH,8S,QD,AH,AD,c,c,win
8S,7H,TS,AC,7D,c,c,win
9S,6S,9D,7D,TS,c,c,win
8S,9D,9S,KH,7C,c,c,loss
6D,KH,8C,7C,JH,c,c,loss
AH,7S,9D,8D,QC,c,c,loss
TD,8C,QD,7C,AC,c,c,win
JH,7H,8D,QS,TC,c,c,loss
QH,KD,9S,6C,TC,c,c,win
6D,TH,7H,JH,6C,c,c,loss
6D,6H,TS,6S,6C,c,c,win
7H,6H,9D,7C,8D,c,c,loss
TD,6H,AD,AC,8S,c,c,loss
AH,KS,6D,TS,AS,c,c,win
9S,QS,JS,9D,7S,c,c,win
JC,7D,TD,QD,7C,c,c,loss
AS,QH,KC,QC,7S,c,c,win
JS,AH,6H,JD,7H,c,c,loss
6H,KS,8H,TC,QH,c,c,win
QC,6H,KS,8H,9S,c,c,loss
KD,QD,8D,KH,TS,c,c,win
6S,JH,JC,9H,QD,c,c,win
QS,6C,QC,AC,KD,c,c,loss
8C,QC,7D,JH,AH,c,c,loss
8C,9S,6D,QD,TH,c,c,loss
AH,TS,TC,KD,9C,c,c,win
AD,6S,JD,TH,AC,c,c,loss
6C,KS,KC,QD,6D,c,c,loss
6H,JD,QS,KS,8H,c,c,loss
8H,JS,6D,7D,8D,c,c,loss
TC,6H,6S,8H,6D,c,c,loss
KD,KC,KS,AD,AC,c,c,win
KD,6C,8C,6D,6S,c,c,win
KS,QS,9C,QH,6C,c,c,loss
TD,8S,KH,7C,QS,c,c,win
TS,KS,6C,7S,JD,c,r,loss
KH,AH,9H,KC,6S,c,c,loss
QC,AD,6H,9H,TS,c,c,loss
KC,JD,6D,AS,JH,c,c,loss
8C,AC,9D,QS,KD,c,c,loss
JS,KD,6D,TS,8C,c,c,loss
JC,7C,8D,9C,TS,c,c,loss
8S,6S,KD,QS,KC,c,c,loss
9C,TD,AC,AS,8C,c,c,loss
9S,7D,JC,9H,QD,c,c,win
QS,8C,KS,JS,8D,c,c,loss
TD,6S,QH,TC,9S,c,c,win
9H,8C,AC,KH,TS,c,c,win
KH,6D,TS,TH,7D,c,c,win
TC,7D,6D,8S,6C,c,c,win
AS,QC,QS,KD,TH,c,c,win
9H,AS,7H,AH,6C,c,c,win
8C,KD,QD,AH,KC,c,c,loss
AS,9D,7D,AD,KC,c,c,loss
AS,AH,KS,TH,7D,c,c,loss
AH,TH,6C,7S,QS,c,c,loss
6H,8S,TH,TC,QH,c,c,win
JS,KS,JD,AH,KC,c,c,win
TS,KH,6S,8H,JD,c,c,loss
7S,7H,9S,9H,8S,c,c,loss
9C,8H,8D,AC,JD,c,c,win
KH,JD,8H,7C,8C,c,r,loss
JD,QH,9H,TS,JH,c,c,win
7C,QH,JD,KS,QC,c,c,win
JC,8H,8D,QC,QS,c,c,win
9D,AC,7C,JC,TH,c,c,win
TD,6S,JC,QC,7S,c,c,loss
AH,8S,8D,9H,KC,c,c,win
7C,KC,8S,6D,AH,c,c,loss
AS,7C,QD,JH,6C,c,c,win
8S,7C,KD,6S,JH,c,c,loss
KD,7C,7H,KS,6C,c,c,win
AC,9S,QD,6H,JD,c,c,loss
6H,7C,7S,QH,JD,c,c,win
7D,6D,QD,9H,8H,c,c,loss
8H,AH,TD,TC,7D,c,r,loss
8C,AD,6C,AS,9D,c,c,win
KH,KD,8C,7D,JH,c,c,win
QC,QH,6C,JD,TC,c,c,win
7S,QS,JD,7D,KH,c,c,win
QH,9C,JH,7C,JC,c,c,loss
7H,6S,7C,KD,AC,c,c,loss
7D,KS,7S,7H,TD,c,c,win
AD,9H,AH,8D,JS,c,c,win
7C,QD,QS,6D,8H,c,c,win
6D,8S,TH,QC,JD,c,c,loss
AS,AC,KH,8S,7C,c,c,win
6H,AS,7D,JC,TH,c,c,loss
TC,JS,TD,KS,8D,c,c,win
7D,QC,9H,7H,7S,c,c,win
9S,QD,AC,QC,TD,c,c,win
JC,6D,QC,JS,6H,c,c,win
9C,KC,JD,7D,KH,c,c,win
AS,7D,6H,JS,9D,c,c,loss
QS,AC,TH,7C,TC,c,c,loss
7C,9H,8C,QC,TH,c,c,win
8H,6S,6D,7S,AC,c,c,win
JS,QD,JD,6H,9D,c,c,loss
9S,QH,7D,9H,QD,c,c,win
7H,7S,6H,6D,JC,c,c,loss
TH,6D,QD,AH,JH,c,c,win
KC,AH,6C,KS,6S,c,c,win
8C,QC,KC,9C,KH,c,c,win
8H,TS,QC,7H,KH,c,c,win
TC,TD,8H,9D,JS,c,c,loss
KH,KS,JS,QD,6H,c,c,win
JC,8C,AH,7D,AD,c,c,loss
9H,JH,8D,TS,JC,c,c,win
TD,8C,8S,KS,AH,c,c,win
KC,7D,9C,AC,QD,c,c,loss
7S,8S,9H,8D,JD,c,c,win
8S,7C,7S,JH,JS,c,c,loss
6D,7C,JD,TD,AS,c,c,win
TH,9H,8H,JH,JS,c,c,win
9S,8H,QC,8S,AH,c,r,loss
9H,QD,9S,TD,KH,c,c,loss
7C,QH,AH,7D,AD,c,c,loss
JD,6D,QC,KH,KD,c,c,win
JS,QS,9D,QC,KH,c,c,loss
JH,JC,TS,KC,KS,c,r,loss
KC,9C,9S,JC,JH,c,r,loss
9H,9D,JS,6S,6D,c,r,loss
KD,9S,8C,9C,KC,c,c,loss
8D,9D,TH,6S,8S,c,c,loss
KS,6C,JC,QH,QS,c,c,loss
KC,8S,JS,9H,8D,c,c,loss
8C,7C,KH,AD,9S,c,c,loss
TD,QC,KS,9C,9H,c,c,loss
JS,JD,KD,8S,7C,c,c,win
JH,KS,JC,7D,KC,c,c,win
9C,TH,KD,AH,JC,c,c,loss
7C,TC,7D,JS,TS,c,c,loss
8D,8C,QH,9D,7C,c,c,loss
TS,JC,6H,TC,QH,c,c,loss
6S,QC,6H,9H,7H,c,c,win
AH,6H,8D,6S,AD,c,c,loss
AS,TH,6S,TD,TS,c,c,win
QD,KS,7S,6D,QS,c,c,win
9H,8D,JS,QS,7H,c,c,win
AD,TS,KC,QD,JH,c,c,win
7D,TD,JD,7H,8C,c,c,win
9H,TH,8C,8H,7D,c,c,loss
JC,JS,AH,AC,8H,c,c,loss
9D,TS,9S,AD,6C,c,c,loss
JD,8S,JC,TC,AD,c,c,win
JH,AS,8H,6S,8D,c,c,win
8C,AH,KH,AD,QS,c,c,loss
JH,JS,8S,6S,8H,c,r,loss
TD,8D,8H,7S,9H,c,c,win
6H,TD,QC,8C,7C,c,c,loss
9C,8H,8S,QC,8C,c,c,win
AH,6S,7S,QC,8D,c,c,loss
QH,6C,TC,8C,6D,c,c,loss
9D,KD,6D,TH,6C,c,c,loss
8H,AC,6D,TC,9C,c,c,loss
KD,KS,7C,6D,JD,c,c,win
8H,JC,QH,KS,TD,c,c,win
QS,7H,JH,TC,6C,c,c,loss
9H,9S,JH,KD,7C,c,c,loss
8C,TS,6C,TC,6S,c,c,win
7D,JS,6H,9S,KC,c,c,loss
AS,QH,JD,6S,7H,c,c,loss
9S,JC,JS,QS,KS,c,r,loss
TS,QH,9D,KS,KD,c,c,win
KS,AD,KD,8C,QH,c,c,win
6D,TD,7H,9D,6C,c,c,win
9S,QS,8S,KC,9C,c,c,loss
AC,JC,9C,KH,AH,c,c,win
9C,QH,6H,JD,JH,c,c,loss
7C,TD,AC,8C,KC,c,c,loss
8C,7D,TC,7H,KC,c,c,loss
6S,7H,AC,KS,7D,c,c,win
AS,9C,QD,JC,QS,c,c,loss
KH,QS,6H,AC,QH,c,c,win
AS,8H,KS,8S,AC,c,c,win
8D,8S,JS,6S,AD,c,c,loss
KD,KH,TH,KC,6H,c,c,win
AC,6S,9D,AH,AD,c,c,win
JS,TS,6H,6S,KD,c,c,win
6H,QS,JC,7H,TC,c,c,loss
QS,7S,9H,6H,QD,c,c,win
TC,9S,TD,KH,9C,c,c,win
AD,AS,8H,8C,TH,c,c,loss
TD,JC,AD,7H,JH,c,c,win
QH,JH,TC,QC,6S,c,c,win
8D,JC,7S,TH,TC,c,c,win
7H,7D,QH,AS,JD,c,c,win
TH,9S,JS,6C,TD,c,c,win
7S,TD,6C,QC,9C,c,c,win
9D,9C,AS,8D,6H,c,c,loss
AS,8S,TC,JC,AC,c,r,loss
KH,TS,8S,6C,JH,c,c,loss
6D,KD,QH,8H,AD,c,c,loss
AD,TD,9H,7D,8C,c,c,loss
9H,QC,AH,7H,9D,c,c,win
KS,TS,JD,KH,6H,c,c,win
KH,JD,9S,TH,8S,c,c,win
TS,AS,TC,8S,8C,c,c,loss
KS,JS,TH,8S,TS,c,c,loss
JC,8D,KH,8H,6S,c,c,win
7D,7H,TC,8H,9S,c,c,win
AD,9C,KC,9H,6S,c,c,win
KC,KH,KS,6C,7S,c,c,win
JC,7D,6H,AS,JS,c,c,win
KC,6S,QS,TC,QH,c,c,win
KS,6H,QD,QS,9D,c,c,win
AC,KD,6D,7D,QH,c,c,loss
AC,6S,TD,7H,KS,c,c,loss
8D,7H,QD,KD,AS,c,c,loss
JS,7S,AH,TS,9C,c,c,loss
AC,AS,TC,8S,JC,c,c,win
AC,QS,KD,JC,7D,c,c,loss
8H,JD,KC,9H,QC,c,c,loss
KD,7H,8D,AS,6H,c,c,loss
7C,9S,AH,8C,TS,c,c,win
8C,KD,6H,QC,JC,c,c,win
QC,6S,6H,JH,7S,c,c,loss
TC,7H,TH,9H,6H,c,c,loss
9C,KD,AD,JD,TS,c,c,win
6H,QS,JD,QC,KS,c,c,win
QC,7D,9H,JC,8H,c,c,loss
JD,8H,KS,7S,7D,c,c,win
7C,9C,JD,JH,9H,c,r,loss
TC,AS,QD,7D,AC,c,c,win
QH,7D,6C,TD,TS,c,c,loss
KS,8D,7C,QS,AC,c,c,win
6D,JD,KH,TC,QH,c,c,win
TD,8S,KH,QC,7S,c,c,loss
TH,9D,AC,QD,7S,c,c,win
QS,6H,JC,6C,KH,c,c,loss
6D,JD,KD,9S,6S,c,c,win
AS,AH,6H,TS,9D,c,c,loss
8H,AC,6S,7C,QH,c,c,win
AC,8S,8D,6D,QH,c,c,win
7S,9D,6C,QS,9S,c,c,win
6C,TH,JC,6S,AD,c,c,win
6H,KS,KC,7S,QC,c,c,loss
QS,QH,AS,6C,JD,c,c,win
TD,KC,7C,6D,JD,c,c,loss
AH,JH,8H,TH,9D,c,c,win
AD,8C,QH,TH,JS,c,c,win
6S,KH,9S,JH,AC,c,c,loss
7S,KD,KC,TC,QD,c,c,win
7C,QC,AC,QS,KC,c,c,win
TD,8H,7D,JD,6S,c,c,loss
JS,TS,6C,JH,AS,c,c,win
KH,QD,8D,6C,8S,c,c,loss
TD,AC,TH,QD,9D,c,c,win
8H,9D,9C,6D,JC,c,c,loss
AD,6H,8D,JD,QC,c,c,win
6C,9C,9H,8H,AS,c,c,win
6C,KH,6H,KD,7D,c,c,win
KH,JH,TH,9H,6D,c,c,win
JD,TC,8C,QD,6D,c,c,loss
6C,KH,KC,9H,6D,c,c,loss
8C,AH,9D,JD,9S,c,c,loss
QH,QD,QC,JD,6C,c,c,win
KD,TS,7H,6C,KS,c,c,win
JC,KS,JS,QS,JH,c,c,win
AD,JS,8C,KC,JC,c,c,win
6C,TS,9S,JD,AS,c,c,loss
QC,TS,JD,AC,9H,c,r,loss
7D,7S,KC,9S,AC,c,c,win
JC,JS,TD,TC,8C,c,c,win
KD,TC,6S,QC,6D,c,c,loss
9S,TH,TC,9C,9H,c,c,win
8H,JD,QH,TD,7S,c,c,loss
JC,KC,8S,QD,JD,c,c,win
AD,6C,TS,TD,QC,c,c,loss
JC,6C,JD,QH,6S,c,c,win
QS,JH,AC,7C,JS,c,c,win
TH,6H,JC,9S,QC,c,c,win
9C,7S,TH,KC,9S,c,c,win
JS,AC,KC,JD,TD,c,c,win
KS,6S,8C,JC,6C,c,c,win
9S,7S,9D,8S,JS,c,c,win
7H,6D,8C,JS,AC,c,c,loss
JD,QS,JH,KH,AS,c,c,win
9D,QD,8S,6D,8H,c,c,win
JS,8S,8D,QD,9H,c,c,win
6S,7S,KS,9C,8S,c,c,loss
7H,AH,KH,7S,8C,c,c,win
6H,8H,7D,6S,QC,c,c,loss
6H,TC,8C,QS,7H,c,c,loss
TC,6S,AH,8D,7D,c,c,loss
7H,9S,AS,KH,KC,c,c,loss
7D,8C,8S,9C,6C,c,c,loss
AH,9D,JS,6C,7C,c,c,loss
8C,JC,8H,6D,TD,c,c,loss
8S,KC,7S,JD,9H,c,c,win
9H,8S,JD,7H,8H,c,c,loss
AD,8S,JS,8C,8H,c,c,win
QC,9D,6C,JC,8S,c,c,loss
6C,7D,AH,KH,JH,c,c,loss
9S,JC,TD,KD,QS,c,c,win
TD,QS,9C,8C,JD,c,c,win
AS,8C,QD,7C,6C,c,c,win
6S,7D,8H,QH,9H,c,c,loss
JS,9C,JC,QH,8S,c,c,loss
7C,9S,QS,KH,JC,c,c,loss
KS,TD,TS,9H,7D,c,c,win
AS,7D,9H,AD,AH,c,c,win
KS,7S,6C,9H,9D,c,c,win
QC,6D,9C,6S,AC,c,c,win
7D,TD,6S,8C,8D,c,c,loss
QC,JH,7H,KC,KD,c,c,loss
8S,AS,TD,JD,6D,c,c,loss
JD,AC,JH,8C,AD,c,c,win
TC,6C,7C,KS,8S,c,c,loss
QD,9C,JC,6C,QC,c,c,loss
7H,JS,6D,TS,KD,c,c,loss
KH,7S,6S,JD,TD,c,c,loss
7C,JS,KC,8S,7H,c,c,win
QS,AS,JS,KD,KS,c,c,win
AC,8H,TD,QH,8D,c,c,loss
6H,JC,KS,JH,TC,c,c,loss
TS,KS,KH,TD,9C,c,c,win
8H,QD,QC,TS,JH,c,c,loss
8C,KC,AD,9D,6H,c,c,loss
9D,QS,KS,QD,KH,c,c,win
6C,8D,6D,TS,9D,c,c,win
QD,AH,TD,JD,KH,c,c,win
QC,QD,6C,KC,7S,c,c,win
QC,7D,9C,AH,JS,c,c,loss
QS,AC,9C,AH,KH,c,c,loss
KH,KS,8S,TD,AC,c,c,win
TS,8H,6C,8D,JS,c,c,win
9H,6H,7H,7S,9S,c,r,loss
7D,AC,7H,KC,9S,c,c,win
9D,7S,6S,8H,8S,c,c,win
6C,7S,6D,JC,AS,c,c,win
AH,TS,KC,7D,QC,c,c,loss
JS,6H,TD,AH,7H,c,c,loss
8D,8S,JC,QS,9H,c,c,loss
QS,TS,6D,9S,8C,c,c,win
6S,QH,QC,JS,JH,c,c,win
QH,KC,TC,6C,6D,c,c,win
JD,8C,AS,QS,TC,c,c,win
JS,7C,7D,8C,QC,c,c,loss
7H,9S,AS,QH,QD,c,c,loss
TD,KS,7H,AD,9D,c,c,win
KC,TD,9H,QC,8C,c,c,loss
7C,TH,9D,7S,JH,c,c,win
TS,TH,AC,8S,QH,c,c,win
QD,JC,6C,QC,6D,c,c,win
9S,7H,KS,JD,7D,c,c,win
KH,7C,8S,JH,AD,c,c,loss
TH,KD,7H,9H,6H,c,c,win
AH,8C,6C,JC,TD,c,c,loss
TH,KH,QS,6S,8H,c,c,loss
JD,8H,QC,7D,KD,c,c,loss
6H,6S,QC,7S,KH,c,c,win
KS,TS,9D,TH,QH,c,c,win
7S,AS,6D,QH,AD,c,c,loss
7S,AH,9H,8S,TS,c,c,loss
7H,8S,7C,6H,6D,c,c,win
6H,7C,KC,9D,QD,c,c,win
QD,AC,8H,JH,AS,c,c,win
JS,6H,TC,9H,TH,c,c,loss
7D,6S,AH,TS,AS,c,c,loss
6S,7H,TC,QS,AD,c,c,loss
AD,TH,6H,6C,TD,c,c,win
AH,6H,AS,9S,7S,c,c,loss
7C,AC,9C,AH,6H,c,c,loss
QC,6C,TH,9S,JC,c,c,win
7H,TD,KC,9D,7S,c,c,win
9C,AD,6D,7D,AH,c,c,win
QS,9S,8H,TD,9D,c,c,win
JD,AD,7H,7C,JH,c,r,loss
7S,JS,TD,AH,7D,c,c,win
JH,8C,QD,9C,AS,c,c,win
QD,7H,AC,9C,QH,c,c,loss
KC,8S,8H,9D,KS,c,c,loss
JS,6D,KH,TH,AC,c,c,win
9S,8S,7C,TH,6D,c,c,win
7H,KH,9C,9D,AS,c,c,loss
AD,6D,8H,6H,KS,c,c,loss
QS,QH,AD,8S,7C,c,c,win
8H,8S,QS,TS,7S,c,c,win
QH,AC,8D,6D,6C,c,c,loss
QC,KD,8S,AH,TD,c,c,loss
6S,JC,QH,9C,JD,c,c,win
KS,KH,TC,6H,AH,c,c,loss
8S,7C,8C,AH,KH,c,c,win
AS,AH,TD,QD,7C,c,c,loss
AH,AC,TD,KD,JH,c,c,win
7D,AS,JD,TS,7H,c,c,loss
KH,7H,7C,AH,TD,c,c,win
QS,KD,JH,6C,TC,c,c,loss
6H,KD,AC,JC,KS,c,c,win
KH,7D,JS,JH,KS,c,c,win
JS,AC,9H,7H,AH,c,c,loss
KH,6S,KD,KS,AC,c,c,win
QC,KS,9H,6H,KH,c,c,loss
JS,7C,AS,6D,KH,c,c,win
8D,9S,TS,QD,QS,c,c,loss
JS,9D,TS,KD,QH,c,c,win
9H,AS,TS,JC,JH,c,c,loss
7S,KH,8D,AS,QD,c,c,win
QD,AC,7C,8H,8D,c,c,win
TS,KD,QS,8D,AH,c,c,win
JC,QS,TD,7C,8S,c,c,loss
7H,KC,JC,6C,QD,c,c,win
6S,6D,JS,AH,AC,c,c,loss
QH,8H,8D,8S,TH,c,c,win
8C,JD,7C,JH,QD,c,c,loss
AS,6S,QH,9D,TS,c,c,win
AH,9D,9C,AD,6C,c,c,win
TS,6H,6S,9C,QC,c,c,loss
JH,8H,7C,TC,QS,c,c,loss
AC,7H,AD,9H,TC,c,c,win
8C,KC,TS,AD,7D,c,c,loss
AD,QS,TD,9D,AC,c,c,win
9D,7C,JS,KS,QS,c,c,loss
KH,QD,QH,AC,6C,c,c,win
KC,AC,6D,AD,8C,c,c,win
JH,JD,QH,KH,JC,c,c,win
AH,QH,6S,6H,8H,c,c,win
TC,JC,8D,QH,6H,c,c,loss
TD,TH,KS,8S,TS,c,c,win
JS,6C,8S,QD,7D,c,c,loss
6D,8D,QD,QC,6C,c,c,loss
6C,TH,TS,9C,TC,c,c,win
QS,JC,KS,6C,6H,c,c,loss
JH,QS,8H,TC,8S,c,c,loss
9H,9D,AH,KC,JD,c,c,loss
AC,TH,7S,6D,8S,c,c,win
KC,JD,6D,6C,7D,c,c,loss
7C,KS,AH,KH,9H,c,c,win
TD,TS,6S,QH,KS,c,c,win
7H,AD,6H,9D,KC,c,c,loss
AD,8S,TC,KS,JC,c,c,loss
6C,TC,JS,8D,6H,c,c,win
8C,9H,6S,7S,QH,c,c,loss
7S,KC,AD,9H,KS,c,c,win
8H,QD,KC,8S,JC,c,c,win
8S,KH,TC,9H,7H,c,c,loss
TD,KS,9H,AD,6S,c,c,loss
JC,QS,7D,9D,KD,c,c,loss
JH,TD,9D,8D,7S,c,c,win
TH,JH,6D,6H,TS,c,c,win
TH,6H,JH,9C,TC,c,c,loss
TD,AD,KS,TH,TS,c,c,win
QS,AS,QH,QC,9C,c,c,win
8S,QH,KD,KC,QC,c,c,win
8D,JD,7S,TH,9S,c,c,win
JS,7D,AS,8S,JH,c,c,win
8H,7C,6D,JS,JD,c,c,win
6H,9H,JD,JC,TD,c,c,loss
TD,7C,7H,8C,9C,c,c,win
QC,QH,7H,TD,TS,c,c,win
9S,JC,8H,JH,TD,c,c,win
AH,AD,TH,7H,QD,c,c,loss
AD,8C,TD,AH,JC,c,c,loss
8C,8H,JD,AH,6C,c,c,loss
8S,8H,TH,AC,AS,c,c,loss
8H,JS,QH,AC,AD,c,r,loss
JD,AS,8S,8C,JH,c,r,loss
9D,8H,QS,QD,9H,c,c,loss
6D,TC,9D,AD,6H,c,c,win
JC,AC,7D,QS,KH,c,c,win
QH,JC,7C,AD,6S,c,c,loss
JH,KC,TH,9H,TD,c,c,win
AS,JS,QS,AH,6S,c,c,loss
7H,6D,TC,7S,QS,c,c,win
7D,8S,8D,KS,TH,c,c,loss
KS,9C,6D,KC,JC,c,c,loss
QD,9D,7S,JC,KH,c,c,win
JH,9C,JC,6D,KC,c,c,win
KD,AD,KS,KC,QS,c,c,win
7C,9D,AH,KH,9H,c,c,loss
TC,TH,6S,QD,AC,c,c,win
7H,6C,7S,TH,AD,c,c,loss
QH,JH,6S,7S,AD,c,c,loss
QH,7D,JS,9S,7C,c,c,loss
7S,9S,8C,KS,6D,c,c,win
AC,AS,6C,7H,QD,c,c,loss
TD,KC,7H,AH,JD,c,c,win
6H,7C,6S,7S,6D,c,c,win
6H,TC,6C,QS,AS,c,c,loss
7D,TD,7H,9S,9C,c,r,loss
9S,AD,JH,QD,KS,c,c,win
AH,TC,8D,6H,8H,c,c,win
QD,AC,AS,KS,8C,c,c,win
6S,8S,JS,TH,6H,c,c,loss
6D,9D,TD,AD,JD,c,c,win
JD,JH,KC,9C,8D,c,c,loss
JD,KD,AC,9H,QD,c,c,loss
KD,TH,9H,6S,7S,c,c,win
QS,7H,QH,JC,7D,c,c,win
8D,KC,KH,6C,KD,c,c,win
TC,AC,TD,KH,8S,c,c,win
9C,AH,6S,KC,AS,c,c,win
JH,QH,TS,8D,QC,c,c,loss
AH,KH,KD,JH,TH,c,c,win
9H,7H,TS,6S,KD,c,c,loss
9H,AS,8H,6C,AD,c,c,win
JD,AS,QS,QC,JS,c,r,loss
6S,KD,8D,TS,6D,c,c,loss
9D,KS,QH,9S,AC,c,c,loss
TD,9S,JD,9D,KC,c,c,win
QH,7C,8S,AH,QD,c,c,win
JS,7S,9S,AD,9D,c,c,win
JD,KS,8D,TC,9H,c,c,win
9D,8H,9H,QH,JD,c,c,win
8C,AD,6D,7D,JS,c,c,win
AD,AC,JD,6S,QD,c,c,win
KS,6C,JD,QH,TC,c,c,win
JC,QH,AD,JS,TH,c,c,win
9C,7H,AS,QD,9H,c,c,win
7S,7C,6H,TC,KH,c,c,loss
KD,7S,KS,8H,6H,c,c,win
AH,JC,JS,AD,6C,c,c,loss
KH,QC,6H,JS,9S,c,c,loss
8C,7H,8H,9D,9S,c,c,win
7H,KD,8D,KC,6H,c,c,win
QC,KH,QH,6D,AC,c,c,win
KS,AC,QD,KD,8C,c,c,win
TH,AS,JD,QC,JC,c,c,loss
TC,JH,9H,TS,KH,c,c,loss
TS,AH,7C,JC,9H,c,c,win
7C,QD,8S,6H,TH,c,c,loss
QC,9C,KH,6D,7H,c,c,loss
TS,AS,TD,QD,9H,c,c,loss
QS,TC,AS,KC,8S,c,c,loss
QH,QC,9S,TC,AC,c,c,win
AC,9C,JS,TD,6C,c,c,win
9H,9D,6S,TH,7S,c,c,loss
6H,TH,QD,AC,8S,c,c,win
6D,8S,AC,6C,QS,c,c,loss
8D,6D,QS,8S,8H,c,c,win
KC,QS,JD,TS,QD,c,c,win
8H,7C,9C,QD,8S,c,c,win
8S,TH,9H,9S,QC,c,c,win
KH,KC,8S,6S,QC,c,c,loss
7D,QS,8D,9H,AC,c,c,loss
QS,KC,6C,9D,6S,c,c,loss
6S,8S,JH,8C,JC,c,r,loss
AS,8H,QH,8D,6S,c,c,win
9H,JH,JS,QD,8S,c,c,win
KS,KC,8H,QC,6D,c,r,loss
6C,7D,6S,KC,AS,c,c,loss
KH,6H,AH,9S,TH,c,c,win
AS,6C,6H,6S,9S,c,c,win
QD,KH,JS,QS,6C,c,c,loss
KC,KH,9H,JC,8D,c,c,win
KD,JD,JH,JC,TC,c,c,win
TC,7S,AH,6C,QH,c,c,loss
QH,7H,TD,8C,JS,c,c,win
6H,TS,TD,8S,QS,c,c,loss
9D,JS,8H,KH,KD,c,r,loss
KC,QC,7S,AH,KS,c,c,win
KS,9C,AS,7H,7S,c,c,win
QD,8H,TH,AH,6C,c,c,loss
QS,9S,AC,8D,9D,c,c,win
6C,8S,JS,7D,7H,c,r,loss
TH,9D,AS,KH,9S,c,c,loss
JS,AH,9C,6D,6S,c,c,loss
QH,KD,QS,8D,AD,c,c,win
9S,QC,KS,7D,6S,c,c,loss
JS,JD,7D,9D,8S,c,c,win
QH,AC,AH,TH,AD,c,c,win
7H,6D,6H,JS,9S,c,c,loss
TC,8D,9C,8H,AH,c,c,win
KC,KH,9D,AH,8H,c,c,loss
TS,6H,8S,6S,7H,c,c,loss
TH,QH,6C,JH,9D,c,c,win
6D,QC,7H,8D,KS,c,c,win
QD,9S,AD,JC,8C,c,c,win
TH,JH,9S,7H,JS,c,c,win
QS,8H,7C,QH,AC,c,c,win
TH,AD,8S,KH,7S,c,c,win
8D,QC,6C,7H,7S,c,c,loss
7S,7H,JD,KC,AS,c,c,loss
6C,AD,QH,6S,8H,c,c,loss
7D,8C,KH,QD,7C,c,c,loss
AC,KC,7D,AH,JH,c,c,win
TC,8C,9H,9D,7S,c,r,loss
JC,AS,8S,TH,9D,c,c,win
KS,6S,KD,AS,QS,c,c,loss
9D,8D,QC,JD,6H,c,c,win
6D,JC,AS,KC,7D,c,c,loss
8D,TC,QD,JD,KS,c,c,win
JD,6C,8H,KD,QS,c,c,win
QS,9H,JC,QC,8S,c,c,win
KS,8H,KC,9C,9D,c,r,loss
9H,QD,6D,QC,6C,c,c,loss
QD,JS,7D,8S,QC,c,c,win
8S,JC,QH,6D,8H,c,c,loss
AH,KC,9C,9H,6C,c,c,loss
JD,9D,6H,7D,AH,c,c,win
JD,QH,7S,JH,TS,c,c,win
9S,8H,TD,JH,6C,c,c,loss
6H,7C,6S,KH,KC,c,c,win
9D,6D,JH,KD,8C,c,c,loss
QH,TS,7S,TC,QC,c,c,loss
TS,QD,AH,TD,9C,c,c,win
QH,8S,TH,AH,6D,c,c,loss
TC,TD,8S,9D,KC,c,c,win
KD,KH,QS,TC,6D,c,c,loss
AC,9D,JS,TH,JC,c,r,loss
6C,KD,9D,JH,9H,c,c,loss
8D,TH,TD,TS,JC,c,c,win
QS,QH,TS,TH,8H,c,c,win
7D,6S,7S,6H,TD,c,r,loss
7S,9H,TH,JS,8H,c,c,loss
8H,AD,8D,TH,6S,c,c,win
