card1,card2,card3,card4,card5,bet1,bet2,result
7H,9C,6C,6H,QH,c,c,loss
6S,7S,8C,JC,KD,c,c,loss
7H,8H,TD,KH,8D,c,c,loss
9S,AS,JH,JD,9D,c,c,loss
9H,8H,9D,JC,KC,c,c,loss
QH,TS,JH,8D,JD,c,c,win
AH,6H,TD,AD,9H,c,c,win
JC,9C,7C,AC,6H,c,c,loss
AH,TS,9H,7S,JH,c,c,win
TD,9D,QS,9H,AH,c,c,win
QC,AS,7S,JC,8D,c,c,win
AS,7H,6H,JD,QC,c,c,win
9S,7D,9C,8C,AD,c,r,loss
JH,6S,9C,AC,6H,c,c,loss
8D,JD,9H,QS,6D,c,c,loss
JC,9H,6S,6H,7H,c,c,loss
7C,6C,9H,QH,QS,c,c,loss
JD,8S,KS,8C,QH,c,c,loss
9C,KC,JH,7H,KD,c,c,win
TH,7S,8H,JH,KH,c,c,win
KC,8D,9S,TH,TC,c,c,win
TH,6H,QS,QD,9S,c,r,loss
9D,KS,8H,JH,AH,c,c,loss
KC,TH,QS,9S,QD,c,c,loss
QD,AD,QS,QH,9S,c,c,win
6C,KH,7C,9D,KS,c,c,loss
6C,TC,7H,KS,9S,c,c,loss
7H,6C,QH,7C,6D,c,c,win
AC,JS,7S,TS,8S,c,c,win
QC,KS,8D,AC,7H,c,c,loss
KH,9S,6C,QC,TD,c,c,loss
JD,7D,JS,8C,JH,c,c,win
JD,7C,6H,6D,9S,c,c,win
KC,QH,TC,AC,JS,c,c,win
8H,AC,KC,QS,6S,c,c,loss
6C,8H,KH,JD,TH,c,c,loss
KD,TS,QS,TC,TH,c,c,win
QD,JC,9C,TS,7H,c,c,win
9S,TC,8D,KS,QD,c,c,loss
7D,6H,9D,JC,JD,c,c,loss
AH,6C,7S,QC,8D,c,c,win
TH,9H,AH,6S,JC,c,r,loss
QH,6H,7D,9H,JD,c,c,loss
6D,JC,KS,JS,KC,c,r,loss
AH,QD,KH,8H,TS,c,c,win
AD,QC,TH,6C,7C,c,c,loss
KC,JH,AC,8H,6C,c,c,loss
QH,8S,8D,QC,KH,c,c,win
QS,QC,6C,QH,9C,c,c,win
7S,TH,KH,JS,7H,c,c,win
6H,AC,TD,KS,KH,c,c,loss
9H,JH,TD,7C,JS,c,c,win
AD,KS,JH,6C,KC,c,c,loss
