card1,card2,card3,card4,card5,card6,card7,result
AC,6S,JD,TD,QD,QH,KD,win
JC,KH,7S,6D,AC,JD,7H,win
AD,AS,8H,QS,JD,KC,TD,win
TC,TH,TD,9S,KC,AD,QS,win
6D,KC,AD,9D,7H,JC,9C,loss
QD,TH,QS,QC,6H,JC,7H,loss
TS,6C,TH,AC,8C,9H,QH,win
6H,TH,JC,9H,AH,KC,7D,loss
QD,7S,8H,AH,7D,8D,6D,win
AH,7H,JD,QC,KC,6S,7S,loss
9D,KH,7D,8C,AC,KD,QC,win
JH,TH,JS,KH,8D,8H,9S,win
JC,TC,6S,8C,QD,JS,9C,win
QS,JH,TC,9D,QC,9S,6H,loss
KH,AS,TH,JS,8H,JD,6H,loss
9S,AH,AC,8D,QC,8C,QS,win
8S,7D,JH,JC,QC,KC,TS,loss
7H,9C,TH,TC,KC,6D,8S,win
6C,7D,JH,TS,9H,8C,7S,loss
TC,QC,AD,JD,JS,6S,AH,loss
7C,KC,7S,9D,8S,JD,6S,loss
9H,KS,KD,6H,7H,JD,JC,loss
6D,QH,AC,KC,JH,8D,9H,loss
7H,8D,7C,KH,TH,6C,AC,loss
AC,7S,8D,7C,8C,QD,6D,win
6D,6H,KC,8S,8H,AC,7C,loss
7S,TS,8D,AC,KH,AH,9D,loss
6H,6D,JS,AC,9C,6C,7H,win
9D,TS,QD,9H,JD,7S,KD,win
AH,7S,9S,8H,KH,QD,AC,win
7S,8S,JC,8C,QC,TD,AC,loss
AD,QD,6H,KS,JD,QS,7S,win
TS,QH,6D,TD,9C,9D,KD,loss
AC,TH,KH,8S,JS,TC,AS,loss
JC,KD,9H,TC,JH,8S,7D,win
TD,8D,KH,QD,AS,8S,KS,win
JH,7C,TC,7S,QC,KD,TD,loss
QC,TS,8H,9C,QH,JS,KS,win
QS,KH,6S,6D,JC,9H,7D,loss
AS,6C,8C,7H,6S,JD,7S,win
JS,TD,QS,7D,JH,8C,TS,loss
AS,QC,9H,TH,8C,AH,7D,loss
7S,QC,JD,AC,TD,8D,9H,win
KC,6C,6S,7D,TD,JC,8H,loss
7S,JC,8D,7H,QC,8H,9C,win
7C,6C,7S,KS,6H,6D,AC,win
TD,7S,JH,7H,KH,8D,8S,loss
JD,JS,AS,7S,9H,8S,7C,loss
8S,9D,9S,JS,9H,KS,AC,win
7C,TD,AC,9S,8S,JD,6C,win
8S,QS,6C,JC,AC,7D,6H,loss
6C,8H,8C,AC,QD,KC,TS,loss
9D,QH,9S,7S,JD,6D,6S,win
TH,TC,JC,7D,6S,KH,JS,loss
8S,7H,6H,7D,JC,KC,AH,loss
KH,AS,TS,6D,JC,7H,8D,loss
JC,KS,AC,8S,6D,8C,TH,loss
TC,JC,6D,7D,8D,KS,JH,win
9S,7S,6D,7C,KD,8D,KC,loss
9C,7S,6D,8D,TH,KC,TS,win
KD,8S,8H,9C,JC,6C,6D,loss
TC,JD,AC,JS,7H,9H,8H,win
8C,AC,7S,9S,TH,AD,7H,win
AS,6H,TH,QC,6S,QD,QS,win
7D,QH,AH,8H,QC,AD,KH,win
6H,6S,KC,TD,8D,TC,9D,loss
9H,TH,6D,KH,QH,9S,7D,win
KC,QH,9H,TS,KH,QD,9S,loss
9C,9D,7C,6D,6C,9H,8D,win
AD,AS,9D,TC,KC,7H,7D,win
9C,9D,TC,9H,8D,TS,JD,win
KC,KD,AS,8C,7C,9C,QC,win
AD,KC,JC,QD,6H,8H,TC,win
QH,QC,9D,QS,AS,7D,8H,win
JC,AD,9H,7D,8H,AH,TS,win
9H,8S,9S,9C,8C,TS,7C,win
AD,KC,8D,QD,JD,6H,JS,loss
TC,8D,AH,TD,6S,AS,KS,loss
JD,TS,9H,8H,8S,7H,TH,loss
QC,QD,AD,9D,7C,TC,TH,win
TD,9H,KC,QC,6D,QS,KS,loss
AD,KD,AH,TC,TS,QD,7H,loss
7H,QS,8S,7C,AH,KS,TS,loss
7H,8C,QS,9C,JC,KH,AD,loss
AH,QD,AS,9D,7D,9H,QS,win
TH,7D,9C,AD,7C,AH,TC,win
7S,TS,JD,8C,7D,9H,9C,win
6H,9S,6C,7C,QD,7H,9D,win
TC,8D,9D,6H,KH,8S,QH,loss
9H,KS,AC,TD,9S,8S,AS,win
7S,6S,JS,TC,7D,8S,8H,loss
9C,JD,QH,AD,AS,7H,6D,loss
JD,JH,9C,QH,9D,6S,TD,win
JS,AD,JC,TC,QD,KC,9S,win
KC,KH,KS,AS,QD,6C,AC,win
8D,JS,JH,AH,8S,6H,8H,win
7C,9H,JC,KS,7D,6S,8D,loss
QH,9D,QD,7H,8C,KH,AH,win
8C,8S,9S,AH,KD,TH,JD,loss
QD,7D,KD,7C,KC,QS,6S,loss
JC,7S,KS,KC,AH,7H,8C,loss
JD,QS,TD,KH,8D,9S,9C,win
JC,AS,9H,6H,7C,6C,7H,loss
8S,9H,9S,TH,9D,JS,6C,win
AD,7S,QD,9D,KC,8D,8C,loss
8H,6H,KC,9C,QH,KD,7S,loss
KH,7H,QD,6D,QH,TH,6S,loss
8H,AH,8S,QD,JH,8C,9H,win
QH,KS,QC,JD,9H,KH,8S,loss
7C,JC,KC,QS,7H,JS,AS,loss
KC,TH,8C,6D,AD,JC,JH,loss
8D,QH,7D,JC,AH,QS,8C,win
6S,9S,6C,KC,9D,QH,KH,win
KH,QH,6D,KS,TS,QD,QS,win
KS,AH,AS,AD,7C,9C,JD,win
JS,6C,KH,6H,TH,TS,QC,win
9D,AC,JD,AD,AS,AH,TS,win
TD,JS,8H,TC,6D,AS,KH,loss
TH,7H,TC,7S,6H,QC,AC,win
AS,TS,TC,9D,8D,KC,8C,win
TD,JD,JC,9S,7S,6D,TC,loss
AD,QC,KC,JS,KS,8S,AC,win
8C,AH,9H,TS,JH,6D,9C,loss
JC,8C,AD,AS,9C,TH,QD,loss
6S,TS,QC,TC,TH,7C,8D,win
AH,AC,AS,JD,KC,TH,6D,win
JH,JS,JC,JD,AS,9C,TS,win
AH,KD,KS,TS,6D,AD,6H,loss
7H,9H,JC,8H,TH,6D,TC,win
KD,JC,AS,KH,6C,6S,8D,win
JH,9D,JC,AC,8C,6S,6H,loss
9D,KS,JD,TS,6D,7C,QD,win
8D,AS,AD,7C,8C,QD,9C,win
TC,7S,KH,6H,QC,9H,8H,loss
KS,AC,9H,7C,KC,QS,8H,loss
AC,6D,QD,8H,TD,AS,7H,loss
6D,JC,QS,8C,8S,6H,AS,win
7H,AC,TC,9H,JD,8C,8H,loss
QS,TC,6D,7C,JS,9S,TH,win
6S,9D,7D,JH,TD,6D,AH,loss
8H,TS,TD,7S,6D,TH,7D,win
7H,AD,6D,KS,9S,QH,9H,loss
AH,TS,JS,JC,QD,9D,8C,win
6H,AS,QC,8D,9D,QH,6C,loss
KH,AH,JS,9D,7H,TD,JD,loss
JD,6C,TS,9D,TC,KS,7S,loss
AH,QD,QS,8D,QH,JH,TC,win
9C,JS,8D,JD,8S,TD,9D,loss
9H,QS,KD,8D,7D,QH,AH,win
QD,7D,8D,AH,8S,KC,6C,loss
AS,JC,JS,QS,6C,9C,8H,win
7S,AH,7D,9S,JS,TD,6C,loss
9D,8C,7H,KC,6H,KS,TC,win
8D,KH,6D,8S,7S,QC,JC,win
7S,AS,KC,TC,8C,7D,KS,loss
JH,AC,KH,9D,8S,KS,6C,loss
9D,TH,AC,TS,TD,7H,KC,win
7H,JS,TC,7D,7C,9S,JH,win
7D,KD,6H,QC,JC,9D,TS,win
AC,8H,AD,TH,QD,9S,6C,win
QS,JS,QD,JC,AH,6S,KS,win
QS,6S,9H,6H,7S,TD,TH,win
8H,QD,7H,TH,JD,JC,8D,loss
TC,8D,KD,6H,9D,QS,AH,loss
KS,JC,7S,AH,TS,QD,QS,win
9D,6H,KS,JS,7S,8D,TH,win
7D,JC,AH,KC,TH,TD,7S,win
7S,9H,8C,AS,KH,KS,TC,loss
JS,AS,QC,QS,KD,8D,AH,win
8C,KH,TH,8D,6C,9D,AH,loss
8D,KH,KS,9S,6H,KC,QD,win
JH,KS,9H,JS,TH,TS,6D,loss
8S,QS,KD,6H,TH,9D,AS,loss
KS,TS,KC,9H,JC,QD,7D,win
KD,7D,6D,KC,8C,JH,QD,loss
KC,KH,6C,QD,JC,AD,TD,win
QC,6S,AD,TD,QH,KC,9C,win
9D,QH,AH,6D,KC,7S,TS,loss
KH,JH,TC,KC,9S,AS,JC,win
9S,TC,JC,6C,KD,QH,KC,win
AC,7H,8H,JD,8S,KS,KC,loss
QC,TD,JD,6D,7S,8D,KH,loss
AH,QD,JD,AD,6S,6C,8S,win
JD,6H,QC,QH,8D,TH,KS,loss
QD,QC,TS,8D,6D,8C,AS,loss
KC,KH,7D,8S,TC,7C,QD,loss
KD,8H,9C,QC,7H,6H,6D,loss
AS,JH,6S,8D,JC,7C,KC,loss
JC,JS,8S,7D,KC,9S,6H,loss
KS,AH,AS,AC,KD,9S,AD,win
KC,KD,KH,AC,JH,TD,KS,win
6S,TC,AC,7D,KD,JC,KH,loss
JD,8H,8S,KC,TD,7H,TH,win
KC,6C,7H,QC,7C,8C,9H,win
TH,7C,QS,8C,9S,JC,QC,win
6D,AD,6C,9D,JH,QS,8D,win
