card1,card2,card3,card4,card5,card6,card7,result
AS,9C,6S,9D,JC,TC,9H,win
8C,KS,7S,AH,6C,JH,TS,loss
AC,QS,QC,TS,6C,TH,KS,win
8H,AC,9S,JS,8C,7C,6C,loss
6C,KD,8H,KH,7D,JS,AC,win
9D,9C,8H,KH,6H,KS,8D,win
8C,KC,7C,JD,TD,AC,KD,loss
QH,6S,7H,KH,9H,7D,JS,loss
7C,TC,KD,9S,6C,QC,8H,win
7C,TD,9H,6D,AC,TC,TH,win
9D,JS,JH,8C,AS,TD,7H,win
8D,9D,TS,QS,TH,7H,6S,win
9S,KD,KC,9C,JD,6C,QC,loss
TC,JH,AH,KC,6H,TD,JC,win
AS,6S,JS,9H,TC,6C,AH,win
9H,7S,7H,AH,KH,8D,8H,win
7D,AD,KC,8D,7H,TD,6C,loss
KC,AC,QC,QD,8H,KS,JH,win
TD,7D,TH,8D,AS,8H,6S,win
KS,9S,KH,6H,QH,AS,TC,loss
8S,QC,KS,8C,JH,6H,7D,win
KH,QH,KD,8D,AH,6H,AS,win
6C,9D,8C,JS,9C,9H,6D,win
7D,9H,QS,9C,AD,8S,7H,win
JD,TH,9C,JS,8C,JH,AC,win
TD,6C,7S,AD,8C,KH,JH,loss
8C,TH,JS,TS,KC,8S,7H,loss
9C,KS,9S,7D,QH,JD,9H,win
AC,8S,7D,AD,6S,TS,9D,win
QH,KD,8C,6H,9H,TD,QD,loss
JH,7S,KH,KC,AS,8D,8S,loss
9S,JC,6D,7S,JS,AD,JH,win
6S,6D,8H,JD,KC,KH,QD,loss
9S,6S,9D,AS,KC,TS,AD,loss
7H,8D,JS,QH,8S,TH,QD,loss
JH,AD,KC,7C,JS,7D,TC,loss
AC,7H,QS,TC,9C,AD,JH,loss
TD,TS,9C,7C,JH,KS,QS,win
AD,KH,8H,AC,6D,TH,8D,win
7C,TC,8S,TH,JC,AS,AD,win
9D,KS,JS,TC,JH,6S,QH,loss
JD,9H,QC,6D,TS,6C,AD,loss
TH,QC,7D,JS,6D,TC,AC,win
7H,AS,TC,9H,6D,7D,QS,loss
QS,QC,QH,6S,7C,8H,8S,win
AC,QH,6C,AD,KS,8H,KH,win
6D,KS,7S,6H,8D,AH,8S,loss
JD,TC,6S,KD,TS,6D,QD,win
6D,6S,AH,8H,KS,JD,8S,win
TD,6H,AC,7D,6D,JC,KS,win
AS,KC,7S,KH,TC,AH,8D,win
TS,8D,KC,AS,8S,KD,AD,loss
6D,QD,KD,7S,TH,AH,KS,loss
KH,6S,8C,KS,7C,9H,KC,win
KD,JD,7D,JS,7S,9C,8D,loss
TC,KS,8D,7S,KD,QC,AD,win
AD,9S,AH,8D,6C,8S,AC,win
QH,9D,8C,AS,QC,KH,AH,loss
AC,KS,TS,7H,QH,6S,7C,loss
TD,9S,AS,JH,7C,TC,QH,loss
TC,7D,QS,KC,6D,7C,TD,win
AH,8S,KH,KC,7S,8D,QD,win
KC,QH,AD,8H,TC,JS,JD,win
TD,7S,KH,JD,7H,8C,7C,win
8C,AH,KC,9S,KS,8H,QH,win
6C,6D,KD,TH,JH,TD,7C,loss
6S,9S,6H,7C,7S,9C,8C,win
7H,QD,QS,8H,9C,JD,KD,loss
7D,8H,6S,8S,TS,QS,AH,loss
QD,TD,JD,8S,TS,QC,7S,loss
TH,JC,8S,6H,7H,KD,TD,loss
8S,8C,AH,JS,KH,9S,7D,loss
6C,KH,QC,TH,KC,9C,AC,win
6C,8D,7D,KD,6H,8C,8H,win
TS,TD,TH,KH,KD,7S,7D,win
7H,6H,KS,9H,8H,JD,QC,loss
KH,TH,7H,JS,QC,QH,9H,win
8H,JH,TC,QC,QD,6C,9C,loss
6S,KC,8C,QC,KS,JD,AH,loss
AD,AC,8D,QH,QC,7C,7D,loss
TH,9D,KH,6C,TC,6H,AH,win
TD,AD,8S,8C,7C,KD,AS,win
6H,8D,KC,AH,QS,TH,8S,loss
JS,AC,JD,9C,7H,6H,9S,win
9D,JD,TD,8C,QD,TS,8H,win
JC,KH,8C,TH,9S,QD,9H,win
9D,6S,JC,AC,TH,9S,AH,win
KC,8S,KH,KD,AD,KS,JS,win
JS,JC,6H,KD,9S,AD,8H,loss
7H,JD,QD,8C,AD,AH,7D,win
TS,8H,AC,7H,QC,9C,8S,loss
TC,6D,7C,QH,TD,7D,AD,win
8H,8S,6H,KS,8D,9C,9H,win
AS,TS,9C,KS,TH,7C,6H,win
6S,8C,JC,JS,TH,8H,JH,win
8D,TC,9H,9S,6H,8C,8H,win
AH,QS,6C,9D,JH,AD,7C,win
TH,KH,9D,QC,JH,9S,6D,win
6H,JD,9D,JC,7S,KD,7H,loss
AH,8D,TH,9S,AC,QH,6S,win
QD,6S,KD,7S,TC,6H,8D,loss
9C,6S,7S,AH,8C,6H,JC,loss
KD,JC,KH,9D,8S,TC,AD,loss
AS,AC,6C,AD,JH,AH,9H,win
QD,6C,JH,8S,JS,KS,7D,loss
9D,QD,6C,QC,7D,9H,TC,win
TC,AD,AS,6S,8S,JD,TH,win
TS,QC,TH,6H,9D,9H,AH,win
8D,9D,8C,JD,TH,9S,QD,win
AS,AC,JC,KD,QD,KS,JS,loss
AH,8S,7S,KC,8H,TS,AC,win
8H,TD,9H,KS,AH,JS,TC,loss
7D,8S,AS,7C,JS,9C,9H,loss
QC,JH,TH,6H,TD,8C,7C,loss
7D,6D,6H,9D,QH,QS,QC,win
6S,JS,7D,KS,TS,KD,8C,loss
TD,6D,8C,TH,AS,7D,8D,win
7D,JD,QH,7S,6S,7C,AS,loss
9D,8C,7S,KC,JS,8H,6D,win
JD,JH,QC,TH,TS,6D,JC,win
TC,7D,9H,8D,QH,6C,7H,win
6H,KC,9C,AD,9D,KH,QS,loss
6H,KS,8C,7S,JD,AC,TC,loss
TH,KC,TS,TD,9D,8H,9S,win
AD,JS,AC,AS,JC,JH,TS,win
6S,8C,TD,AD,JC,9S,JH,loss
TS,7D,6H,8D,KC,QH,7S,win
QC,7C,KC,TC,JC,TS,8S,win
6D,JH,KC,7H,AS,8H,8D,loss
9C,KH,QC,TS,8C,7C,AD,loss
9S,7S,TD,QH,8H,KH,7D,loss
7H,QH,AD,TD,9S,9H,8C,loss
AS,6H,KH,TC,JH,KD,9S,loss
AH,6D,TS,9H,QC,KS,JD,win
8D,TD,JD,AS,8C,9S,8H,win
JC,QC,AD,8D,8H,7D,KH,loss
QS,TD,JS,KC,KS,AH,QH,win
9C,JS,6H,7D,8H,8S,TS,loss
QS,7H,QC,KC,JS,JD,8S,win
8D,6S,KS,KD,KC,7S,9H,loss
7C,8S,TC,AC,QS,AS,9D,loss
JD,AD,7C,8S,KD,JC,6S,win
7D,7H,8C,TH,8D,AS,AC,loss
AC,TH,6S,KC,9H,JH,8S,loss
9S,AD,9C,8C,JC,TC,QH,loss
6C,KD,QS,KH,TC,8D,QD,loss
TS,AS,QC,8H,QH,TH,6C,loss
QD,8H,9H,7D,KC,6C,JS,loss
TD,TS,6S,9C,AC,JC,6H,loss
AS,AH,8D,6H,9D,9H,7D,win
AC,JS,7D,8S,JD,9H,8C,loss
AD,KC,AC,7D,9S,7H,8S,win
7H,TS,JD,JH,6S,KS,AC,loss
QD,QS,JH,QH,AH,7D,TH,loss
AH,QH,QS,8H,7H,7D,8S,win
AH,7H,8C,8H,9C,JH,TS,win
JD,AD,QD,7S,KS,AH,8C,loss
KC,KH,AC,8H,KS,7H,7D,win
8H,8C,JH,9C,QS,9H,9S,win
8D,QC,QH,7S,9S,KD,JD,win
TD,6S,9D,8H,AC,7C,AH,win
8H,KC,7D,7C,JD,AC,QC,loss
AH,QS,6D,QC,9D,TS,9C,win
TD,8S,7C,QH,TS,AH,AC,win
9C,7H,JH,QH,8H,QS,JC,loss
6C,QS,KC,8D,AH,QH,KD,loss
9S,JC,TC,7D,QH,AS,JD,loss
JS,7H,9D,QD,7S,KC,7C,win
8D,JD,7S,KS,JC,8S,9D,win
KH,6S,AC,7C,TD,TC,8S,loss
KC,QC,7C,QS,6D,TS,6S,loss
JS,8S,KS,JC,AH,6S,QS,win
TS,9S,8C,JS,KC,8D,9D,loss
9D,7H,QC,JH,7S,QH,KD,win
JH,KC,9D,TD,AH,9S,QD,win
AH,QD,8D,JC,KC,6C,KD,loss
JC,KD,8S,6C,AC,JS,TS,win
TD,JC,JH,AC,TS,6C,KS,win
KD,JD,AS,TS,QD,9D,8H,win
KC,AH,QD,TD,JH,JS,9D,win
TC,7H,TH,6C,6D,QD,KC,loss
TH,QC,8H,KH,9H,JH,TS,win
8D,KH,9S,8H,7H,6C,JS,win
KC,9S,QS,9C,7S,6C,7H,win
9C,6C,KD,QC,6S,KC,7S,win
9C,TD,8H,TS,KC,6S,QH,win
6C,QD,QS,8C,8H,TS,KH,win
TS,8D,9H,8S,TD,JC,6H,loss
8D,9D,7H,JS,KH,TS,KD,win
QC,TC,AD,JH,AS,AC,TS,win
7C,9S,AC,9D,7S,KH,8C,win
KC,JS,KD,AS,JC,6C,8C,win
TC,9C,8S,9H,AH,7S,KH,loss
KD,TC,7S,7C,JH,KS,8H,win
9C,8H,9D,TH,QH,7S,8D,loss
7H,KS,JC,AC,9H,7D,QH,loss
6D,6S,JS,8D,QD,8C,6H,win
TD,9H,JD,AD,7C,6C,TC,win
JH,TC,6C,JC,7S,JD,8S,win
KD,9C,8S,QC,KC,6H,TC,win
9D,6S,AH,JC,KH,AD,TS,loss
AH,6H,9H,AD,9D,7H,TH,win
TH,9S,QD,KD,8C,7C,KH,loss
9C,AC,AS,AD,9S,QD,7H,win
KC,6S,9C,KD,JH,7S,JC,win
QS,JS,7H,8S,JH,7C,KS,win
7D,8H,JH,AS,8C,QS,8D,win
JH,JS,JD,6C,6H,TH,QH,win
KD,9C,9D,AH,TD,8H,TC,loss
AS,6S,7H,6D,8S,8C,6H,win
JC,8D,8C,AH,9D,9H,QS,loss
TD,TC,8C,AD,QD,TH,TS,win
JH,AH,KS,7D,7H,QC,QS,win
AD,7C,JD,7D,AH,TC,AS,win
8D,TS,QD,9S,TC,9D,8S,loss
JS,JH,7H,KD,JD,AC,6D,win
6S,6C,8S,JC,9C,6H,9D,win
AC,TS,6H,AS,KD,AH,JS,win
TD,QC,9H,KC,JS,QS,AS,win
JH,9S,9H,QC,8S,AD,KH,win
AD,QD,JC,AS,6C,TD,9S,win
AD,QH,7C,KS,JH,8H,AS,loss
QD,7D,9S,AH,JH,KD,QS,loss
9D,6C,7D,AS,8C,TH,9C,win
JD,6S,9S,JC,9H,AC,AH,win
AD,JS,TC,8D,JH,AC,QD,win
9C,8D,9S,AD,7C,KC,QC,loss
JC,TH,8S,6D,9C,TC,JD,win
6S,9S,TH,QH,AC,6C,8C,win
QS,6S,QD,TD,KH,JS,7D,win
AC,QD,AD,TD,6S,KD,9C,win
7S,QH,7D,TS,QD,JH,8H,win
JD,QD,8C,JC,7D,7H,KS,win
QD,KS,8H,9D,7S,8S,9C,win
9D,9S,9H,AS,QS,8S,7D,win
KH,8D,JH,AC,9S,6H,QD,loss
6C,7D,9D,QH,TS,JD,KD,loss
9D,QH,KS,KD,QS,AD,KC,win
8S,6C,KD,AH,QC,AS,TH,loss
KS,8C,6S,9H,KH,AH,7S,win
TH,7H,JC,7S,8H,QS,8D,loss
QH,AS,KC,JS,AH,AD,QS,win
QD,KC,TS,9S,7H,JH,TC,win
QD,6H,9S,TS,9C,AS,QS,win
JH,6H,QC,AH,KH,8S,JD,loss
QC,6C,7C,QH,JC,KD,7H,win
JS,TC,7D,6D,TH,7C,8H,loss
7S,KC,JS,QH,7D,8H,8S,win
KD,JD,JC,8C,AS,6C,JH,win
6S,TH,9C,TS,8C,TC,6D,win
JD,7D,JH,JC,AS,7S,TD,win
6H,AC,JD,9H,9S,7C,6S,loss
6C,KC,7H,8C,9H,7C,JC,win
9C,AC,6S,AD,JS,6C,8D,win
TS,7H,JH,KS,9C,QD,6D,win
JS,8S,6C,TS,JD,KD,JH,win
6D,JS,AD,QS,QH,JC,TS,loss
AC,8C,9D,TS,8H,TH,AD,loss
6S,9C,QH,9D,JD,QS,8S,loss
6H,AS,9D,JH,8D,AH,QS,loss
QS,AD,7H,8S,QC,9C,JH,loss
AH,7D,KS,7H,TS,AD,8S,win
AH,TH,JD,7D,AD,TS,TC,win
KH,8C,6S,8H,7S,TC,JD,loss
9C,KS,9H,9S,6S,KC,AS,win
JC,9H,AH,TH,8D,AC,9C,win
9D,7S,7H,KD,6D,JC,TS,loss
8C,TH,9H,TD,6S,KH,6H,loss
AC,QS,8C,TD,TC,9D,6S,loss
6D,8C,KD,AH,8H,QD,7D,loss
7H,9C,8C,TH,JC,9S,8H,win
8H,6D,KH,9D,AS,JS,QS,loss
JS,QD,KH,QS,7C,7D,JH,win
7C,TS,8D,KC,TH,7S,AD,loss
9D,JD,TH,KH,JH,KD,8S,loss
6H,AC,8D,QC,TD,AS,7D,loss
6D,KD,KH,6H,QH,9S,AC,win
AS,QC,6D,KD,QH,KC,JH,win
JS,9H,QH,KD,7H,QD,JH,win
QD,AC,6C,AH,9S,KS,8H,loss
KH,7H,9S,JD,7S,QD,9H,loss
6C,7S,7H,AS,JD,TS,KH,loss
6S,TC,9C,KD,8D,7S,KS,loss
9C,8C,7C,QH,JD,AD,JS,loss
AH,6C,8H,QH,KS,QD,7S,loss
6D,8S,KC,QS,JS,TS,7C,loss
AH,AC,9D,8H,9S,KC,9C,win
7D,TC,KH,TH,KC,8H,6C,loss
7C,TS,KH,7D,AS,QD,AC,loss
8C,6C,7C,JH,9S,9C,KC,win
6D,TH,7H,TS,QS,9C,6S,loss
AD,TC,7C,8S,7S,6H,QD,loss
JH,6H,9C,AS,6S,KS,AC,win
QD,7C,7H,8S,JH,AD,JS,loss
QD,AH,JH,TH,9S,JC,AD,loss
8S,KC,QH,6D,6H,JD,7H,loss
TD,JS,8S,6H,QC,QH,9C,win
AC,QC,KD,9S,QD,6H,7H,loss
TD,TH,KC,7C,8C,QD,6D,win
JC,JH,QH,TS,KD,KH,TC,loss
AC,7C,9D,9S,AH,8S,6D,loss
TS,AS,6H,8C,AD,QD,9H,win
AC,JH,9D,AH,KH,KS,QH,loss
AD,7S,QC,AH,6D,9D,6S,win
AC,TC,JH,6S,AS,QD,KD,win
6D,KD,6S,TH,TD,7C,8C,win
JH,QC,KS,8H,9D,AC,JD,loss
6S,AH,AD,JC,9D,KS,8S,loss
AD,KC,9S,TH,QS,7H,JH,win
7H,8D,9H,TH,KH,6H,KS,win
QD,AS,TD,KH,AC,QS,7C,win
AH,7C,QS,TC,7H,9D,JH,loss
JH,8C,TD,TH,JD,KD,9H,loss
6H,TD,6D,KC,TS,AC,9H,win
QC,QD,9D,KS,TS,AD,KD,loss
AC,KS,KC,AD,JS,KH,JH,win
6C,QC,9D,QD,JH,KD,AC,loss
7D,6D,9D,QC,8C,JS,6H,loss
QH,AC,9S,7S,AH,8S,KD,win
9C,KD,AD,8H,KS,JH,JD,loss
TC,JH,QD,TH,8H,9S,KS,win
6C,TD,9D,QC,QD,KS,7D,loss
9D,JD,8H,AC,KD,7D,8C,loss
7S,9H,8S,QH,AD,JC,KS,loss
AH,TS,AS,7S,9H,QS,JC,loss
JD,QH,7C,QC,8C,KS,6H,win
JC,QC,8C,TC,KH,AD,6D,win
JC,6H,KS,AH,8C,AC,JH,win
7H,9D,JC,7C,TD,QS,QD,loss
KH,9H,KC,6H,9S,AD,TH,win
7C,9H,QC,7H,AD,6C,QH,win
7H,7C,JD,TS,KD,6C,9S,loss
6C,KS,KD,9S,7D,AC,TH,loss
TS,8C,TC,7H,9C,9H,7D,win
QS,AC,6C,6H,KC,6S,TS,loss
KH,TS,KD,JH,TH,6D,6C,win
6H,8S,AD,9H,7D,KD,6C,loss
JC,9H,QD,7C,KS,KD,9D,win
8S,QH,8H,AH,TD,JD,JS,loss
JH,AS,9C,AC,TD,7D,6H,loss
8H,AH,7H,6D,KD,QH,6H,win
6C,TC,8H,AS,QS,7D,TD,loss
8C,6C,KH,6D,7C,TH,KC,loss
JC,AD,6D,6S,9H,QH,QD,loss
AS,TD,JS,KS,6D,6H,QC,win
8D,AC,JD,TC,AH,9D,JC,loss
QH,9S,JC,KC,TS,7H,8C,win
TS,7D,8S,AH,8D,TH,7S,loss
6C,7H,6D,TC,TS,8C,7D,loss
8H,9S,QD,AC,6H,TS,7S,win
7C,TC,6D,9D,8C,9C,KH,loss
6C,TD,TH,6H,9H,8H,QC,loss
9D,7C,8H,JH,AS,TS,KD,loss
QS,6D,AS,QD,AH,6H,KS,win
QC,KD,QD,KH,AD,9S,6S,win
8D,KH,QC,QS,7S,KS,AD,win
QH,KC,JS,8S,7S,QD,6S,loss
TC,9H,7D,KS,6H,AS,TS,win
JS,6C,8C,AH,QC,KC,KS,loss
6D,AH,AC,9D,QC,9H,8C,win
AS,QD,JC,7H,9H,KC,9S,loss
QD,KS,AC,8S,8C,QC,TC,loss
6H,9H,AC,7H,KC,8S,6D,win
JS,AS,QC,9H,KD,QH,6D,loss
9H,JH,8S,7H,9C,7S,KC,win
8C,9H,KC,KH,AH,8H,JC,loss
QS,JH,TS,JD,7S,9S,7C,loss
9S,TC,KH,AC,9H,TS,7D,loss
AS,TH,9D,AH,7S,8S,TS,win
6D,KD,TS,7D,6H,7C,TH,loss
TC,QS,7C,9S,QH,JC,JS,win
9H,7H,6D,KC,AH,9C,AS,win
QH,JC,TC,JS,8S,TS,JD,win
TH,QC,8C,AS,9D,6H,9S,loss
9S,KH,7S,8D,TS,7D,9H,loss
8H,6C,8S,7S,KD,KS,9C,loss
JH,9D,6D,9S,JS,8H,QH,loss
KC,8H,6D,KD,9C,QS,6C,loss
9S,6D,7H,TH,AH,8C,7S,win
QC,AC,KH,8S,9H,TS,TC,loss
AC,7C,JD,7H,9D,KD,7D,loss
JH,6H,AH,TH,TS,QH,9S,win
QH,7D,JC,KC,JH,9S,7C,loss
TD,6D,9C,AD,AS,TS,6H,win
QS,7C,JD,QH,JS,AC,9D,loss
QH,6D,9H,AS,6S,JC,KD,loss
6S,6D,6C,AS,KC,JD,9H,win
AC,9H,JD,AS,KH,8S,9S,loss
AD,AH,QD,7S,6C,TH,JH,loss
7C,7H,8D,TD,TC,KS,8H,loss
AC,6D,7D,9S,JD,9H,TD,loss
8D,JD,JC,8H,AS,TH,8S,win
6C,7S,KD,9D,TC,9C,7D,loss
AC,AD,9S,KD,JC,8C,QS,win
AC,QS,7C,JD,6S,QH,8C,win
JD,8D,8S,6H,KC,QS,6C,loss
QC,7C,8S,6H,8H,JC,KH,loss
JD,6S,AS,9D,JC,KS,AH,win
7S,6H,KH,QH,TS,KC,9H,loss
8H,AS,9S,6D,7C,9D,TD,win
7D,KD,QS,TH,JC,AS,9C,win
QC,TS,KS,9S,9C,TD,QS,loss
7C,8C,TD,AH,KH,JD,JC,loss
TC,QS,7S,JD,KD,TS,QH,win
7C,KC,TS,6H,JD,7D,6S,loss
KD,9D,TS,8C,9S,6H,8D,loss
TC,KH,JS,9S,AS,8H,QD,win
9D,KH,QC,KD,JD,7S,TC,win
7H,TD,8H,TS,JD,KD,9D,win
KD,KS,7H,7S,9C,9S,TD,win
9S,KD,AD,JD,9C,7C,TC,loss
KS,AH,AD,QD,QS,9C,6C,win
KC,7H,AS,KD,6D,7C,AC,win
7C,JS,QS,AH,6S,9C,TC,loss
JD,8D,QC,KS,KD,TS,QD,loss
JS,7S,7C,6D,TS,JD,AH,win
6C,AD,AH,QS,6H,JH,JS,loss
TC,JH,QH,8D,AC,TH,JS,loss
AD,TS,8D,JC,QC,QD,TD,loss
JH,QD,QH,6C,9D,7C,TD,win
AC,QD,7H,8C,QS,JH,9S,loss
TS,QC,JS,QS,TD,6H,KH,win
TH,TS,QC,KC,JC,QD,AH,win
QH,QD,KS,JH,TS,9S,8C,win
7D,QH,AD,TD,AS,9D,KD,win
TS,JC,AC,7C,QD,JH,TD,loss
AD,6D,TH,JD,7H,6S,AS,win
TC,8D,9C,TD,AD,AH,KC,win
JS,TD,KS,8D,9C,9S,QC,win
QS,8H,AS,8C,QC,7S,9D,win
9H,JC,8D,7D,7S,KD,AS,loss
TD,QC,9C,8D,JS,7D,KS,win
8D,KH,KS,AH,JD,6C,7D,loss
7D,7C,KS,7H,JH,JS,QH,loss
KC,7D,9C,TD,JD,AS,KS,win
6S,6C,QS,AC,TS,TD,AD,loss
JD,6S,KD,7H,AS,JS,AC,loss
8D,AH,JC,KH,7S,TH,AD,loss
KH,8H,8S,9S,8D,6D,6S,win
AS,7D,JS,KD,JD,9S,AH,loss
6H,TH,7H,QS,AH,TD,8C,win
AD,QD,9C,8S,7H,AH,QH,win
KH,9H,TD,6S,TC,7D,9S,loss
7D,8C,KC,JS,QD,TS,9C,loss
KH,QS,AD,TH,9H,JH,KD,win
8C,QC,TD,6S,JC,JH,AH,loss
KD,TD,QC,TC,8C,9C,QS,win
QS,TH,JD,AC,TS,8D,6H,win
JC,KC,9S,JH,6H,6S,8H,win
6D,9C,JD,QC,9S,7C,QS,win
9D,TC,QC,7S,JC,AC,8C,win
7C,JD,6H,TC,KS,6C,JS,win
AH,9C,9D,JD,6D,KC,8C,loss
JS,9D,JH,7C,KC,TS,TD,loss
8D,JD,6H,7H,6D,8H,KS,loss
KC,KS,9S,8D,QC,9C,QS,win
TD,QS,8S,QD,8C,7S,6H,win
AC,JS,QC,6C,7C,7S,JC,win
8C,JH,JC,JD,QH,JS,QC,win
6S,6H,AD,QS,KC,8D,7S,loss
AS,7S,6H,7D,8D,6D,JD,loss
QH,QS,AD,8S,AC,9D,7D,win
AS,7C,8C,AD,TS,9S,JD,loss
KC,AC,QH,TH,6C,7H,6D,loss
AS,7C,QS,QH,6D,KH,7D,loss
KS,6D,8S,JC,AH,9S,TH,loss
QS,QC,TC,TD,AH,8C,JC,win
AD,TH,JD,7D,TC,8D,JH,loss
AD,6C,QC,6H,7S,9D,8S,loss
TC,TS,8S,9C,9H,6H,KD,win
JD,JC,QS,QD,6H,KS,AD,loss
8H,TC,QS,7H,7C,AH,TD,win
6S,TC,9H,QS,AD,JC,KS,loss
8D,JH,9S,8S,6D,QD,TD,win
7D,9S,KH,6C,JS,7C,8H,loss
7S,JC,7D,6C,7C,8D,KC,win
6H,QC,AC,8C,8S,QD,AH,win
7H,JH,JC,9S,9H,TS,QS,loss
QD,9S,7H,QC,QH,8C,TH,loss
TS,7S,8D,KD,AC,JD,6H,loss
JH,TS,TH,9H,JC,AS,9C,win
7C,9H,JC,JS,QC,JH,8C,loss
TC,JD,QD,9C,KD,8H,7D,win
TC,AD,JS,8S,KD,9C,QH,win
AH,8D,QH,KC,7C,8S,7H,loss
JS,8C,7S,JC,TS,9D,JD,win
7D,7S,TS,TD,8S,9H,6C,win
JC,9D,AS,KS,6D,JH,7D,loss
KS,AS,6D,7S,QD,6C,KH,loss
8D,AH,TC,JC,8C,6C,7C,loss
8C,AC,AH,AS,9H,QC,9D,win
JD,AS,TC,8D,TD,TS,6C,loss
6H,JS,7D,8D,8H,AS,QD,loss
7D,7S,TC,KS,QD,AD,KH,loss
8C,TH,7C,QD,KS,8S,6D,loss
6H,TC,6S,AH,9D,7S,AC,loss
8D,6S,AH,JD,7S,8C,7D,win
QH,9C,7D,6H,JC,JS,8D,loss
JS,QD,QS,9C,AC,TC,6D,win
6C,JS,TC,7C,KC,8C,QD,win
9C,QC,6C,9D,QD,KS,AH,win
6D,JC,JS,7D,KD,AH,JD,win
6C,JD,JS,QS,AH,TD,7C,loss
TD,AS,KC,TS,6H,9H,JH,win
8H,9C,QC,6D,9S,QS,TC,win
9D,JD,TS,9C,JS,8S,AC,loss
AD,QH,6H,JD,TH,8H,7H,win
JC,7S,AC,8H,9H,QC,6S,loss
QS,QH,QD,QC,6H,8H,JD,win
KD,TC,JD,TS,6C,AS,8C,win
KC,QC,JS,TD,9C,KH,TC,win
TD,8C,7D,JC,JD,7S,8S,loss
7C,QH,JS,AS,QD,KS,9H,win
AS,JH,6C,9C,QS,9S,AD,win
KC,6D,JS,QD,8C,KS,TH,loss
6H,JS,AH,7D,AD,8C,QS,loss
JC,KS,TD,QC,7C,7D,AC,win
7H,8S,AD,6S,JS,AS,9C,loss
8C,KH,6H,9C,6C,JC,9S,loss
6D,6C,9C,JC,JD,6H,8S,win
JD,JS,JH,AC,9C,9D,TH,win
6D,8D,8C,7S,9C,AD,KC,loss
8S,8C,9S,JC,6D,JH,7H,win
8S,JH,JS,JD,TH,KD,QS,win
QH,JC,AS,9D,7C,TS,8S,win
JS,TD,9H,KC,AH,KS,8S,loss
QS,7D,9D,8S,JD,KH,TC,win
QS,7S,8C,AD,AH,JH,KD,loss
8D,TD,AC,6S,QH,JS,AD,loss
QS,6S,7S,AC,TD,AH,KD,loss
9S,JC,8S,QS,7S,8H,6C,loss
9D,8C,QC,AD,JD,TD,TH,loss
JC,AH,AS,6D,TC,KD,KC,win
9H,8S,TC,JH,QS,7C,7D,win
7H,KC,6S,QC,AD,8S,QD,loss
8D,8H,7C,9S,QS,6C,AH,win
KC,6S,QD,8D,9D,9C,AD,loss
JS,9S,AD,QC,7H,8H,TS,win
TD,6D,JH,QC,AD,TC,JC,loss
9D,7H,TD,JC,8D,JD,QD,win
QH,9C,7S,QC,6D,7C,KH,loss
QS,JD,6H,6S,KS,QD,9D,win
KS,7H,9C,6D,KH,QC,TS,win
9S,JS,QC,6D,8H,7H,7C,loss
QD,QH,6C,7H,7C,KH,9S,loss
7S,9H,AD,7D,7H,6S,QC,win
TC,9C,QC,6S,KS,7H,JD,win
QH,6S,AS,AC,TC,7S,6H,loss
JC,6H,8C,7C,TS,JH,QC,loss
AC,TC,KH,JS,8S,AD,7H,win
8H,9H,TS,TC,8D,6S,8C,win
QC,7D,KD,JS,KH,AS,TD,loss
9S,6C,9D,AC,8D,7S,AS,win
KD,7D,9S,8S,AC,8H,JH,loss
KC,QC,AS,6S,KH,9C,9D,win
8C,KC,7S,6H,AD,JC,6C,loss
KH,JD,QD,JH,KD,AC,6C,win
6H,QC,9H,8D,6D,QD,TD,loss
QC,JH,7S,8S,9S,8C,QS,loss
KH,KS,KC,JC,JH,QD,9D,win
KS,TD,JS,TC,KC,7C,QS,win
9C,JD,9H,QH,JC,TC,9S,win
8H,6C,KC,JC,TC,QS,6S,loss
QS,9S,JS,6D,TD,8D,8C,win
TS,AH,AD,AC,8C,QC,TH,win
8S,AH,8C,QC,7S,TH,TD,loss
KH,8D,AC,KD,AD,KS,7C,win
9C,JC,KC,7C,6S,TD,9S,win
AC,TC,JD,TH,JH,7S,6C,loss
TH,JH,TD,AS,AH,8S,9D,loss
TD,JH,9H,7D,KD,TS,9D,loss
9S,JD,TH,9C,7C,7H,6H,win
QH,JH,TC,KD,7D,6H,JD,win
9C,9H,KH,6S,TS,TH,QS,win
8D,JH,AH,JD,QH,7C,8S,win
AD,6H,8S,8C,6C,AS,AC,win
8C,8S,6D,9C,JC,8D,QC,win
8H,9D,9C,7H,KC,AH,QH,win
QS,9H,JS,9C,7C,KH,AS,loss
QC,AD,KC,8S,QS,7D,KS,win
6C,9C,9S,QH,9D,TS,AS,loss
JD,6C,8D,TD,6D,8S,KD,win
QC,KH,TD,9S,JH,9H,QS,loss
6C,TD,TC,9S,QC,7C,8S,loss
AD,KD,QC,AS,AH,6S,KC,win
AD,9H,6C,7H,9S,TC,QD,loss
7D,JS,TH,TS,7S,AD,6D,loss
TH,7S,6H,QC,QD,8D,KD,loss
KC,TS,7D,KH,JH,6H,7C,win
8C,KC,KS,6H,9C,6D,6S,win
TC,6H,9H,6S,TD,8S,AS,win
6H,8H,AS,JC,9D,6S,8C,win
6S,JH,7S,7D,6H,7H,JD,win
JS,QD,KH,JD,9D,9C,KC,loss
8D,9D,JH,9S,8S,7D,TD,win
